"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.840277777777778,1,"UMD","pyridge","cv"
"feasts",36,0.854166666666667,1,"UMD","pyridge","cv"
"tsfeatures",59,0.840277777777778,1,"UMD","pyridge","cv"
"TSFEL",142,0.798611111111111,1,"UMD","pyridge","cv"
"Kats",36,0.722222222222222,1,"UMD","pyridge","cv"
"tsfresh",640,0.944444444444444,1,"UMD","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",253,0.847222222222222,1,"UMD","pyridge","cv"
"Quantiles",101,0.902777777777778,1,"UMD","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",152,0.659722222222222,1,"UMD","pyridge","cv"
"catch22",22,0.763888888888889,2,"UMD","pyridge","cv"
"feasts",35,0.729166666666667,2,"UMD","pyridge","cv"
"tsfeatures",59,0.75,2,"UMD","pyridge","cv"
"TSFEL",142,0.833333333333333,2,"UMD","pyridge","cv"
"Kats",35,0.722222222222222,2,"UMD","pyridge","cv"
"tsfresh",639,0.986111111111111,2,"UMD","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",253,0.888888888888889,2,"UMD","pyridge","cv"
"Quantiles",101,0.861111111111111,2,"UMD","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",152,0.625,2,"UMD","pyridge","cv"
"catch22",22,0.722222222222222,3,"UMD","pyridge","cv"
"feasts",36,0.743055555555556,3,"UMD","pyridge","cv"
"tsfeatures",59,0.680555555555556,3,"UMD","pyridge","cv"
"TSFEL",142,0.770833333333333,3,"UMD","pyridge","cv"
"Kats",35,0.798611111111111,3,"UMD","pyridge","cv"
"tsfresh",639,0.895833333333333,3,"UMD","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",253,0.763888888888889,3,"UMD","pyridge","cv"
"Quantiles",101,0.875,3,"UMD","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",152,0.694444444444444,3,"UMD","pyridge","cv"
"catch22",22,0.729166666666667,4,"UMD","pyridge","cv"
"feasts",35,0.833333333333333,4,"UMD","pyridge","cv"
"tsfeatures",59,0.701388888888889,4,"UMD","pyridge","cv"
"TSFEL",142,0.743055555555556,4,"UMD","pyridge","cv"
