"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.721943048576214,1,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.793690675600223,1,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.845616973757677,1,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.819374651032942,1,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.644332774986041,1,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",739,0.952819653824679,1,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.802624232272473,1,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.324678950307091,1,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.804020100502513,1,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.701842546063652,2,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.805136795086544,2,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.840033500837521,2,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.807370184254606,2,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.640145170295924,2,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",733,0.953098827470687,2,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.789223897264098,2,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.324678950307091,2,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.782802903405919,2,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.706030150753769,3,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.802903405918481,3,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.831099944165271,3,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.797319932998325,3,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.646007816862088,3,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",735,0.951982132886655,3,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.78894472361809,3,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.299832495812395,3,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.796482412060301,3,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.717476270240089,4,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.821887213847013,4,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.849525404801787,4,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.813791178112786,4,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.640424343941932,4,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",734,0.952540480178671,4,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.791178112786153,4,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.315466219988833,4,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.784757118927973,4,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.725572305974316,5,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.784757118927973,5,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.834729201563372,5,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.814907872696817,5,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.64572864321608,5,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",736,0.954494695700726,5,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.797878280290341,5,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.321328866554997,5,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.7928531546622,5,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.721384701284199,6,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.794249022892239,6,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.830262423227247,6,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.8107202680067,6,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.61892797319933,6,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",733,0.944444444444444,6,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.799553322166388,6,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.313512004466778,6,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.795924064768286,6,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.724455611390285,7,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.790061418202122,7,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.814070351758794,7,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.800670016750419,7,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.632049134561697,7,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",731,0.948632049134562,7,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.786990508096036,7,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.30429927414852,7,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.77749860413177,7,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.721663874930207,8,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.78894472361809,8,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.836683417085427,8,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.829145728643216,8,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.638470128419877,8,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",734,0.948632049134562,8,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.793969849246231,8,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.318537130094919,8,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.788386376326075,8,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.723618090452261,9,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.80178671133445,9,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.836125069793412,9,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.806532663316583,9,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.64321608040201,9,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",734,0.950027917364601,9,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.791457286432161,9,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.329145728643216,9,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.785315466219989,9,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.724176437744277,10,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.797599106644333,10,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.825516471245115,10,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.814349525404802,10,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.650753768844221,10,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",733,0.948352875488554,10,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.792015633724176,10,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.312116136236739,10,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.791736460078169,10,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.73143495254048,11,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.806253489670575,11,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.839475153545505,11,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.815466219988833,11,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.620044667783361,11,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",734,0.955332216638749,11,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.800949190396427,11,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.30820770519263,11,"UWaveGestureLibraryAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.798157453936348,11,"UWaveGestureLibraryAll","pyridge","cv"
"catch22",22,0.722780569514238,12,"UWaveGestureLibraryAll","pyridge","cv"
"feasts",37,0.796203238414294,12,"UWaveGestureLibraryAll","pyridge","cv"
"tsfeatures",59,0.833612506979341,12,"UWaveGestureLibraryAll","pyridge","cv"
"TSFEL",144,0.806811836962591,12,"UWaveGestureLibraryAll","pyridge","cv"
"Kats",36,0.639865996649916,12,"UWaveGestureLibraryAll","pyridge","cv"
"tsfresh",734,0.947236180904523,12,"UWaveGestureLibraryAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.803740926856505,12,"UWaveGestureLibraryAll","pyridge","cv"
"Quantiles",101,0.319095477386935,12,"UWaveGestureLibraryAll","pyridge","cv"
