"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.677275265214964,1,"UWaveGestureLibraryX","pyridge","cv"
"feasts",37,0.674204355108878,1,"UWaveGestureLibraryX","pyridge","cv"
"tsfeatures",59,0.728084868788386,1,"UWaveGestureLibraryX","pyridge","cv"
"TSFEL",146,0.771635957565606,1,"UWaveGestureLibraryX","pyridge","cv"
"Kats",36,0.587102177554439,1,"UWaveGestureLibraryX","pyridge","cv"
"tsfresh",737,0.814070351758794,1,"UWaveGestureLibraryX","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.638190954773869,1,"UWaveGestureLibraryX","pyridge","cv"
"Quantiles",101,0.383863763260748,1,"UWaveGestureLibraryX","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.61641541038526,1,"UWaveGestureLibraryX","pyridge","cv"
"catch22",22,0.693467336683417,2,"UWaveGestureLibraryX","pyridge","cv"
"feasts",37,0.684254606365159,2,"UWaveGestureLibraryX","pyridge","cv"
"tsfeatures",59,0.754048017867113,2,"UWaveGestureLibraryX","pyridge","cv"
"TSFEL",146,0.770519262981575,2,"UWaveGestureLibraryX","pyridge","cv"
"Kats",36,0.585427135678392,2,"UWaveGestureLibraryX","pyridge","cv"
"tsfresh",737,0.814907872696817,2,"UWaveGestureLibraryX","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.642378559463987,2,"UWaveGestureLibraryX","pyridge","cv"
"Quantiles",101,0.383305415968733,2,"UWaveGestureLibraryX","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.613344500279174,2,"UWaveGestureLibraryX","pyridge","cv"
"catch22",22,0.688721384701284,3,"UWaveGestureLibraryX","pyridge","cv"
"feasts",37,0.679508654383026,3,"UWaveGestureLibraryX","pyridge","cv"
"tsfeatures",59,0.739251814628699,3,"UWaveGestureLibraryX","pyridge","cv"
"TSFEL",146,0.761027359017309,3,"UWaveGestureLibraryX","pyridge","cv"
"Kats",36,0.594919039642658,3,"UWaveGestureLibraryX","pyridge","cv"
"tsfresh",737,0.806811836962591,3,"UWaveGestureLibraryX","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.646007816862088,3,"UWaveGestureLibraryX","pyridge","cv"
"Quantiles",101,0.364879955332217,3,"UWaveGestureLibraryX","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.627024008933557,3,"UWaveGestureLibraryX","pyridge","cv"
"catch22",22,0.703238414293691,4,"UWaveGestureLibraryX","pyridge","cv"
"feasts",37,0.693746510329425,4,"UWaveGestureLibraryX","pyridge","cv"
"tsfeatures",59,0.744556113902848,4,"UWaveGestureLibraryX","pyridge","cv"
"TSFEL",146,0.752372975991066,4,"UWaveGestureLibraryX","pyridge","cv"
"Kats",36,0.6035734226689,4,"UWaveGestureLibraryX","pyridge","cv"
"tsfresh",738,0.821608040201005,4,"UWaveGestureLibraryX","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.646007816862088,4,"UWaveGestureLibraryX","pyridge","cv"
"Quantiles",101,0.371859296482412,4,"UWaveGestureLibraryX","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.615298715801228,4,"UWaveGestureLibraryX","pyridge","cv"
"catch22",22,0.697934115019542,5,"UWaveGestureLibraryX","pyridge","cv"
"feasts",37,0.679787828029034,5,"UWaveGestureLibraryX","pyridge","cv"
"tsfeatures",59,0.742043551088777,5,"UWaveGestureLibraryX","pyridge","cv"
"TSFEL",146,0.766890005583473,5,"UWaveGestureLibraryX","pyridge","cv"
"Kats",36,0.603294249022892,5,"UWaveGestureLibraryX","pyridge","cv"
"tsfresh",739,0.812953657174763,5,"UWaveGestureLibraryX","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.649357900614182,5,"UWaveGestureLibraryX","pyridge","cv"
"Quantiles",101,0.367950865438303,5,"UWaveGestureLibraryX","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.613623673925181,5,"UWaveGestureLibraryX","pyridge","cv"
"catch22",22,0.683137911781128,6,"UWaveGestureLibraryX","pyridge","cv"
"feasts",37,0.677833612506979,6,"UWaveGestureLibraryX","pyridge","cv"
"tsfeatures",59,0.731155778894472,6,"UWaveGestureLibraryX","pyridge","cv"
"TSFEL",146,0.730597431602457,6,"UWaveGestureLibraryX","pyridge","cv"
"Kats",36,0.579843662758236,6,"UWaveGestureLibraryX","pyridge","cv"
"tsfresh",737,0.810161920714685,6,"UWaveGestureLibraryX","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.640982691233947,6,"UWaveGestureLibraryX","pyridge","cv"
"Quantiles",101,0.38358458961474,6,"UWaveGestureLibraryX","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.616136236739252,6,"UWaveGestureLibraryX","pyridge","cv"
"catch22",22,0.694863204913456,7,"UWaveGestureLibraryX","pyridge","cv"
