"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.440438871473354,1,"WordSynonyms","pyridge","fixed"
"feasts",37,0.470219435736677,1,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.489028213166144,1,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.482758620689655,1,"WordSynonyms","pyridge","fixed"
"Kats",33,0.432601880877743,1,"WordSynonyms","pyridge","fixed"
"tsfresh",737,0.584639498432602,1,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.410658307210031,1,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.285266457680251,1,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.315047021943574,1,"WordSynonyms","pyridge","fixed"
"catch22",22,0.421630094043887,2,"WordSynonyms","pyridge","fixed"
"feasts",37,0.495297805642633,2,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.520376175548589,2,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.498432601880878,2,"WordSynonyms","pyridge","fixed"
"Kats",34,0.415360501567398,2,"WordSynonyms","pyridge","fixed"
"tsfresh",737,0.564263322884012,2,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.385579937304075,2,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.285266457680251,2,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.330721003134796,2,"WordSynonyms","pyridge","fixed"
"catch22",22,0.418495297805643,3,"WordSynonyms","pyridge","fixed"
"feasts",37,0.474921630094044,3,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.509404388714734,3,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.520376175548589,3,"WordSynonyms","pyridge","fixed"
"Kats",34,0.424764890282132,3,"WordSynonyms","pyridge","fixed"
"tsfresh",735,0.556426332288401,3,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.401253918495298,3,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.278996865203762,3,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.327586206896552,3,"WordSynonyms","pyridge","fixed"
"catch22",22,0.442006269592476,4,"WordSynonyms","pyridge","fixed"
"feasts",37,0.471786833855799,4,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.504702194357367,4,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.510971786833856,4,"WordSynonyms","pyridge","fixed"
"Kats",33,0.449843260188088,4,"WordSynonyms","pyridge","fixed"
"tsfresh",737,0.539184952978056,4,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.382445141065831,4,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.283699059561129,4,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.324451410658307,4,"WordSynonyms","pyridge","fixed"
"catch22",22,0.424764890282132,5,"WordSynonyms","pyridge","fixed"
"feasts",37,0.498432601880878,5,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.53448275862069,5,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.53448275862069,5,"WordSynonyms","pyridge","fixed"
"Kats",33,0.43730407523511,5,"WordSynonyms","pyridge","fixed"
"tsfresh",738,0.589341692789969,5,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.410658307210031,5,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.278996865203762,5,"WordSynonyms","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.318181818181818,5,"WordSynonyms","pyridge","fixed"
"catch22",22,0.431034482758621,6,"WordSynonyms","pyridge","fixed"
"feasts",37,0.476489028213166,6,"WordSynonyms","pyridge","fixed"
"tsfeatures",59,0.525078369905956,6,"WordSynonyms","pyridge","fixed"
"TSFEL",144,0.515673981191223,6,"WordSynonyms","pyridge","fixed"
"Kats",33,0.405956112852665,6,"WordSynonyms","pyridge","fixed"
"tsfresh",735,0.551724137931034,6,"WordSynonyms","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.387147335423198,6,"WordSynonyms","pyridge","fixed"
"Quantiles",101,0.274294670846395,6,"WordSynonyms","pyridge","fixed"
