"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.605714285714286,1,"ArrowHead","rbfsvm"
"feasts",34,0.68,1,"ArrowHead","rbfsvm"
"tsfeatures",59,0.72,1,"ArrowHead","rbfsvm"
"TSFEL",144,0.582857142857143,1,"ArrowHead","rbfsvm"
"Kats",36,0.622857142857143,1,"ArrowHead","rbfsvm"
"tsfresh",733,0.554285714285714,1,"ArrowHead","rbfsvm"
"catch22",22,0.691428571428571,2,"ArrowHead","rbfsvm"
"feasts",33,0.782857142857143,2,"ArrowHead","rbfsvm"
"tsfeatures",59,0.811428571428571,2,"ArrowHead","rbfsvm"
"TSFEL",144,0.754285714285714,2,"ArrowHead","rbfsvm"
"Kats",36,0.788571428571429,2,"ArrowHead","rbfsvm"
"tsfresh",732,0.794285714285714,2,"ArrowHead","rbfsvm"
"catch22",22,0.645714285714286,3,"ArrowHead","rbfsvm"
"feasts",35,0.72,3,"ArrowHead","rbfsvm"
"tsfeatures",59,0.731428571428571,3,"ArrowHead","rbfsvm"
"TSFEL",144,0.674285714285714,3,"ArrowHead","rbfsvm"
"Kats",36,0.674285714285714,3,"ArrowHead","rbfsvm"
"tsfresh",732,0.645714285714286,3,"ArrowHead","rbfsvm"
"catch22",22,0.754285714285714,4,"ArrowHead","rbfsvm"
"feasts",35,0.731428571428571,4,"ArrowHead","rbfsvm"
"tsfeatures",59,0.742857142857143,4,"ArrowHead","rbfsvm"
"TSFEL",144,0.771428571428571,4,"ArrowHead","rbfsvm"
"Kats",36,0.691428571428571,4,"ArrowHead","rbfsvm"
"tsfresh",733,0.788571428571429,4,"ArrowHead","rbfsvm"
"catch22",22,0.708571428571429,5,"ArrowHead","rbfsvm"
"feasts",35,0.765714285714286,5,"ArrowHead","rbfsvm"
"tsfeatures",59,0.782857142857143,5,"ArrowHead","rbfsvm"
"TSFEL",144,0.725714285714286,5,"ArrowHead","rbfsvm"
"Kats",36,0.754285714285714,5,"ArrowHead","rbfsvm"
"tsfresh",732,0.737142857142857,5,"ArrowHead","rbfsvm"
"catch22",22,0.691428571428571,6,"ArrowHead","rbfsvm"
"feasts",34,0.822857142857143,6,"ArrowHead","rbfsvm"
"tsfeatures",59,0.84,6,"ArrowHead","rbfsvm"
"TSFEL",144,0.771428571428571,6,"ArrowHead","rbfsvm"
