"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.570052083333333,1,"ChlorineConcentration","rbfsvm"
"feasts",37,0.55859375,1,"ChlorineConcentration","rbfsvm"
"tsfeatures",59,0.56875,1,"ChlorineConcentration","rbfsvm"
"TSFEL",144,0.572916666666667,1,"ChlorineConcentration","rbfsvm"
"Kats",36,0.565885416666667,1,"ChlorineConcentration","rbfsvm"
"tsfresh",668,0.570833333333333,1,"ChlorineConcentration","rbfsvm"
"catch22",22,0.569270833333333,2,"ChlorineConcentration","rbfsvm"
"feasts",37,0.56015625,2,"ChlorineConcentration","rbfsvm"
"tsfeatures",59,0.566666666666667,2,"ChlorineConcentration","rbfsvm"
"TSFEL",144,0.567708333333333,2,"ChlorineConcentration","rbfsvm"
"Kats",36,0.564322916666667,2,"ChlorineConcentration","rbfsvm"
"tsfresh",668,0.578645833333333,2,"ChlorineConcentration","rbfsvm"
"catch22",22,0.550260416666667,3,"ChlorineConcentration","rbfsvm"
"feasts",37,0.561197916666667,3,"ChlorineConcentration","rbfsvm"
"tsfeatures",56,0.5484375,3,"ChlorineConcentration","rbfsvm"
"TSFEL",144,0.565364583333333,3,"ChlorineConcentration","rbfsvm"
"Kats",36,0.563020833333333,3,"ChlorineConcentration","rbfsvm"
"tsfresh",666,0.582552083333333,3,"ChlorineConcentration","rbfsvm"
"catch22",22,0.560416666666667,4,"ChlorineConcentration","rbfsvm"
"feasts",37,0.56171875,4,"ChlorineConcentration","rbfsvm"
"tsfeatures",58,0.5640625,4,"ChlorineConcentration","rbfsvm"
"TSFEL",144,0.569270833333333,4,"ChlorineConcentration","rbfsvm"
"Kats",36,0.56015625,4,"ChlorineConcentration","rbfsvm"
"tsfresh",668,0.573958333333333,4,"ChlorineConcentration","rbfsvm"
"catch22",22,0.567447916666667,5,"ChlorineConcentration","rbfsvm"
"feasts",37,0.567708333333333,5,"ChlorineConcentration","rbfsvm"
"tsfeatures",59,0.572135416666667,5,"ChlorineConcentration","rbfsvm"
"TSFEL",144,0.570572916666667,5,"ChlorineConcentration","rbfsvm"
"Kats",36,0.5671875,5,"ChlorineConcentration","rbfsvm"
"tsfresh",667,0.578385416666667,5,"ChlorineConcentration","rbfsvm"
"catch22",22,0.56796875,6,"ChlorineConcentration","rbfsvm"
"feasts",37,0.5625,6,"ChlorineConcentration","rbfsvm"
"tsfeatures",59,0.564583333333333,6,"ChlorineConcentration","rbfsvm"
"TSFEL",144,0.57109375,6,"ChlorineConcentration","rbfsvm"
"Kats",36,0.565364583333333,6,"ChlorineConcentration","rbfsvm"
"tsfresh",668,0.571354166666667,6,"ChlorineConcentration","rbfsvm"
"catch22",22,0.569010416666667,7,"ChlorineConcentration","rbfsvm"
"feasts",37,0.5625,7,"ChlorineConcentration","rbfsvm"
"tsfeatures",59,0.563802083333333,7,"ChlorineConcentration","rbfsvm"
"TSFEL",144,0.575260416666667,7,"ChlorineConcentration","rbfsvm"
"Kats",36,0.56484375,7,"ChlorineConcentration","rbfsvm"
"tsfresh",668,0.58359375,7,"ChlorineConcentration","rbfsvm"
"catch22",22,0.560416666666667,8,"ChlorineConcentration","rbfsvm"
"feasts",37,0.560416666666667,8,"ChlorineConcentration","rbfsvm"
"tsfeatures",58,0.567708333333333,8,"ChlorineConcentration","rbfsvm"
"TSFEL",144,0.5671875,8,"ChlorineConcentration","rbfsvm"
"Kats",36,0.563541666666667,8,"ChlorineConcentration","rbfsvm"
"tsfresh",667,0.58046875,8,"ChlorineConcentration","rbfsvm"
"catch22",22,0.563020833333333,9,"ChlorineConcentration","rbfsvm"
"feasts",37,0.561979166666667,9,"ChlorineConcentration","rbfsvm"
"tsfeatures",58,0.569791666666667,9,"ChlorineConcentration","rbfsvm"
