"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.548717948717949,1,"CricketZ","rbfsvm"
"feasts",38,0.515384615384615,1,"CricketZ","rbfsvm"
"tsfeatures",59,0.641025641025641,1,"CricketZ","rbfsvm"
"TSFEL",143,0.661538461538462,1,"CricketZ","rbfsvm"
"Kats",35,0.469230769230769,1,"CricketZ","rbfsvm"
"tsfresh",734,0.684615384615385,1,"CricketZ","rbfsvm"
"catch22",22,0.561538461538462,2,"CricketZ","rbfsvm"
"feasts",38,0.556410256410256,2,"CricketZ","rbfsvm"
"tsfeatures",59,0.628205128205128,2,"CricketZ","rbfsvm"
"TSFEL",143,0.651282051282051,2,"CricketZ","rbfsvm"
"Kats",35,0.517948717948718,2,"CricketZ","rbfsvm"
"tsfresh",733,0.658974358974359,2,"CricketZ","rbfsvm"
"catch22",22,0.551282051282051,3,"CricketZ","rbfsvm"
"feasts",38,0.546153846153846,3,"CricketZ","rbfsvm"
"tsfeatures",59,0.648717948717949,3,"CricketZ","rbfsvm"
"TSFEL",143,0.676923076923077,3,"CricketZ","rbfsvm"
"Kats",35,0.525641025641026,3,"CricketZ","rbfsvm"
"tsfresh",734,0.646153846153846,3,"CricketZ","rbfsvm"
"catch22",22,0.57948717948718,4,"CricketZ","rbfsvm"
"feasts",38,0.558974358974359,4,"CricketZ","rbfsvm"
"tsfeatures",59,0.656410256410256,4,"CricketZ","rbfsvm"
"TSFEL",143,0.674358974358974,4,"CricketZ","rbfsvm"
"Kats",35,0.535897435897436,4,"CricketZ","rbfsvm"
"tsfresh",734,0.67948717948718,4,"CricketZ","rbfsvm"
"catch22",22,0.530769230769231,5,"CricketZ","rbfsvm"
"feasts",38,0.512820512820513,5,"CricketZ","rbfsvm"
"tsfeatures",59,0.602564102564103,5,"CricketZ","rbfsvm"
"TSFEL",143,0.617948717948718,5,"CricketZ","rbfsvm"
"Kats",35,0.48974358974359,5,"CricketZ","rbfsvm"
"tsfresh",733,0.602564102564103,5,"CricketZ","rbfsvm"
"catch22",22,0.561538461538462,6,"CricketZ","rbfsvm"
"feasts",38,0.553846153846154,6,"CricketZ","rbfsvm"
"tsfeatures",59,0.638461538461538,6,"CricketZ","rbfsvm"
"TSFEL",143,0.658974358974359,6,"CricketZ","rbfsvm"
"Kats",35,0.548717948717949,6,"CricketZ","rbfsvm"
"tsfresh",734,0.656410256410256,6,"CricketZ","rbfsvm"
"catch22",22,0.574358974358974,7,"CricketZ","rbfsvm"
"feasts",38,0.558974358974359,7,"CricketZ","rbfsvm"
"tsfeatures",59,0.641025641025641,7,"CricketZ","rbfsvm"
"TSFEL",143,0.658974358974359,7,"CricketZ","rbfsvm"
"Kats",35,0.512820512820513,7,"CricketZ","rbfsvm"
"tsfresh",734,0.635897435897436,7,"CricketZ","rbfsvm"
"catch22",22,0.551282051282051,8,"CricketZ","rbfsvm"
"feasts",38,0.564102564102564,8,"CricketZ","rbfsvm"
"tsfeatures",59,0.669230769230769,8,"CricketZ","rbfsvm"
"TSFEL",143,0.651282051282051,8,"CricketZ","rbfsvm"
"Kats",35,0.51025641025641,8,"CricketZ","rbfsvm"
"tsfresh",734,0.630769230769231,8,"CricketZ","rbfsvm"
"catch22",22,0.553846153846154,9,"CricketZ","rbfsvm"
"feasts",38,0.546153846153846,9,"CricketZ","rbfsvm"
"tsfeatures",59,0.62051282051282,9,"CricketZ","rbfsvm"
"TSFEL",143,0.641025641025641,9,"CricketZ","rbfsvm"
"Kats",35,0.541025641025641,9,"CricketZ","rbfsvm"
"tsfresh",734,0.682051282051282,9,"CricketZ","rbfsvm"
"catch22",22,0.566666666666667,10,"CricketZ","rbfsvm"
"feasts",38,0.517948717948718,10,"CricketZ","rbfsvm"
"tsfeatures",59,0.630769230769231,10,"CricketZ","rbfsvm"
"TSFEL",143,0.674358974358974,10,"CricketZ","rbfsvm"
"Kats",35,0.51025641025641,10,"CricketZ","rbfsvm"
"tsfresh",734,0.674358974358974,10,"CricketZ","rbfsvm"
"catch22",22,0.576923076923077,11,"CricketZ","rbfsvm"
"feasts",38,0.561538461538462,11,"CricketZ","rbfsvm"
"tsfeatures",59,0.661538461538462,11,"CricketZ","rbfsvm"
"TSFEL",143,0.68974358974359,11,"CricketZ","rbfsvm"
"Kats",35,0.523076923076923,11,"CricketZ","rbfsvm"
"tsfresh",734,0.68974358974359,11,"CricketZ","rbfsvm"
"catch22",22,0.548717948717949,12,"CricketZ","rbfsvm"
"feasts",38,0.561538461538462,12,"CricketZ","rbfsvm"
"tsfeatures",59,0.674358974358974,12,"CricketZ","rbfsvm"
"TSFEL",143,0.67948717948718,12,"CricketZ","rbfsvm"
"Kats",35,0.551282051282051,12,"CricketZ","rbfsvm"
"tsfresh",734,0.648717948717949,12,"CricketZ","rbfsvm"
"catch22",22,0.561538461538462,13,"CricketZ","rbfsvm"
"feasts",38,0.535897435897436,13,"CricketZ","rbfsvm"
"tsfeatures",59,0.628205128205128,13,"CricketZ","rbfsvm"
"TSFEL",143,0.674358974358974,13,"CricketZ","rbfsvm"
"Kats",35,0.520512820512821,13,"CricketZ","rbfsvm"
"tsfresh",734,0.707692307692308,13,"CricketZ","rbfsvm"
"catch22",22,0.523076923076923,14,"CricketZ","rbfsvm"
"feasts",38,0.546153846153846,14,"CricketZ","rbfsvm"
"tsfeatures",59,0.635897435897436,14,"CricketZ","rbfsvm"
"TSFEL",143,0.666666666666667,14,"CricketZ","rbfsvm"
"Kats",35,0.530769230769231,14,"CricketZ","rbfsvm"
