"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.79,1,"ECG200","rbfsvm"
"feasts",39,0.8,1,"ECG200","rbfsvm"
"tsfeatures",59,0.81,1,"ECG200","rbfsvm"
"TSFEL",143,0.85,1,"ECG200","rbfsvm"
"Kats",35,0.86,1,"ECG200","rbfsvm"
"tsfresh",517,0.88,1,"ECG200","rbfsvm"
"catch22",22,0.78,2,"ECG200","rbfsvm"
"feasts",39,0.7,2,"ECG200","rbfsvm"
"tsfeatures",59,0.78,2,"ECG200","rbfsvm"
"TSFEL",143,0.81,2,"ECG200","rbfsvm"
"Kats",35,0.8,2,"ECG200","rbfsvm"
"tsfresh",517,0.77,2,"ECG200","rbfsvm"
"catch22",22,0.79,3,"ECG200","rbfsvm"
"feasts",39,0.77,3,"ECG200","rbfsvm"
"tsfeatures",59,0.84,3,"ECG200","rbfsvm"
"TSFEL",143,0.8,3,"ECG200","rbfsvm"
"Kats",35,0.81,3,"ECG200","rbfsvm"
"tsfresh",517,0.81,3,"ECG200","rbfsvm"
"catch22",22,0.78,4,"ECG200","rbfsvm"
"feasts",37,0.78,4,"ECG200","rbfsvm"
"tsfeatures",59,0.8,4,"ECG200","rbfsvm"
"TSFEL",143,0.82,4,"ECG200","rbfsvm"
"Kats",35,0.84,4,"ECG200","rbfsvm"
"tsfresh",517,0.86,4,"ECG200","rbfsvm"
"catch22",22,0.8,5,"ECG200","rbfsvm"
"feasts",39,0.8,5,"ECG200","rbfsvm"
"tsfeatures",59,0.84,5,"ECG200","rbfsvm"
"TSFEL",143,0.82,5,"ECG200","rbfsvm"
"Kats",35,0.83,5,"ECG200","rbfsvm"
"tsfresh",517,0.82,5,"ECG200","rbfsvm"
"catch22",22,0.81,6,"ECG200","rbfsvm"
"feasts",39,0.81,6,"ECG200","rbfsvm"
"tsfeatures",59,0.84,6,"ECG200","rbfsvm"
"TSFEL",143,0.81,6,"ECG200","rbfsvm"
"Kats",35,0.85,6,"ECG200","rbfsvm"
"tsfresh",516,0.83,6,"ECG200","rbfsvm"
"catch22",22,0.8,7,"ECG200","rbfsvm"
"feasts",37,0.85,7,"ECG200","rbfsvm"
"tsfeatures",59,0.85,7,"ECG200","rbfsvm"
"TSFEL",143,0.87,7,"ECG200","rbfsvm"
"Kats",35,0.83,7,"ECG200","rbfsvm"
"tsfresh",517,0.89,7,"ECG200","rbfsvm"
"catch22",22,0.74,8,"ECG200","rbfsvm"
"feasts",39,0.74,8,"ECG200","rbfsvm"
"tsfeatures",59,0.8,8,"ECG200","rbfsvm"
"TSFEL",143,0.83,8,"ECG200","rbfsvm"
"Kats",35,0.82,8,"ECG200","rbfsvm"
"tsfresh",516,0.83,8,"ECG200","rbfsvm"
"catch22",22,0.8,9,"ECG200","rbfsvm"
"feasts",39,0.83,9,"ECG200","rbfsvm"
"tsfeatures",59,0.81,9,"ECG200","rbfsvm"
"TSFEL",143,0.88,9,"ECG200","rbfsvm"
"Kats",35,0.83,9,"ECG200","rbfsvm"
"tsfresh",516,0.87,9,"ECG200","rbfsvm"
"catch22",22,0.79,10,"ECG200","rbfsvm"
"feasts",39,0.87,10,"ECG200","rbfsvm"
"tsfeatures",59,0.85,10,"ECG200","rbfsvm"
"TSFEL",143,0.87,10,"ECG200","rbfsvm"
"Kats",35,0.79,10,"ECG200","rbfsvm"
"tsfresh",516,0.87,10,"ECG200","rbfsvm"
"catch22",22,0.76,11,"ECG200","rbfsvm"
"feasts",39,0.79,11,"ECG200","rbfsvm"
"tsfeatures",59,0.82,11,"ECG200","rbfsvm"
"TSFEL",143,0.88,11,"ECG200","rbfsvm"
"Kats",35,0.82,11,"ECG200","rbfsvm"
"tsfresh",517,0.85,11,"ECG200","rbfsvm"
"catch22",22,0.78,12,"ECG200","rbfsvm"
"feasts",39,0.78,12,"ECG200","rbfsvm"
"tsfeatures",59,0.8,12,"ECG200","rbfsvm"
"TSFEL",143,0.84,12,"ECG200","rbfsvm"
"Kats",35,0.83,12,"ECG200","rbfsvm"
"tsfresh",517,0.77,12,"ECG200","rbfsvm"
"catch22",22,0.79,13,"ECG200","rbfsvm"
"feasts",39,0.84,13,"ECG200","rbfsvm"
"tsfeatures",59,0.83,13,"ECG200","rbfsvm"
"TSFEL",143,0.88,13,"ECG200","rbfsvm"
"Kats",35,0.79,13,"ECG200","rbfsvm"
"tsfresh",517,0.89,13,"ECG200","rbfsvm"
"catch22",22,0.77,14,"ECG200","rbfsvm"
"feasts",39,0.77,14,"ECG200","rbfsvm"
"tsfeatures",59,0.8,14,"ECG200","rbfsvm"
"TSFEL",143,0.83,14,"ECG200","rbfsvm"
"Kats",35,0.79,14,"ECG200","rbfsvm"
"tsfresh",516,0.83,14,"ECG200","rbfsvm"
"catch22",22,0.79,15,"ECG200","rbfsvm"
"feasts",39,0.77,15,"ECG200","rbfsvm"
"tsfeatures",59,0.85,15,"ECG200","rbfsvm"
"TSFEL",143,0.83,15,"ECG200","rbfsvm"
"Kats",35,0.79,15,"ECG200","rbfsvm"
"tsfresh",517,0.83,15,"ECG200","rbfsvm"
"catch22",22,0.84,16,"ECG200","rbfsvm"
"feasts",39,0.82,16,"ECG200","rbfsvm"
"tsfeatures",59,0.85,16,"ECG200","rbfsvm"
"TSFEL",143,0.88,16,"ECG200","rbfsvm"
"Kats",35,0.86,16,"ECG200","rbfsvm"
"tsfresh",517,0.86,16,"ECG200","rbfsvm"
"catch22",22,0.75,17,"ECG200","rbfsvm"
"feasts",39,0.77,17,"ECG200","rbfsvm"
"tsfeatures",59,0.84,17,"ECG200","rbfsvm"
"TSFEL",143,0.87,17,"ECG200","rbfsvm"
"Kats",35,0.79,17,"ECG200","rbfsvm"
"tsfresh",517,0.85,17,"ECG200","rbfsvm"
"catch22",22,0.77,18,"ECG200","rbfsvm"
"feasts",39,0.79,18,"ECG200","rbfsvm"
"tsfeatures",59,0.79,18,"ECG200","rbfsvm"
"TSFEL",143,0.79,18,"ECG200","rbfsvm"
"Kats",35,0.81,18,"ECG200","rbfsvm"
"tsfresh",516,0.84,18,"ECG200","rbfsvm"
"catch22",22,0.78,19,"ECG200","rbfsvm"
"feasts",39,0.83,19,"ECG200","rbfsvm"
"tsfeatures",59,0.85,19,"ECG200","rbfsvm"
"TSFEL",143,0.86,19,"ECG200","rbfsvm"
"Kats",35,0.83,19,"ECG200","rbfsvm"
"tsfresh",517,0.86,19,"ECG200","rbfsvm"
"catch22",22,0.81,20,"ECG200","rbfsvm"
"feasts",39,0.81,20,"ECG200","rbfsvm"
"tsfeatures",59,0.84,20,"ECG200","rbfsvm"
"TSFEL",143,0.85,20,"ECG200","rbfsvm"
"Kats",35,0.82,20,"ECG200","rbfsvm"
"tsfresh",517,0.85,20,"ECG200","rbfsvm"
"catch22",22,0.74,21,"ECG200","rbfsvm"
"feasts",37,0.75,21,"ECG200","rbfsvm"
"tsfeatures",59,0.76,21,"ECG200","rbfsvm"
"TSFEL",143,0.78,21,"ECG200","rbfsvm"
"Kats",35,0.78,21,"ECG200","rbfsvm"
"tsfresh",517,0.78,21,"ECG200","rbfsvm"
"catch22",22,0.83,22,"ECG200","rbfsvm"
"feasts",39,0.76,22,"ECG200","rbfsvm"
"tsfeatures",59,0.81,22,"ECG200","rbfsvm"
"TSFEL",143,0.85,22,"ECG200","rbfsvm"
"Kats",35,0.8,22,"ECG200","rbfsvm"
"tsfresh",517,0.83,22,"ECG200","rbfsvm"
"catch22",22,0.77,23,"ECG200","rbfsvm"
"feasts",39,0.8,23,"ECG200","rbfsvm"
"tsfeatures",59,0.81,23,"ECG200","rbfsvm"
"TSFEL",143,0.81,23,"ECG200","rbfsvm"
"Kats",35,0.81,23,"ECG200","rbfsvm"
"tsfresh",517,0.81,23,"ECG200","rbfsvm"
"catch22",22,0.77,24,"ECG200","rbfsvm"
"feasts",37,0.78,24,"ECG200","rbfsvm"
"tsfeatures",59,0.82,24,"ECG200","rbfsvm"
"TSFEL",143,0.8,24,"ECG200","rbfsvm"
"Kats",35,0.78,24,"ECG200","rbfsvm"
"tsfresh",517,0.8,24,"ECG200","rbfsvm"
"catch22",22,0.77,25,"ECG200","rbfsvm"
"feasts",39,0.76,25,"ECG200","rbfsvm"
"tsfeatures",59,0.82,25,"ECG200","rbfsvm"
"TSFEL",143,0.83,25,"ECG200","rbfsvm"
"Kats",35,0.79,25,"ECG200","rbfsvm"
"tsfresh",517,0.83,25,"ECG200","rbfsvm"
"catch22",22,0.74,26,"ECG200","rbfsvm"
"feasts",37,0.77,26,"ECG200","rbfsvm"
"tsfeatures",59,0.82,26,"ECG200","rbfsvm"
"TSFEL",143,0.81,26,"ECG200","rbfsvm"
"Kats",35,0.8,26,"ECG200","rbfsvm"
"tsfresh",517,0.77,26,"ECG200","rbfsvm"
"catch22",22,0.76,27,"ECG200","rbfsvm"
"feasts",39,0.74,27,"ECG200","rbfsvm"
"tsfeatures",59,0.79,27,"ECG200","rbfsvm"
"TSFEL",143,0.84,27,"ECG200","rbfsvm"
"Kats",35,0.82,27,"ECG200","rbfsvm"
"tsfresh",517,0.81,27,"ECG200","rbfsvm"
"catch22",22,0.81,28,"ECG200","rbfsvm"
"feasts",39,0.85,28,"ECG200","rbfsvm"
"tsfeatures",59,0.85,28,"ECG200","rbfsvm"
"TSFEL",143,0.88,28,"ECG200","rbfsvm"
"Kats",35,0.82,28,"ECG200","rbfsvm"
"tsfresh",517,0.87,28,"ECG200","rbfsvm"
