"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.842622080679405,1,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.841825902335457,1,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.849787685774947,1,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.849522292993631,1,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.856687898089172,1,"ElectricDeviceDetection","rbfsvm"
"tsfresh",736,0.852176220806794,1,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.873938428874735,2,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.873407643312102,2,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.876857749469214,2,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.874734607218684,2,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.878980891719745,2,"ElectricDeviceDetection","rbfsvm"
"tsfresh",736,0.87791932059448,2,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.866507430997877,3,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.876326963906582,3,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.877653927813164,3,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.874469214437367,3,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.874203821656051,3,"ElectricDeviceDetection","rbfsvm"
"tsfresh",737,0.872611464968153,3,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.869692144373673,4,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.873142250530786,4,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.873938428874735,4,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.870753715498938,4,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.878450106157112,4,"ElectricDeviceDetection","rbfsvm"
"tsfresh",737,0.873142250530786,4,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.872346072186836,5,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.870222929936306,5,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.884819532908705,5,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.871815286624204,5,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.878715498938429,5,"ElectricDeviceDetection","rbfsvm"
"tsfresh",738,0.876592356687898,5,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.881104033970276,6,"ElectricDeviceDetection","rbfsvm"
"feasts",37,0.874203821656051,6,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.879777070063694,6,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.86703821656051,6,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.881900212314225,6,"ElectricDeviceDetection","rbfsvm"
"tsfresh",739,0.871815286624204,6,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.878450106157112,7,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.878184713375796,7,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.883492569002123,7,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.881900212314225,7,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.880573248407643,7,"ElectricDeviceDetection","rbfsvm"
"tsfresh",737,0.882165605095541,7,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.873938428874735,8,"ElectricDeviceDetection","rbfsvm"
"feasts",37,0.873673036093418,8,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.88588110403397,8,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.873938428874735,8,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.876857749469214,8,"ElectricDeviceDetection","rbfsvm"
"tsfresh",739,0.876326963906582,8,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.874203821656051,9,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.867569002123142,9,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.881104033970276,9,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.872346072186836,9,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.877388535031847,9,"ElectricDeviceDetection","rbfsvm"
"tsfresh",736,0.871284501061571,9,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.873938428874735,10,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.87791932059448,10,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.877388535031847,10,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.869957537154989,10,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.877653927813164,10,"ElectricDeviceDetection","rbfsvm"
"tsfresh",736,0.876326963906582,10,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.866507430997877,11,"ElectricDeviceDetection","rbfsvm"
"feasts",37,0.876061571125265,11,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.88375796178344,11,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.873142250530786,11,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.877123142250531,11,"ElectricDeviceDetection","rbfsvm"
"tsfresh",738,0.875265392781316,11,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.870222929936306,12,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.869426751592357,12,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.878715498938429,12,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.865180467091295,12,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.880307855626327,12,"ElectricDeviceDetection","rbfsvm"
"tsfresh",737,0.878715498938429,12,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.870753715498938,13,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.877123142250531,13,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.881634819532909,13,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.872346072186836,13,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.881634819532909,13,"ElectricDeviceDetection","rbfsvm"
"tsfresh",736,0.872876857749469,13,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.874469214437367,14,"ElectricDeviceDetection","rbfsvm"
"feasts",37,0.880307855626327,14,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.884023354564756,14,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.875796178343949,14,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.884288747346072,14,"ElectricDeviceDetection","rbfsvm"
"tsfresh",738,0.882430997876858,14,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.881104033970276,15,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.875530785562633,15,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.88375796178344,15,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.875,15,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.879246284501062,15,"ElectricDeviceDetection","rbfsvm"
"tsfresh",738,0.88083864118896,15,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.875,16,"ElectricDeviceDetection","rbfsvm"
"feasts",36,0.873673036093418,16,"ElectricDeviceDetection","rbfsvm"
"tsfeatures",57,0.878715498938429,16,"ElectricDeviceDetection","rbfsvm"
"TSFEL",146,0.870753715498938,16,"ElectricDeviceDetection","rbfsvm"
"Kats",35,0.880307855626327,16,"ElectricDeviceDetection","rbfsvm"
"tsfresh",737,0.871284501061571,16,"ElectricDeviceDetection","rbfsvm"
"catch22",22,0.87208067940552,17,"ElectricDeviceDetection","rbfsvm"
