"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.745679012345679,1,"FordB","rbfsvm"
"feasts",33,0.798765432098765,1,"FordB","rbfsvm"
"tsfeatures",59,0.808641975308642,1,"FordB","rbfsvm"
"TSFEL",144,0.824691358024691,1,"FordB","rbfsvm"
"Kats",34,0.782716049382716,1,"FordB","rbfsvm"
"tsfresh",731,0.809876543209877,1,"FordB","rbfsvm"
"catch22",22,0.861728395061728,2,"FordB","rbfsvm"
"feasts",33,0.907407407407407,2,"FordB","rbfsvm"
"tsfeatures",59,0.911111111111111,2,"FordB","rbfsvm"
"TSFEL",144,0.919753086419753,2,"FordB","rbfsvm"
"Kats",34,0.890123456790124,2,"FordB","rbfsvm"
"tsfresh",732,0.917283950617284,2,"FordB","rbfsvm"
"catch22",22,0.882716049382716,3,"FordB","rbfsvm"
"feasts",33,0.92716049382716,3,"FordB","rbfsvm"
"tsfeatures",59,0.925925925925926,3,"FordB","rbfsvm"
"TSFEL",144,0.920987654320988,3,"FordB","rbfsvm"
"Kats",34,0.914814814814815,3,"FordB","rbfsvm"
"tsfresh",732,0.938271604938272,3,"FordB","rbfsvm"
"catch22",22,0.87283950617284,4,"FordB","rbfsvm"
"feasts",33,0.924691358024691,4,"FordB","rbfsvm"
"tsfeatures",59,0.918518518518519,4,"FordB","rbfsvm"
"TSFEL",144,0.925925925925926,4,"FordB","rbfsvm"
"Kats",34,0.887654320987654,4,"FordB","rbfsvm"
"tsfresh",731,0.920987654320988,4,"FordB","rbfsvm"
"catch22",22,0.875308641975309,5,"FordB","rbfsvm"
"feasts",33,0.907407407407407,5,"FordB","rbfsvm"
"tsfeatures",59,0.909876543209877,5,"FordB","rbfsvm"
"TSFEL",144,0.916049382716049,5,"FordB","rbfsvm"
"Kats",33,0.893827160493827,5,"FordB","rbfsvm"
"tsfresh",731,0.91358024691358,5,"FordB","rbfsvm"
"catch22",22,0.869135802469136,6,"FordB","rbfsvm"
"feasts",33,0.908641975308642,6,"FordB","rbfsvm"
"tsfeatures",59,0.904938271604938,6,"FordB","rbfsvm"
"TSFEL",144,0.918518518518519,6,"FordB","rbfsvm"
"Kats",34,0.893827160493827,6,"FordB","rbfsvm"
"tsfresh",732,0.922222222222222,6,"FordB","rbfsvm"
"catch22",22,0.891358024691358,7,"FordB","rbfsvm"
"feasts",33,0.919753086419753,7,"FordB","rbfsvm"
"tsfeatures",59,0.924691358024691,7,"FordB","rbfsvm"
"TSFEL",144,0.922222222222222,7,"FordB","rbfsvm"
"Kats",34,0.912345679012346,7,"FordB","rbfsvm"
"tsfresh",730,0.946913580246914,7,"FordB","rbfsvm"
"catch22",22,0.871604938271605,8,"FordB","rbfsvm"
"feasts",33,0.92962962962963,8,"FordB","rbfsvm"
"tsfeatures",59,0.916049382716049,8,"FordB","rbfsvm"
"TSFEL",144,0.930864197530864,8,"FordB","rbfsvm"
"Kats",34,0.903703703703704,8,"FordB","rbfsvm"
"tsfresh",731,0.918518518518519,8,"FordB","rbfsvm"
"catch22",22,0.866666666666667,9,"FordB","rbfsvm"
"feasts",33,0.907407407407407,9,"FordB","rbfsvm"
"tsfeatures",59,0.9,9,"FordB","rbfsvm"
"TSFEL",144,0.909876543209877,9,"FordB","rbfsvm"
"Kats",34,0.897530864197531,9,"FordB","rbfsvm"
"tsfresh",732,0.919753086419753,9,"FordB","rbfsvm"
"catch22",22,0.866666666666667,10,"FordB","rbfsvm"
"feasts",33,0.92716049382716,10,"FordB","rbfsvm"
"tsfeatures",59,0.920987654320988,10,"FordB","rbfsvm"
"TSFEL",144,0.928395061728395,10,"FordB","rbfsvm"
"Kats",34,0.914814814814815,10,"FordB","rbfsvm"
"tsfresh",731,0.925925925925926,10,"FordB","rbfsvm"
"catch22",22,0.883950617283951,11,"FordB","rbfsvm"
"feasts",33,0.91358024691358,11,"FordB","rbfsvm"
"tsfeatures",59,0.911111111111111,11,"FordB","rbfsvm"
"TSFEL",144,0.916049382716049,11,"FordB","rbfsvm"
"Kats",33,0.906172839506173,11,"FordB","rbfsvm"
"tsfresh",732,0.925925925925926,11,"FordB","rbfsvm"
"catch22",22,0.869135802469136,12,"FordB","rbfsvm"
"feasts",33,0.9,12,"FordB","rbfsvm"
"tsfeatures",59,0.904938271604938,12,"FordB","rbfsvm"
"TSFEL",144,0.911111111111111,12,"FordB","rbfsvm"
"Kats",34,0.891358024691358,12,"FordB","rbfsvm"
"tsfresh",730,0.91358024691358,12,"FordB","rbfsvm"
"catch22",22,0.866666666666667,13,"FordB","rbfsvm"
"feasts",33,0.914814814814815,13,"FordB","rbfsvm"
"tsfeatures",59,0.914814814814815,13,"FordB","rbfsvm"
"TSFEL",144,0.914814814814815,13,"FordB","rbfsvm"
"Kats",34,0.896296296296296,13,"FordB","rbfsvm"
"tsfresh",730,0.906172839506173,13,"FordB","rbfsvm"
"catch22",22,0.87283950617284,14,"FordB","rbfsvm"
"feasts",33,0.903703703703704,14,"FordB","rbfsvm"
"tsfeatures",59,0.914814814814815,14,"FordB","rbfsvm"
"TSFEL",144,0.903703703703704,14,"FordB","rbfsvm"
"Kats",34,0.88641975308642,14,"FordB","rbfsvm"
"tsfresh",731,0.912345679012346,14,"FordB","rbfsvm"
"catch22",22,0.867901234567901,15,"FordB","rbfsvm"
"feasts",33,0.909876543209877,15,"FordB","rbfsvm"
"tsfeatures",59,0.911111111111111,15,"FordB","rbfsvm"
"TSFEL",144,0.914814814814815,15,"FordB","rbfsvm"
"Kats",34,0.898765432098765,15,"FordB","rbfsvm"
"tsfresh",731,0.904938271604938,15,"FordB","rbfsvm"
"catch22",22,0.875308641975309,16,"FordB","rbfsvm"
"feasts",33,0.925925925925926,16,"FordB","rbfsvm"
"tsfeatures",59,0.923456790123457,16,"FordB","rbfsvm"
"TSFEL",144,0.928395061728395,16,"FordB","rbfsvm"
"Kats",33,0.907407407407407,16,"FordB","rbfsvm"
"tsfresh",731,0.920987654320988,16,"FordB","rbfsvm"
"catch22",22,0.891358024691358,17,"FordB","rbfsvm"
"feasts",33,0.917283950617284,17,"FordB","rbfsvm"
"tsfeatures",59,0.923456790123457,17,"FordB","rbfsvm"
"TSFEL",144,0.925925925925926,17,"FordB","rbfsvm"
"Kats",34,0.916049382716049,17,"FordB","rbfsvm"
"tsfresh",732,0.920987654320988,17,"FordB","rbfsvm"
"catch22",22,0.880246913580247,18,"FordB","rbfsvm"
"feasts",33,0.906172839506173,18,"FordB","rbfsvm"
"tsfeatures",59,0.901234567901235,18,"FordB","rbfsvm"
"TSFEL",144,0.920987654320988,18,"FordB","rbfsvm"
