"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.811827956989247,1,"Fungi","rbfsvm"
"feasts",36,0.790322580645161,1,"Fungi","rbfsvm"
"tsfeatures",59,0.89247311827957,1,"Fungi","rbfsvm"
"TSFEL",142,0.811827956989247,1,"Fungi","rbfsvm"
"Kats",33,0.596774193548387,1,"Fungi","rbfsvm"
"tsfresh",725,0.741935483870968,1,"Fungi","rbfsvm"
"catch22",22,0.801075268817204,2,"Fungi","rbfsvm"
"feasts",36,0.876344086021505,2,"Fungi","rbfsvm"
"tsfeatures",59,0.908602150537634,2,"Fungi","rbfsvm"
"TSFEL",142,0.844086021505376,2,"Fungi","rbfsvm"
"Kats",33,0.618279569892473,2,"Fungi","rbfsvm"
"tsfresh",725,0.752688172043011,2,"Fungi","rbfsvm"
"catch22",22,0.870967741935484,3,"Fungi","rbfsvm"
"feasts",36,0.876344086021505,3,"Fungi","rbfsvm"
"tsfeatures",59,0.870967741935484,3,"Fungi","rbfsvm"
"TSFEL",142,0.833333333333333,3,"Fungi","rbfsvm"
"Kats",33,0.650537634408602,3,"Fungi","rbfsvm"
"tsfresh",725,0.698924731182796,3,"Fungi","rbfsvm"
"catch22",22,0.768817204301075,4,"Fungi","rbfsvm"
"feasts",36,0.881720430107527,4,"Fungi","rbfsvm"
"tsfeatures",59,0.903225806451613,4,"Fungi","rbfsvm"
"TSFEL",142,0.89247311827957,4,"Fungi","rbfsvm"
"Kats",33,0.682795698924731,4,"Fungi","rbfsvm"
"tsfresh",724,0.768817204301075,4,"Fungi","rbfsvm"
"catch22",22,0.790322580645161,5,"Fungi","rbfsvm"
"feasts",36,0.854838709677419,5,"Fungi","rbfsvm"
"tsfeatures",59,0.908602150537634,5,"Fungi","rbfsvm"
"TSFEL",142,0.838709677419355,5,"Fungi","rbfsvm"
"Kats",33,0.612903225806452,5,"Fungi","rbfsvm"
"tsfresh",725,0.682795698924731,5,"Fungi","rbfsvm"
"catch22",22,0.67741935483871,6,"Fungi","rbfsvm"
"feasts",36,0.774193548387097,6,"Fungi","rbfsvm"
"tsfeatures",59,0.89247311827957,6,"Fungi","rbfsvm"
"TSFEL",142,0.887096774193548,6,"Fungi","rbfsvm"
"Kats",33,0.650537634408602,6,"Fungi","rbfsvm"
"tsfresh",724,0.752688172043011,6,"Fungi","rbfsvm"
"catch22",22,0.806451612903226,7,"Fungi","rbfsvm"
"feasts",36,0.806451612903226,7,"Fungi","rbfsvm"
"tsfeatures",59,0.860215053763441,7,"Fungi","rbfsvm"
"TSFEL",142,0.833333333333333,7,"Fungi","rbfsvm"
"Kats",33,0.60752688172043,7,"Fungi","rbfsvm"
"tsfresh",725,0.688172043010753,7,"Fungi","rbfsvm"
"catch22",22,0.741935483870968,8,"Fungi","rbfsvm"
"feasts",36,0.865591397849462,8,"Fungi","rbfsvm"
"tsfeatures",59,0.887096774193548,8,"Fungi","rbfsvm"
"TSFEL",142,0.903225806451613,8,"Fungi","rbfsvm"
"Kats",33,0.623655913978495,8,"Fungi","rbfsvm"
"tsfresh",725,0.768817204301075,8,"Fungi","rbfsvm"
"catch22",22,0.709677419354839,9,"Fungi","rbfsvm"
"feasts",36,0.838709677419355,9,"Fungi","rbfsvm"
"tsfeatures",59,0.806451612903226,9,"Fungi","rbfsvm"
"TSFEL",142,0.817204301075269,9,"Fungi","rbfsvm"
"Kats",33,0.580645161290323,9,"Fungi","rbfsvm"
"tsfresh",724,0.655913978494624,9,"Fungi","rbfsvm"
"catch22",22,0.779569892473118,10,"Fungi","rbfsvm"
"feasts",36,0.833333333333333,10,"Fungi","rbfsvm"
"tsfeatures",59,0.709677419354839,10,"Fungi","rbfsvm"
"TSFEL",142,0.790322580645161,10,"Fungi","rbfsvm"
"Kats",33,0.661290322580645,10,"Fungi","rbfsvm"
"tsfresh",724,0.67741935483871,10,"Fungi","rbfsvm"
"catch22",22,0.887096774193548,11,"Fungi","rbfsvm"
"feasts",36,0.870967741935484,11,"Fungi","rbfsvm"
"tsfeatures",59,0.876344086021505,11,"Fungi","rbfsvm"
"TSFEL",142,0.876344086021505,11,"Fungi","rbfsvm"
"Kats",33,0.682795698924731,11,"Fungi","rbfsvm"
"tsfresh",725,0.768817204301075,11,"Fungi","rbfsvm"
"catch22",22,0.763440860215054,12,"Fungi","rbfsvm"
"feasts",36,0.833333333333333,12,"Fungi","rbfsvm"
"tsfeatures",59,0.887096774193548,12,"Fungi","rbfsvm"
"TSFEL",142,0.833333333333333,12,"Fungi","rbfsvm"
"Kats",33,0.645161290322581,12,"Fungi","rbfsvm"
"tsfresh",725,0.704301075268817,12,"Fungi","rbfsvm"
"catch22",22,0.806451612903226,13,"Fungi","rbfsvm"
"feasts",36,0.82258064516129,13,"Fungi","rbfsvm"
"tsfeatures",59,0.89247311827957,13,"Fungi","rbfsvm"
"TSFEL",142,0.876344086021505,13,"Fungi","rbfsvm"
"Kats",33,0.688172043010753,13,"Fungi","rbfsvm"
"tsfresh",724,0.736559139784946,13,"Fungi","rbfsvm"
"catch22",22,0.795698924731183,14,"Fungi","rbfsvm"
"feasts",36,0.82258064516129,14,"Fungi","rbfsvm"
"tsfeatures",59,0.876344086021505,14,"Fungi","rbfsvm"
"TSFEL",142,0.827956989247312,14,"Fungi","rbfsvm"
"Kats",33,0.629032258064516,14,"Fungi","rbfsvm"
"tsfresh",724,0.741935483870968,14,"Fungi","rbfsvm"
"catch22",22,0.811827956989247,15,"Fungi","rbfsvm"
"feasts",36,0.806451612903226,15,"Fungi","rbfsvm"
"tsfeatures",59,0.833333333333333,15,"Fungi","rbfsvm"
"TSFEL",142,0.849462365591398,15,"Fungi","rbfsvm"
"Kats",33,0.623655913978495,15,"Fungi","rbfsvm"
"tsfresh",725,0.774193548387097,15,"Fungi","rbfsvm"
"catch22",22,0.827956989247312,16,"Fungi","rbfsvm"
"feasts",36,0.849462365591398,16,"Fungi","rbfsvm"
