"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.619047619047619,1,"Ham","rbfsvm"
"feasts",37,0.571428571428571,1,"Ham","rbfsvm"
"tsfeatures",59,0.561904761904762,1,"Ham","rbfsvm"
"TSFEL",144,0.552380952380952,1,"Ham","rbfsvm"
"Kats",34,0.533333333333333,1,"Ham","rbfsvm"
"tsfresh",737,0.657142857142857,1,"Ham","rbfsvm"
"catch22",22,0.59047619047619,2,"Ham","rbfsvm"
"feasts",37,0.561904761904762,2,"Ham","rbfsvm"
"tsfeatures",59,0.761904761904762,2,"Ham","rbfsvm"
"TSFEL",144,0.638095238095238,2,"Ham","rbfsvm"
"Kats",34,0.59047619047619,2,"Ham","rbfsvm"
"tsfresh",737,0.733333333333333,2,"Ham","rbfsvm"
"catch22",22,0.628571428571429,3,"Ham","rbfsvm"
"feasts",37,0.59047619047619,3,"Ham","rbfsvm"
"tsfeatures",59,0.704761904761905,3,"Ham","rbfsvm"
"TSFEL",144,0.695238095238095,3,"Ham","rbfsvm"
"Kats",34,0.60952380952381,3,"Ham","rbfsvm"
"tsfresh",737,0.742857142857143,3,"Ham","rbfsvm"
"catch22",22,0.542857142857143,4,"Ham","rbfsvm"
"feasts",37,0.542857142857143,4,"Ham","rbfsvm"
"tsfeatures",59,0.638095238095238,4,"Ham","rbfsvm"
"TSFEL",144,0.619047619047619,4,"Ham","rbfsvm"
"Kats",34,0.571428571428571,4,"Ham","rbfsvm"
"tsfresh",737,0.657142857142857,4,"Ham","rbfsvm"
"catch22",22,0.647619047619048,5,"Ham","rbfsvm"
"feasts",37,0.60952380952381,5,"Ham","rbfsvm"
"tsfeatures",59,0.695238095238095,5,"Ham","rbfsvm"
"TSFEL",144,0.685714285714286,5,"Ham","rbfsvm"
"Kats",34,0.647619047619048,5,"Ham","rbfsvm"
"tsfresh",737,0.704761904761905,5,"Ham","rbfsvm"
"catch22",22,0.580952380952381,6,"Ham","rbfsvm"
"feasts",37,0.6,6,"Ham","rbfsvm"
"tsfeatures",59,0.638095238095238,6,"Ham","rbfsvm"
"TSFEL",144,0.619047619047619,6,"Ham","rbfsvm"
"Kats",34,0.60952380952381,6,"Ham","rbfsvm"
"tsfresh",737,0.695238095238095,6,"Ham","rbfsvm"
"catch22",22,0.580952380952381,7,"Ham","rbfsvm"
"feasts",37,0.60952380952381,7,"Ham","rbfsvm"
"tsfeatures",59,0.742857142857143,7,"Ham","rbfsvm"
"TSFEL",144,0.647619047619048,7,"Ham","rbfsvm"
"Kats",34,0.533333333333333,7,"Ham","rbfsvm"
"tsfresh",737,0.733333333333333,7,"Ham","rbfsvm"
"catch22",22,0.552380952380952,8,"Ham","rbfsvm"
"feasts",37,0.533333333333333,8,"Ham","rbfsvm"
"tsfeatures",59,0.638095238095238,8,"Ham","rbfsvm"
"TSFEL",144,0.580952380952381,8,"Ham","rbfsvm"
"Kats",34,0.561904761904762,8,"Ham","rbfsvm"
"tsfresh",737,0.714285714285714,8,"Ham","rbfsvm"
"catch22",22,0.552380952380952,9,"Ham","rbfsvm"
"feasts",37,0.542857142857143,9,"Ham","rbfsvm"
"tsfeatures",59,0.60952380952381,9,"Ham","rbfsvm"
"TSFEL",144,0.60952380952381,9,"Ham","rbfsvm"
"Kats",34,0.6,9,"Ham","rbfsvm"
"tsfresh",737,0.685714285714286,9,"Ham","rbfsvm"
"catch22",22,0.676190476190476,10,"Ham","rbfsvm"
"feasts",37,0.695238095238095,10,"Ham","rbfsvm"
"tsfeatures",59,0.695238095238095,10,"Ham","rbfsvm"
"TSFEL",144,0.704761904761905,10,"Ham","rbfsvm"
"Kats",34,0.60952380952381,10,"Ham","rbfsvm"
"tsfresh",737,0.752380952380952,10,"Ham","rbfsvm"
"catch22",22,0.704761904761905,11,"Ham","rbfsvm"
"feasts",37,0.580952380952381,11,"Ham","rbfsvm"
"tsfeatures",59,0.742857142857143,11,"Ham","rbfsvm"
"TSFEL",144,0.666666666666667,11,"Ham","rbfsvm"
"Kats",34,0.571428571428571,11,"Ham","rbfsvm"
"tsfresh",737,0.761904761904762,11,"Ham","rbfsvm"
"catch22",22,0.60952380952381,12,"Ham","rbfsvm"
"feasts",37,0.542857142857143,12,"Ham","rbfsvm"
"tsfeatures",59,0.666666666666667,12,"Ham","rbfsvm"
"TSFEL",144,0.647619047619048,12,"Ham","rbfsvm"
"Kats",34,0.580952380952381,12,"Ham","rbfsvm"
"tsfresh",737,0.733333333333333,12,"Ham","rbfsvm"
"catch22",22,0.638095238095238,13,"Ham","rbfsvm"
"feasts",37,0.638095238095238,13,"Ham","rbfsvm"
"tsfeatures",59,0.638095238095238,13,"Ham","rbfsvm"
"TSFEL",144,0.619047619047619,13,"Ham","rbfsvm"
"Kats",34,0.59047619047619,13,"Ham","rbfsvm"
"tsfresh",737,0.761904761904762,13,"Ham","rbfsvm"
"catch22",22,0.704761904761905,14,"Ham","rbfsvm"
"feasts",37,0.628571428571429,14,"Ham","rbfsvm"
"tsfeatures",59,0.638095238095238,14,"Ham","rbfsvm"
"TSFEL",144,0.638095238095238,14,"Ham","rbfsvm"
"Kats",34,0.552380952380952,14,"Ham","rbfsvm"
"tsfresh",737,0.723809523809524,14,"Ham","rbfsvm"
"catch22",22,0.60952380952381,15,"Ham","rbfsvm"
"feasts",37,0.628571428571429,15,"Ham","rbfsvm"
"tsfeatures",59,0.666666666666667,15,"Ham","rbfsvm"
"TSFEL",144,0.657142857142857,15,"Ham","rbfsvm"
"Kats",34,0.561904761904762,15,"Ham","rbfsvm"
"tsfresh",737,0.723809523809524,15,"Ham","rbfsvm"
"catch22",22,0.647619047619048,16,"Ham","rbfsvm"
"feasts",37,0.6,16,"Ham","rbfsvm"
"tsfeatures",59,0.676190476190476,16,"Ham","rbfsvm"
"TSFEL",144,0.657142857142857,16,"Ham","rbfsvm"
"Kats",34,0.6,16,"Ham","rbfsvm"
"tsfresh",737,0.723809523809524,16,"Ham","rbfsvm"
