"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.887550200803213,1,"InsectEPGRegularTrain","rbfsvm"
"feasts",37,0.93574297188755,1,"InsectEPGRegularTrain","rbfsvm"
"tsfeatures",59,0.975903614457831,1,"InsectEPGRegularTrain","rbfsvm"
"TSFEL",144,0.963855421686747,1,"InsectEPGRegularTrain","rbfsvm"
"Kats",36,0.979919678714859,1,"InsectEPGRegularTrain","rbfsvm"
"tsfresh",734,0.85140562248996,1,"InsectEPGRegularTrain","rbfsvm"
"catch22",22,0.879518072289157,2,"InsectEPGRegularTrain","rbfsvm"
"feasts",36,0.891566265060241,2,"InsectEPGRegularTrain","rbfsvm"
"tsfeatures",59,0.963855421686747,2,"InsectEPGRegularTrain","rbfsvm"
"TSFEL",143,0.923694779116466,2,"InsectEPGRegularTrain","rbfsvm"
"Kats",36,0.967871485943775,2,"InsectEPGRegularTrain","rbfsvm"
"tsfresh",733,0.879518072289157,2,"InsectEPGRegularTrain","rbfsvm"
"catch22",22,0.843373493975904,3,"InsectEPGRegularTrain","rbfsvm"
"feasts",36,0.891566265060241,3,"InsectEPGRegularTrain","rbfsvm"
"tsfeatures",59,0.931726907630522,3,"InsectEPGRegularTrain","rbfsvm"
"TSFEL",143,0.91566265060241,3,"InsectEPGRegularTrain","rbfsvm"
"Kats",36,0.93574297188755,3,"InsectEPGRegularTrain","rbfsvm"
"tsfresh",734,0.855421686746988,3,"InsectEPGRegularTrain","rbfsvm"
"catch22",22,0.859437751004016,4,"InsectEPGRegularTrain","rbfsvm"
"feasts",35,0.955823293172691,4,"InsectEPGRegularTrain","rbfsvm"
"tsfeatures",59,0.987951807228916,4,"InsectEPGRegularTrain","rbfsvm"
"TSFEL",142,0.979919678714859,4,"InsectEPGRegularTrain","rbfsvm"
"Kats",36,0.975903614457831,4,"InsectEPGRegularTrain","rbfsvm"
"tsfresh",734,0.855421686746988,4,"InsectEPGRegularTrain","rbfsvm"
"catch22",22,0.883534136546185,5,"InsectEPGRegularTrain","rbfsvm"
"feasts",37,0.923694779116466,5,"InsectEPGRegularTrain","rbfsvm"
"tsfeatures",59,0.979919678714859,5,"InsectEPGRegularTrain","rbfsvm"
"TSFEL",143,0.947791164658635,5,"InsectEPGRegularTrain","rbfsvm"
"Kats",36,0.971887550200803,5,"InsectEPGRegularTrain","rbfsvm"
"tsfresh",734,0.855421686746988,5,"InsectEPGRegularTrain","rbfsvm"
"catch22",22,0.895582329317269,6,"InsectEPGRegularTrain","rbfsvm"
"feasts",37,0.93574297188755,6,"InsectEPGRegularTrain","rbfsvm"
"tsfeatures",59,0.983935742971888,6,"InsectEPGRegularTrain","rbfsvm"
"TSFEL",144,0.963855421686747,6,"InsectEPGRegularTrain","rbfsvm"
"Kats",36,0.971887550200803,6,"InsectEPGRegularTrain","rbfsvm"
"tsfresh",734,0.867469879518072,6,"InsectEPGRegularTrain","rbfsvm"
"catch22",22,0.931726907630522,7,"InsectEPGRegularTrain","rbfsvm"
"feasts",35,0.927710843373494,7,"InsectEPGRegularTrain","rbfsvm"
"tsfeatures",59,0.955823293172691,7,"InsectEPGRegularTrain","rbfsvm"
"TSFEL",144,0.93574297188755,7,"InsectEPGRegularTrain","rbfsvm"
"Kats",36,0.955823293172691,7,"InsectEPGRegularTrain","rbfsvm"
"tsfresh",733,0.847389558232932,7,"InsectEPGRegularTrain","rbfsvm"
"catch22",22,0.863453815261044,8,"InsectEPGRegularTrain","rbfsvm"
"feasts",36,0.951807228915663,8,"InsectEPGRegularTrain","rbfsvm"
"tsfeatures",59,0.971887550200803,8,"InsectEPGRegularTrain","rbfsvm"
"TSFEL",144,0.963855421686747,8,"InsectEPGRegularTrain","rbfsvm"
"Kats",36,0.971887550200803,8,"InsectEPGRegularTrain","rbfsvm"
"tsfresh",733,0.855421686746988,8,"InsectEPGRegularTrain","rbfsvm"
"catch22",22,0.891566265060241,9,"InsectEPGRegularTrain","rbfsvm"
"feasts",36,0.931726907630522,9,"InsectEPGRegularTrain","rbfsvm"
"tsfeatures",59,0.951807228915663,9,"InsectEPGRegularTrain","rbfsvm"
"TSFEL",143,0.947791164658635,9,"InsectEPGRegularTrain","rbfsvm"
"Kats",36,0.971887550200803,9,"InsectEPGRegularTrain","rbfsvm"
"tsfresh",735,0.883534136546185,9,"InsectEPGRegularTrain","rbfsvm"
"catch22",22,0.8714859437751,10,"InsectEPGRegularTrain","rbfsvm"
"feasts",37,0.919678714859438,10,"InsectEPGRegularTrain","rbfsvm"
"tsfeatures",59,0.963855421686747,10,"InsectEPGRegularTrain","rbfsvm"
"TSFEL",143,0.939759036144578,10,"InsectEPGRegularTrain","rbfsvm"
"Kats",36,0.955823293172691,10,"InsectEPGRegularTrain","rbfsvm"
"tsfresh",735,0.799196787148594,10,"InsectEPGRegularTrain","rbfsvm"
