"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.834666666666667,1,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.722666666666667,1,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.845333333333333,1,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.722666666666667,1,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.786666666666667,1,"LargeKitchenAppliances","rbfsvm"
"tsfresh",728,0.746666666666667,1,"LargeKitchenAppliances","rbfsvm"
"catch22",22,0.829333333333333,2,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.802666666666667,2,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.866666666666667,2,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.8,2,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.797333333333333,2,"LargeKitchenAppliances","rbfsvm"
"tsfresh",729,0.802666666666667,2,"LargeKitchenAppliances","rbfsvm"
"catch22",22,0.816,3,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.770666666666667,3,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.850666666666667,3,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.813333333333333,3,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.834666666666667,3,"LargeKitchenAppliances","rbfsvm"
"tsfresh",728,0.789333333333333,3,"LargeKitchenAppliances","rbfsvm"
"catch22",22,0.810666666666667,4,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.762666666666667,4,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.856,4,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.792,4,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.818666666666667,4,"LargeKitchenAppliances","rbfsvm"
"tsfresh",728,0.794666666666667,4,"LargeKitchenAppliances","rbfsvm"
"catch22",22,0.837333333333333,5,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.794666666666667,5,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.885333333333333,5,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.824,5,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.824,5,"LargeKitchenAppliances","rbfsvm"
"tsfresh",729,0.826666666666667,5,"LargeKitchenAppliances","rbfsvm"
"catch22",22,0.848,6,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.792,6,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.834666666666667,6,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.797333333333333,6,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.821333333333333,6,"LargeKitchenAppliances","rbfsvm"
"tsfresh",730,0.805333333333333,6,"LargeKitchenAppliances","rbfsvm"
"catch22",22,0.813333333333333,7,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.773333333333333,7,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.874666666666667,7,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.768,7,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.818666666666667,7,"LargeKitchenAppliances","rbfsvm"
"tsfresh",729,0.8,7,"LargeKitchenAppliances","rbfsvm"
"catch22",22,0.842666666666667,8,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.797333333333333,8,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.861333333333333,8,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.805333333333333,8,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.853333333333333,8,"LargeKitchenAppliances","rbfsvm"
"tsfresh",729,0.818666666666667,8,"LargeKitchenAppliances","rbfsvm"
"catch22",22,0.816,9,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.778666666666667,9,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.88,9,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.8,9,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.824,9,"LargeKitchenAppliances","rbfsvm"
"tsfresh",727,0.786666666666667,9,"LargeKitchenAppliances","rbfsvm"
"catch22",22,0.818666666666667,10,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.773333333333333,10,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.853333333333333,10,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.784,10,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.821333333333333,10,"LargeKitchenAppliances","rbfsvm"
"tsfresh",732,0.794666666666667,10,"LargeKitchenAppliances","rbfsvm"
"catch22",22,0.834666666666667,11,"LargeKitchenAppliances","rbfsvm"
"feasts",39,0.792,11,"LargeKitchenAppliances","rbfsvm"
"tsfeatures",59,0.888,11,"LargeKitchenAppliances","rbfsvm"
"TSFEL",145,0.813333333333333,11,"LargeKitchenAppliances","rbfsvm"
"Kats",36,0.829333333333333,11,"LargeKitchenAppliances","rbfsvm"
