"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.47945205479452,1,"Lightning7","rbfsvm"
"feasts",39,0.657534246575342,1,"Lightning7","rbfsvm"
"tsfeatures",59,0.643835616438356,1,"Lightning7","rbfsvm"
"TSFEL",144,0.547945205479452,1,"Lightning7","rbfsvm"
"Kats",36,0.575342465753425,1,"Lightning7","rbfsvm"
"tsfresh",731,0.520547945205479,1,"Lightning7","rbfsvm"
"catch22",22,0.643835616438356,2,"Lightning7","rbfsvm"
"feasts",39,0.671232876712329,2,"Lightning7","rbfsvm"
"tsfeatures",59,0.684931506849315,2,"Lightning7","rbfsvm"
"TSFEL",145,0.63013698630137,2,"Lightning7","rbfsvm"
"Kats",35,0.63013698630137,2,"Lightning7","rbfsvm"
"tsfresh",731,0.547945205479452,2,"Lightning7","rbfsvm"
"catch22",22,0.602739726027397,3,"Lightning7","rbfsvm"
"feasts",39,0.602739726027397,3,"Lightning7","rbfsvm"
"tsfeatures",59,0.63013698630137,3,"Lightning7","rbfsvm"
"TSFEL",144,0.547945205479452,3,"Lightning7","rbfsvm"
"Kats",36,0.534246575342466,3,"Lightning7","rbfsvm"
"tsfresh",731,0.520547945205479,3,"Lightning7","rbfsvm"
"catch22",22,0.602739726027397,4,"Lightning7","rbfsvm"
"feasts",39,0.643835616438356,4,"Lightning7","rbfsvm"
"tsfeatures",59,0.643835616438356,4,"Lightning7","rbfsvm"
"TSFEL",145,0.575342465753425,4,"Lightning7","rbfsvm"
"Kats",36,0.575342465753425,4,"Lightning7","rbfsvm"
"tsfresh",731,0.589041095890411,4,"Lightning7","rbfsvm"
"catch22",22,0.63013698630137,5,"Lightning7","rbfsvm"
"feasts",39,0.63013698630137,5,"Lightning7","rbfsvm"
"tsfeatures",59,0.657534246575342,5,"Lightning7","rbfsvm"
"TSFEL",145,0.534246575342466,5,"Lightning7","rbfsvm"
"Kats",36,0.452054794520548,5,"Lightning7","rbfsvm"
"tsfresh",731,0.602739726027397,5,"Lightning7","rbfsvm"
"catch22",22,0.534246575342466,6,"Lightning7","rbfsvm"
"feasts",39,0.589041095890411,6,"Lightning7","rbfsvm"
"tsfeatures",59,0.575342465753425,6,"Lightning7","rbfsvm"
"TSFEL",145,0.534246575342466,6,"Lightning7","rbfsvm"
"Kats",36,0.493150684931507,6,"Lightning7","rbfsvm"
"tsfresh",731,0.534246575342466,6,"Lightning7","rbfsvm"
"catch22",22,0.575342465753425,7,"Lightning7","rbfsvm"
"feasts",39,0.671232876712329,7,"Lightning7","rbfsvm"
"tsfeatures",59,0.671232876712329,7,"Lightning7","rbfsvm"
"TSFEL",145,0.534246575342466,7,"Lightning7","rbfsvm"
"Kats",36,0.561643835616438,7,"Lightning7","rbfsvm"
"tsfresh",731,0.506849315068493,7,"Lightning7","rbfsvm"
"catch22",22,0.534246575342466,8,"Lightning7","rbfsvm"
"feasts",39,0.684931506849315,8,"Lightning7","rbfsvm"
"tsfeatures",59,0.602739726027397,8,"Lightning7","rbfsvm"
"TSFEL",145,0.589041095890411,8,"Lightning7","rbfsvm"
"Kats",35,0.602739726027397,8,"Lightning7","rbfsvm"
"tsfresh",731,0.561643835616438,8,"Lightning7","rbfsvm"
"catch22",22,0.493150684931507,9,"Lightning7","rbfsvm"
"feasts",39,0.63013698630137,9,"Lightning7","rbfsvm"
"tsfeatures",59,0.63013698630137,9,"Lightning7","rbfsvm"
"TSFEL",145,0.561643835616438,9,"Lightning7","rbfsvm"
"Kats",36,0.465753424657534,9,"Lightning7","rbfsvm"
"tsfresh",731,0.589041095890411,9,"Lightning7","rbfsvm"
"catch22",22,0.465753424657534,10,"Lightning7","rbfsvm"
"feasts",39,0.657534246575342,10,"Lightning7","rbfsvm"
"tsfeatures",59,0.643835616438356,10,"Lightning7","rbfsvm"
"TSFEL",145,0.589041095890411,10,"Lightning7","rbfsvm"
"Kats",36,0.561643835616438,10,"Lightning7","rbfsvm"
"tsfresh",731,0.520547945205479,10,"Lightning7","rbfsvm"
"catch22",22,0.506849315068493,11,"Lightning7","rbfsvm"
"feasts",39,0.657534246575342,11,"Lightning7","rbfsvm"
"tsfeatures",59,0.616438356164384,11,"Lightning7","rbfsvm"
"TSFEL",145,0.534246575342466,11,"Lightning7","rbfsvm"
"Kats",35,0.547945205479452,11,"Lightning7","rbfsvm"
"tsfresh",731,0.506849315068493,11,"Lightning7","rbfsvm"
"catch22",22,0.47945205479452,12,"Lightning7","rbfsvm"
"feasts",39,0.643835616438356,12,"Lightning7","rbfsvm"
"tsfeatures",59,0.602739726027397,12,"Lightning7","rbfsvm"
"TSFEL",145,0.534246575342466,12,"Lightning7","rbfsvm"
"Kats",36,0.493150684931507,12,"Lightning7","rbfsvm"
"tsfresh",731,0.520547945205479,12,"Lightning7","rbfsvm"
"catch22",22,0.575342465753425,13,"Lightning7","rbfsvm"
"feasts",39,0.684931506849315,13,"Lightning7","rbfsvm"
"tsfeatures",59,0.684931506849315,13,"Lightning7","rbfsvm"
"TSFEL",145,0.534246575342466,13,"Lightning7","rbfsvm"
"Kats",36,0.547945205479452,13,"Lightning7","rbfsvm"
"tsfresh",731,0.547945205479452,13,"Lightning7","rbfsvm"
"catch22",22,0.520547945205479,14,"Lightning7","rbfsvm"
