"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",20,0.79275053304904,1,"Mallat","rbfsvm"
"feasts",35,0.700639658848614,1,"Mallat","rbfsvm"
"tsfeatures",57,0.815351812366738,1,"Mallat","rbfsvm"
"TSFEL",142,0.857142857142857,1,"Mallat","rbfsvm"
"Kats",35,0.698081023454158,1,"Mallat","rbfsvm"
"tsfresh",724,0.799573560767591,1,"Mallat","rbfsvm"
"catch22",20,0.71727078891258,2,"Mallat","rbfsvm"
"feasts",35,0.851599147121535,2,"Mallat","rbfsvm"
"tsfeatures",57,0.906609808102345,2,"Mallat","rbfsvm"
"TSFEL",142,0.85543710021322,2,"Mallat","rbfsvm"
"Kats",35,0.76545842217484,2,"Mallat","rbfsvm"
"tsfresh",723,0.864818763326226,2,"Mallat","rbfsvm"
"catch22",20,0.771428571428571,3,"Mallat","rbfsvm"
"feasts",35,0.754797441364606,3,"Mallat","rbfsvm"
"tsfeatures",57,0.815778251599147,3,"Mallat","rbfsvm"
"TSFEL",143,0.854584221748401,3,"Mallat","rbfsvm"
"Kats",35,0.795309168443497,3,"Mallat","rbfsvm"
"tsfresh",729,0.840938166311301,3,"Mallat","rbfsvm"
"catch22",20,0.713859275053305,4,"Mallat","rbfsvm"
"feasts",35,0.736034115138593,4,"Mallat","rbfsvm"
"tsfeatures",57,0.866950959488273,4,"Mallat","rbfsvm"
"TSFEL",143,0.88997867803838,4,"Mallat","rbfsvm"
"Kats",35,0.672921108742004,4,"Mallat","rbfsvm"
"tsfresh",729,0.828144989339019,4,"Mallat","rbfsvm"
"catch22",20,0.750959488272921,5,"Mallat","rbfsvm"
"feasts",35,0.728784648187633,5,"Mallat","rbfsvm"
"tsfeatures",57,0.836673773987207,5,"Mallat","rbfsvm"
"TSFEL",143,0.897228144989339,5,"Mallat","rbfsvm"
"Kats",35,0.689125799573561,5,"Mallat","rbfsvm"
"tsfresh",730,0.881023454157782,5,"Mallat","rbfsvm"
"catch22",20,0.784221748400853,6,"Mallat","rbfsvm"
"feasts",35,0.871215351812367,6,"Mallat","rbfsvm"
"tsfeatures",59,0.852878464818763,6,"Mallat","rbfsvm"
"TSFEL",142,0.815778251599147,6,"Mallat","rbfsvm"
"Kats",35,0.655863539445629,6,"Mallat","rbfsvm"
"tsfresh",723,0.857995735607676,6,"Mallat","rbfsvm"
"catch22",20,0.75138592750533,7,"Mallat","rbfsvm"
"feasts",35,0.745842217484008,7,"Mallat","rbfsvm"
"tsfeatures",57,0.830277185501066,7,"Mallat","rbfsvm"
"TSFEL",142,0.816204690831557,7,"Mallat","rbfsvm"
"Kats",35,0.695522388059701,7,"Mallat","rbfsvm"
"tsfresh",722,0.835820895522388,7,"Mallat","rbfsvm"
"catch22",20,0.71684434968017,8,"Mallat","rbfsvm"
"feasts",35,0.782089552238806,8,"Mallat","rbfsvm"
"tsfeatures",59,0.862686567164179,8,"Mallat","rbfsvm"
"TSFEL",143,0.822174840085288,8,"Mallat","rbfsvm"
"Kats",35,0.755650319829424,8,"Mallat","rbfsvm"
"tsfresh",731,0.805117270788913,8,"Mallat","rbfsvm"
"catch22",20,0.781663113006397,9,"Mallat","rbfsvm"
"feasts",35,0.8,9,"Mallat","rbfsvm"
"tsfeatures",59,0.888699360341151,9,"Mallat","rbfsvm"
"TSFEL",143,0.899360341151386,9,"Mallat","rbfsvm"
"Kats",35,0.754797441364606,9,"Mallat","rbfsvm"
"tsfresh",728,0.870362473347548,9,"Mallat","rbfsvm"
"catch22",20,0.724520255863539,10,"Mallat","rbfsvm"
"feasts",35,0.809808102345416,10,"Mallat","rbfsvm"
"tsfeatures",57,0.908742004264392,10,"Mallat","rbfsvm"
"TSFEL",142,0.87590618336887,10,"Mallat","rbfsvm"
"Kats",35,0.724520255863539,10,"Mallat","rbfsvm"
"tsfresh",723,0.86183368869936,10,"Mallat","rbfsvm"
"catch22",20,0.755650319829424,11,"Mallat","rbfsvm"
"feasts",35,0.707462686567164,11,"Mallat","rbfsvm"
"tsfeatures",57,0.886140724946695,11,"Mallat","rbfsvm"
"TSFEL",143,0.828571428571429,11,"Mallat","rbfsvm"
"Kats",35,0.689125799573561,11,"Mallat","rbfsvm"
"tsfresh",730,0.866524520255864,11,"Mallat","rbfsvm"
"catch22",20,0.719829424307036,12,"Mallat","rbfsvm"
"feasts",35,0.811513859275053,12,"Mallat","rbfsvm"
"tsfeatures",57,0.860980810234542,12,"Mallat","rbfsvm"
"TSFEL",143,0.876332622601279,12,"Mallat","rbfsvm"
"Kats",35,0.677611940298507,12,"Mallat","rbfsvm"
"tsfresh",730,0.849040511727079,12,"Mallat","rbfsvm"
"catch22",20,0.755650319829424,13,"Mallat","rbfsvm"
"feasts",35,0.831556503198294,13,"Mallat","rbfsvm"
"tsfeatures",57,0.851172707889126,13,"Mallat","rbfsvm"
"TSFEL",143,0.887420042643923,13,"Mallat","rbfsvm"
"Kats",35,0.685714285714286,13,"Mallat","rbfsvm"
"tsfresh",729,0.872068230277185,13,"Mallat","rbfsvm"
"catch22",20,0.795309168443497,14,"Mallat","rbfsvm"
"feasts",35,0.749680170575693,14,"Mallat","rbfsvm"
"tsfeatures",57,0.892963752665245,14,"Mallat","rbfsvm"
"TSFEL",143,0.831982942430704,14,"Mallat","rbfsvm"
"Kats",35,0.722388059701493,14,"Mallat","rbfsvm"
"tsfresh",730,0.815778251599147,14,"Mallat","rbfsvm"
"catch22",20,0.757782515991471,15,"Mallat","rbfsvm"
"feasts",35,0.824307036247335,15,"Mallat","rbfsvm"
"tsfeatures",59,0.774840085287847,15,"Mallat","rbfsvm"
"TSFEL",143,0.825159914712154,15,"Mallat","rbfsvm"
"Kats",35,0.712153518123667,15,"Mallat","rbfsvm"
"tsfresh",729,0.799147121535181,15,"Mallat","rbfsvm"
"catch22",20,0.74498933901919,16,"Mallat","rbfsvm"
"feasts",35,0.872921108742004,16,"Mallat","rbfsvm"
"tsfeatures",57,0.910874200426439,16,"Mallat","rbfsvm"
"TSFEL",142,0.915991471215352,16,"Mallat","rbfsvm"
