"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.551948051948052,1,"MiddlePhalanxTW","rbfsvm"
"feasts",33,0.590909090909091,1,"MiddlePhalanxTW","rbfsvm"
"tsfeatures",59,0.558441558441558,1,"MiddlePhalanxTW","rbfsvm"
"TSFEL",141,0.577922077922078,1,"MiddlePhalanxTW","rbfsvm"
"Kats",36,0.590909090909091,1,"MiddlePhalanxTW","rbfsvm"
"tsfresh",479,0.584415584415584,1,"MiddlePhalanxTW","rbfsvm"
"catch22",22,0.545454545454545,2,"MiddlePhalanxTW","rbfsvm"
"feasts",33,0.558441558441558,2,"MiddlePhalanxTW","rbfsvm"
"tsfeatures",59,0.577922077922078,2,"MiddlePhalanxTW","rbfsvm"
"TSFEL",141,0.564935064935065,2,"MiddlePhalanxTW","rbfsvm"
"Kats",36,0.584415584415584,2,"MiddlePhalanxTW","rbfsvm"
"tsfresh",479,0.558441558441558,2,"MiddlePhalanxTW","rbfsvm"
"catch22",21,0.558441558441558,3,"MiddlePhalanxTW","rbfsvm"
"feasts",33,0.616883116883117,3,"MiddlePhalanxTW","rbfsvm"
"tsfeatures",59,0.623376623376623,3,"MiddlePhalanxTW","rbfsvm"
"TSFEL",141,0.584415584415584,3,"MiddlePhalanxTW","rbfsvm"
"Kats",36,0.636363636363636,3,"MiddlePhalanxTW","rbfsvm"
"tsfresh",479,0.623376623376623,3,"MiddlePhalanxTW","rbfsvm"
"catch22",22,0.551948051948052,4,"MiddlePhalanxTW","rbfsvm"
"feasts",33,0.558441558441558,4,"MiddlePhalanxTW","rbfsvm"
"tsfeatures",59,0.603896103896104,4,"MiddlePhalanxTW","rbfsvm"
"TSFEL",141,0.577922077922078,4,"MiddlePhalanxTW","rbfsvm"
"Kats",36,0.571428571428571,4,"MiddlePhalanxTW","rbfsvm"
"tsfresh",480,0.551948051948052,4,"MiddlePhalanxTW","rbfsvm"
"catch22",21,0.545454545454545,5,"MiddlePhalanxTW","rbfsvm"
"feasts",33,0.571428571428571,5,"MiddlePhalanxTW","rbfsvm"
