"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.830282861896839,1,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.871880199667221,1,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.853577371048253,1,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",142,0.880199667221298,1,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.793677204658902,1,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",463,0.792013311148086,1,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.833610648918469,2,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.901830282861897,2,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.876871880199667,2,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.873544093178037,2,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.768718801996672,2,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",463,0.896838602329451,2,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.915141430948419,3,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.941763727121464,3,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.916805324459235,3,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.920133111480865,3,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.856905158069884,3,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.933444259567388,3,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.833610648918469,4,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.928452579034942,4,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.91846921797005,4,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.916805324459235,4,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.841930116472546,4,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",462,0.818635607321131,4,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.826955074875208,5,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.915141430948419,5,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.941763727121464,5,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.818635607321131,5,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.835274542429285,5,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",463,0.845257903494176,5,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.903494176372712,6,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.958402662229617,6,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.950083194675541,6,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",142,0.928452579034942,6,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.855241264559068,6,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.941763727121464,6,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.835274542429285,7,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.938435940099834,7,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.886855241264559,7,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.928452579034942,7,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.888519134775374,7,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",463,0.762063227953411,7,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.806988352745424,8,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.86522462562396,8,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.855241264559068,8,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.883527454242928,8,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.803660565723794,8,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.86189683860233,8,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.856905158069884,9,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.906821963394343,9,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.900166389351082,9,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.916805324459235,9,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.898502495840266,9,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.900166389351082,9,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.92179700499168,10,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.833610648918469,10,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.905158069883527,10,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.848585690515807,10,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.895174708818636,10,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",463,0.89018302828619,10,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.885191347753744,11,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.911813643926789,11,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.86189683860233,11,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.89351081530782,11,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.75540765391015,11,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",463,0.805324459234609,11,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.926788685524126,12,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.92179700499168,12,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.911813643926789,12,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.826955074875208,12,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.793677204658902,12,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",462,0.703826955074875,12,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.92179700499168,13,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.94342762063228,13,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.961730449251248,13,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.936772046589018,13,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.910149750415973,13,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.930116472545757,13,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.86189683860233,14,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.931780366056572,14,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.931780366056572,14,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.89018302828619,14,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.851913477537438,14,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.911813643926789,14,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.908485856905158,15,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.945091514143095,15,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.955074875207987,15,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.948419301164726,15,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.888519134775374,15,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.91846921797005,15,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.866888519134775,16,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.916805324459235,16,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.895174708818636,16,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",142,0.878535773710483,16,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.848585690515807,16,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",463,0.903494176372712,16,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.723793677204659,17,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.906821963394343,17,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.84026622296173,17,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",145,0.931780366056572,17,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.845257903494176,17,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.91846921797005,17,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.89018302828619,18,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.941763727121464,18,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.945091514143095,18,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.941763727121464,18,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.920133111480865,18,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.931780366056572,18,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.800332778702163,19,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.81198003327787,19,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.825291181364393,19,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.820299500831947,19,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.748752079866889,19,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.743760399334443,19,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.92179700499168,20,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.933444259567388,20,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.901830282861897,20,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",145,0.92179700499168,20,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.880199667221298,20,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",463,0.883527454242928,20,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.878535773710483,21,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.94675540765391,21,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.940099833610649,21,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.923460898502496,21,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.823627287853577,21,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",462,0.923460898502496,21,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.92179700499168,22,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.92179700499168,22,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.931780366056572,22,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.908485856905158,22,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.876871880199667,22,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",462,0.913477537437604,22,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.84026622296173,23,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.858569051580699,23,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.828618968386023,23,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.875207986688852,23,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.838602329450915,23,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",462,0.885191347753744,23,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.891846921797005,24,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.89351081530782,24,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.898502495840266,24,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",142,0.901830282861897,24,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.906821963394343,24,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.89018302828619,24,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.86189683860233,25,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.91846921797005,25,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.936772046589018,25,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.89351081530782,25,"SonyAIBORobotSurface1","rbfsvm"
"Kats",36,0.820299500831947,25,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",463,0.672212978369384,25,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.871880199667221,26,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.94342762063228,26,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.928452579034942,26,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.926788685524126,26,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.920133111480865,26,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",462,0.920133111480865,26,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.866888519134775,27,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.930116472545757,27,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.94675540765391,27,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.896838602329451,27,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.86522462562396,27,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",464,0.910149750415973,27,"SonyAIBORobotSurface1","rbfsvm"
"catch22",22,0.703826955074875,28,"SonyAIBORobotSurface1","rbfsvm"
"feasts",36,0.881863560732113,28,"SonyAIBORobotSurface1","rbfsvm"
"tsfeatures",59,0.782029950083195,28,"SonyAIBORobotSurface1","rbfsvm"
"TSFEL",143,0.797004991680532,28,"SonyAIBORobotSurface1","rbfsvm"
"Kats",35,0.813643926788686,28,"SonyAIBORobotSurface1","rbfsvm"
"tsfresh",462,0.768718801996672,28,"SonyAIBORobotSurface1","rbfsvm"
