"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.81225,1,"TwoPatterns","rbfsvm"
"feasts",36,0.86275,1,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.942,1,"TwoPatterns","rbfsvm"
"TSFEL",143,0.68425,1,"TwoPatterns","rbfsvm"
"Kats",35,0.52275,1,"TwoPatterns","rbfsvm"
"tsfresh",579,0.97775,1,"TwoPatterns","rbfsvm"
"catch22",22,0.80975,2,"TwoPatterns","rbfsvm"
"feasts",36,0.86375,2,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.93275,2,"TwoPatterns","rbfsvm"
"TSFEL",143,0.67875,2,"TwoPatterns","rbfsvm"
"Kats",35,0.5195,2,"TwoPatterns","rbfsvm"
"tsfresh",579,0.97725,2,"TwoPatterns","rbfsvm"
"catch22",22,0.807,3,"TwoPatterns","rbfsvm"
"feasts",36,0.86375,3,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.9375,3,"TwoPatterns","rbfsvm"
"TSFEL",143,0.6765,3,"TwoPatterns","rbfsvm"
"Kats",35,0.504,3,"TwoPatterns","rbfsvm"
"tsfresh",579,0.972,3,"TwoPatterns","rbfsvm"
"catch22",22,0.80025,4,"TwoPatterns","rbfsvm"
"feasts",36,0.86525,4,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.93975,4,"TwoPatterns","rbfsvm"
"TSFEL",143,0.69775,4,"TwoPatterns","rbfsvm"
"Kats",35,0.523,4,"TwoPatterns","rbfsvm"
"tsfresh",579,0.981,4,"TwoPatterns","rbfsvm"
"catch22",22,0.8055,5,"TwoPatterns","rbfsvm"
"feasts",36,0.855,5,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.93675,5,"TwoPatterns","rbfsvm"
"TSFEL",143,0.6765,5,"TwoPatterns","rbfsvm"
"Kats",35,0.5165,5,"TwoPatterns","rbfsvm"
"tsfresh",579,0.97225,5,"TwoPatterns","rbfsvm"
"catch22",22,0.81575,6,"TwoPatterns","rbfsvm"
"feasts",36,0.869,6,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.929,6,"TwoPatterns","rbfsvm"
"TSFEL",143,0.686,6,"TwoPatterns","rbfsvm"
"Kats",35,0.50825,6,"TwoPatterns","rbfsvm"
"tsfresh",579,0.977,6,"TwoPatterns","rbfsvm"
"catch22",22,0.8195,7,"TwoPatterns","rbfsvm"
"feasts",36,0.8625,7,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.9475,7,"TwoPatterns","rbfsvm"
"TSFEL",143,0.683,7,"TwoPatterns","rbfsvm"
"Kats",35,0.51825,7,"TwoPatterns","rbfsvm"
"tsfresh",579,0.97475,7,"TwoPatterns","rbfsvm"
"catch22",22,0.81025,8,"TwoPatterns","rbfsvm"
"feasts",36,0.85125,8,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.93325,8,"TwoPatterns","rbfsvm"
"TSFEL",143,0.67825,8,"TwoPatterns","rbfsvm"
"Kats",35,0.502,8,"TwoPatterns","rbfsvm"
"tsfresh",579,0.982,8,"TwoPatterns","rbfsvm"
"catch22",22,0.8225,9,"TwoPatterns","rbfsvm"
"feasts",36,0.86725,9,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.93975,9,"TwoPatterns","rbfsvm"
"TSFEL",143,0.6855,9,"TwoPatterns","rbfsvm"
"Kats",35,0.51675,9,"TwoPatterns","rbfsvm"
"tsfresh",579,0.9785,9,"TwoPatterns","rbfsvm"
"catch22",22,0.807,10,"TwoPatterns","rbfsvm"
"feasts",36,0.87075,10,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.9335,10,"TwoPatterns","rbfsvm"
"TSFEL",143,0.665,10,"TwoPatterns","rbfsvm"
"Kats",35,0.50125,10,"TwoPatterns","rbfsvm"
"tsfresh",579,0.98075,10,"TwoPatterns","rbfsvm"
"catch22",22,0.81325,11,"TwoPatterns","rbfsvm"
"feasts",36,0.86675,11,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.94125,11,"TwoPatterns","rbfsvm"
"TSFEL",143,0.684,11,"TwoPatterns","rbfsvm"
"Kats",35,0.51425,11,"TwoPatterns","rbfsvm"
"tsfresh",579,0.9745,11,"TwoPatterns","rbfsvm"
"catch22",22,0.81325,12,"TwoPatterns","rbfsvm"
"feasts",36,0.855,12,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.944,12,"TwoPatterns","rbfsvm"
"TSFEL",143,0.6755,12,"TwoPatterns","rbfsvm"
"Kats",35,0.51325,12,"TwoPatterns","rbfsvm"
"tsfresh",579,0.975,12,"TwoPatterns","rbfsvm"
"catch22",22,0.81075,13,"TwoPatterns","rbfsvm"
"feasts",36,0.86725,13,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.9405,13,"TwoPatterns","rbfsvm"
"TSFEL",143,0.6835,13,"TwoPatterns","rbfsvm"
"Kats",35,0.51675,13,"TwoPatterns","rbfsvm"
"tsfresh",579,0.9755,13,"TwoPatterns","rbfsvm"
"catch22",22,0.8115,14,"TwoPatterns","rbfsvm"
"feasts",36,0.86625,14,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.943,14,"TwoPatterns","rbfsvm"
"TSFEL",143,0.6945,14,"TwoPatterns","rbfsvm"
"Kats",35,0.511,14,"TwoPatterns","rbfsvm"
"tsfresh",579,0.9785,14,"TwoPatterns","rbfsvm"
"catch22",22,0.81125,15,"TwoPatterns","rbfsvm"
"feasts",36,0.86625,15,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.93125,15,"TwoPatterns","rbfsvm"
"TSFEL",143,0.68825,15,"TwoPatterns","rbfsvm"
"Kats",35,0.53025,15,"TwoPatterns","rbfsvm"
"tsfresh",579,0.96875,15,"TwoPatterns","rbfsvm"
"catch22",22,0.8035,16,"TwoPatterns","rbfsvm"
"feasts",36,0.85525,16,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.9345,16,"TwoPatterns","rbfsvm"
"TSFEL",143,0.6795,16,"TwoPatterns","rbfsvm"
"Kats",35,0.494,16,"TwoPatterns","rbfsvm"
"tsfresh",579,0.9705,16,"TwoPatterns","rbfsvm"
"catch22",22,0.81075,17,"TwoPatterns","rbfsvm"
"feasts",36,0.86175,17,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.93375,17,"TwoPatterns","rbfsvm"
"TSFEL",143,0.664,17,"TwoPatterns","rbfsvm"
"Kats",35,0.50575,17,"TwoPatterns","rbfsvm"
"tsfresh",579,0.968,17,"TwoPatterns","rbfsvm"
"catch22",22,0.80925,18,"TwoPatterns","rbfsvm"
"feasts",36,0.854,18,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.942,18,"TwoPatterns","rbfsvm"
"TSFEL",143,0.67325,18,"TwoPatterns","rbfsvm"
"Kats",35,0.52,18,"TwoPatterns","rbfsvm"
"tsfresh",579,0.97725,18,"TwoPatterns","rbfsvm"
"catch22",22,0.81025,19,"TwoPatterns","rbfsvm"
"feasts",36,0.8415,19,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.9305,19,"TwoPatterns","rbfsvm"
"TSFEL",143,0.68,19,"TwoPatterns","rbfsvm"
"Kats",35,0.50575,19,"TwoPatterns","rbfsvm"
"tsfresh",579,0.9735,19,"TwoPatterns","rbfsvm"
"catch22",22,0.8025,20,"TwoPatterns","rbfsvm"
"feasts",36,0.8715,20,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.92925,20,"TwoPatterns","rbfsvm"
"TSFEL",143,0.67975,20,"TwoPatterns","rbfsvm"
"Kats",35,0.5225,20,"TwoPatterns","rbfsvm"
"tsfresh",579,0.97975,20,"TwoPatterns","rbfsvm"
"catch22",22,0.811,21,"TwoPatterns","rbfsvm"
"feasts",36,0.869,21,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.94025,21,"TwoPatterns","rbfsvm"
"TSFEL",143,0.6815,21,"TwoPatterns","rbfsvm"
"Kats",35,0.51625,21,"TwoPatterns","rbfsvm"
"tsfresh",579,0.979,21,"TwoPatterns","rbfsvm"
"catch22",22,0.8125,22,"TwoPatterns","rbfsvm"
"feasts",36,0.86,22,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.94475,22,"TwoPatterns","rbfsvm"
"TSFEL",143,0.65825,22,"TwoPatterns","rbfsvm"
"Kats",35,0.51225,22,"TwoPatterns","rbfsvm"
"tsfresh",579,0.9785,22,"TwoPatterns","rbfsvm"
"catch22",22,0.811,23,"TwoPatterns","rbfsvm"
"feasts",36,0.853,23,"TwoPatterns","rbfsvm"
"tsfeatures",57,0.938,23,"TwoPatterns","rbfsvm"
"TSFEL",143,0.681,23,"TwoPatterns","rbfsvm"
"Kats",35,0.5285,23,"TwoPatterns","rbfsvm"
"tsfresh",579,0.98025,23,"TwoPatterns","rbfsvm"
