"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.798611111111111,1,"UMD","rbfsvm"
"feasts",36,0.847222222222222,1,"UMD","rbfsvm"
"tsfeatures",59,0.875,1,"UMD","rbfsvm"
"TSFEL",142,0.805555555555556,1,"UMD","rbfsvm"
"Kats",36,0.777777777777778,1,"UMD","rbfsvm"
"tsfresh",639,0.930555555555556,1,"UMD","rbfsvm"
"catch22",22,0.631944444444444,2,"UMD","rbfsvm"
"feasts",35,0.784722222222222,2,"UMD","rbfsvm"
"tsfeatures",59,0.805555555555556,2,"UMD","rbfsvm"
"TSFEL",142,0.819444444444444,2,"UMD","rbfsvm"
"Kats",35,0.736111111111111,2,"UMD","rbfsvm"
"tsfresh",637,0.930555555555556,2,"UMD","rbfsvm"
"catch22",22,0.722222222222222,3,"UMD","rbfsvm"
"feasts",36,0.805555555555556,3,"UMD","rbfsvm"
"tsfeatures",59,0.847222222222222,3,"UMD","rbfsvm"
"TSFEL",142,0.715277777777778,3,"UMD","rbfsvm"
"Kats",35,0.736111111111111,3,"UMD","rbfsvm"
"tsfresh",638,0.923611111111111,3,"UMD","rbfsvm"
"catch22",22,0.722222222222222,4,"UMD","rbfsvm"
"feasts",35,0.763888888888889,4,"UMD","rbfsvm"
"tsfeatures",59,0.729166666666667,4,"UMD","rbfsvm"
"TSFEL",142,0.777777777777778,4,"UMD","rbfsvm"
"Kats",36,0.722222222222222,4,"UMD","rbfsvm"
"tsfresh",636,0.840277777777778,4,"UMD","rbfsvm"
"catch22",22,0.833333333333333,5,"UMD","rbfsvm"
"feasts",36,0.75,5,"UMD","rbfsvm"
"tsfeatures",59,0.875,5,"UMD","rbfsvm"
"TSFEL",142,0.805555555555556,5,"UMD","rbfsvm"
"Kats",35,0.75,5,"UMD","rbfsvm"
"tsfresh",639,0.916666666666667,5,"UMD","rbfsvm"
"catch22",22,0.743055555555556,6,"UMD","rbfsvm"
"feasts",35,0.840277777777778,6,"UMD","rbfsvm"
"tsfeatures",59,0.805555555555556,6,"UMD","rbfsvm"
"TSFEL",142,0.854166666666667,6,"UMD","rbfsvm"
"Kats",36,0.784722222222222,6,"UMD","rbfsvm"
"tsfresh",639,0.9375,6,"UMD","rbfsvm"
"catch22",22,0.75,7,"UMD","rbfsvm"
"feasts",36,0.722222222222222,7,"UMD","rbfsvm"
"tsfeatures",59,0.701388888888889,7,"UMD","rbfsvm"
"TSFEL",142,0.631944444444444,7,"UMD","rbfsvm"
"Kats",35,0.680555555555556,7,"UMD","rbfsvm"
"tsfresh",638,0.722222222222222,7,"UMD","rbfsvm"
"catch22",22,0.847222222222222,8,"UMD","rbfsvm"
"feasts",35,0.784722222222222,8,"UMD","rbfsvm"
"tsfeatures",59,0.881944444444444,8,"UMD","rbfsvm"
"TSFEL",142,0.881944444444444,8,"UMD","rbfsvm"
"Kats",35,0.770833333333333,8,"UMD","rbfsvm"
"tsfresh",638,0.930555555555556,8,"UMD","rbfsvm"
"catch22",22,0.777777777777778,9,"UMD","rbfsvm"
"feasts",35,0.791666666666667,9,"UMD","rbfsvm"
"tsfeatures",59,0.791666666666667,9,"UMD","rbfsvm"
"TSFEL",142,0.715277777777778,9,"UMD","rbfsvm"
"Kats",35,0.791666666666667,9,"UMD","rbfsvm"
"tsfresh",636,0.930555555555556,9,"UMD","rbfsvm"
"catch22",22,0.875,10,"UMD","rbfsvm"
"feasts",35,0.798611111111111,10,"UMD","rbfsvm"
"tsfeatures",59,0.819444444444444,10,"UMD","rbfsvm"
"TSFEL",142,0.791666666666667,10,"UMD","rbfsvm"
"Kats",36,0.736111111111111,10,"UMD","rbfsvm"
"tsfresh",638,0.9375,10,"UMD","rbfsvm"
"catch22",22,0.729166666666667,11,"UMD","rbfsvm"
"feasts",36,0.770833333333333,11,"UMD","rbfsvm"
"tsfeatures",59,0.722222222222222,11,"UMD","rbfsvm"
"TSFEL",142,0.715277777777778,11,"UMD","rbfsvm"
"Kats",36,0.75,11,"UMD","rbfsvm"
"tsfresh",638,0.951388888888889,11,"UMD","rbfsvm"
"catch22",22,0.722222222222222,12,"UMD","rbfsvm"
"feasts",35,0.840277777777778,12,"UMD","rbfsvm"
"tsfeatures",59,0.756944444444444,12,"UMD","rbfsvm"
"TSFEL",142,0.784722222222222,12,"UMD","rbfsvm"
"Kats",35,0.805555555555556,12,"UMD","rbfsvm"
"tsfresh",637,0.923611111111111,12,"UMD","rbfsvm"
"catch22",22,0.777777777777778,13,"UMD","rbfsvm"
"feasts",36,0.805555555555556,13,"UMD","rbfsvm"
"tsfeatures",59,0.847222222222222,13,"UMD","rbfsvm"
"TSFEL",142,0.868055555555556,13,"UMD","rbfsvm"
"Kats",36,0.8125,13,"UMD","rbfsvm"
"tsfresh",639,0.944444444444444,13,"UMD","rbfsvm"
"catch22",22,0.826388888888889,14,"UMD","rbfsvm"
"feasts",36,0.798611111111111,14,"UMD","rbfsvm"
"tsfeatures",59,0.847222222222222,14,"UMD","rbfsvm"
"TSFEL",142,0.715277777777778,14,"UMD","rbfsvm"
"Kats",35,0.777777777777778,14,"UMD","rbfsvm"
"tsfresh",639,0.9375,14,"UMD","rbfsvm"
"catch22",22,0.826388888888889,15,"UMD","rbfsvm"
"feasts",35,0.694444444444444,15,"UMD","rbfsvm"
"tsfeatures",59,0.784722222222222,15,"UMD","rbfsvm"
"TSFEL",142,0.659722222222222,15,"UMD","rbfsvm"
"Kats",36,0.694444444444444,15,"UMD","rbfsvm"
"tsfresh",639,0.916666666666667,15,"UMD","rbfsvm"
"catch22",22,0.701388888888889,16,"UMD","rbfsvm"
"feasts",35,0.798611111111111,16,"UMD","rbfsvm"
"tsfeatures",59,0.763888888888889,16,"UMD","rbfsvm"
"TSFEL",142,0.75,16,"UMD","rbfsvm"
"Kats",35,0.6875,16,"UMD","rbfsvm"
"tsfresh",639,0.895833333333333,16,"UMD","rbfsvm"
"catch22",22,0.840277777777778,17,"UMD","rbfsvm"
"feasts",35,0.777777777777778,17,"UMD","rbfsvm"
"tsfeatures",59,0.791666666666667,17,"UMD","rbfsvm"
"TSFEL",142,0.833333333333333,17,"UMD","rbfsvm"
"Kats",35,0.791666666666667,17,"UMD","rbfsvm"
"tsfresh",637,0.895833333333333,17,"UMD","rbfsvm"
"catch22",22,0.694444444444444,18,"UMD","rbfsvm"
"feasts",35,0.756944444444444,18,"UMD","rbfsvm"
"tsfeatures",59,0.701388888888889,18,"UMD","rbfsvm"
"TSFEL",142,0.729166666666667,18,"UMD","rbfsvm"
"Kats",36,0.75,18,"UMD","rbfsvm"
"tsfresh",638,0.819444444444444,18,"UMD","rbfsvm"
"catch22",22,0.805555555555556,19,"UMD","rbfsvm"
"feasts",36,0.763888888888889,19,"UMD","rbfsvm"
"tsfeatures",59,0.722222222222222,19,"UMD","rbfsvm"
"TSFEL",142,0.736111111111111,19,"UMD","rbfsvm"
"Kats",35,0.798611111111111,19,"UMD","rbfsvm"
"tsfresh",639,0.951388888888889,19,"UMD","rbfsvm"
"catch22",22,0.8125,20,"UMD","rbfsvm"
"feasts",35,0.722222222222222,20,"UMD","rbfsvm"
"tsfeatures",59,0.652777777777778,20,"UMD","rbfsvm"
"TSFEL",142,0.652777777777778,20,"UMD","rbfsvm"
"Kats",35,0.729166666666667,20,"UMD","rbfsvm"
"tsfresh",636,0.951388888888889,20,"UMD","rbfsvm"
"catch22",22,0.756944444444444,21,"UMD","rbfsvm"
"feasts",36,0.798611111111111,21,"UMD","rbfsvm"
"tsfeatures",59,0.854166666666667,21,"UMD","rbfsvm"
