"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.647403685092127,1,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.685650474595198,1,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.70463428252373,1,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.658012283640424,1,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.558905639307649,1,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",737,0.71608040201005,1,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.645449469570073,2,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.683696259073143,2,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.696817420435511,2,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.662758235622557,2,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.562814070351759,2,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.724734785036293,2,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.629257398101619,3,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.689838079285315,3,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.706030150753769,3,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.671133445002792,3,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.563651591289782,3,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",736,0.72250139586823,3,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.643495254048018,4,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.680625348967058,4,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.700446677833612,4,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.662758235622557,4,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.567560022333892,4,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",734,0.719151312116136,4,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.648241206030151,5,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.677833612506979,5,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.709938581797878,5,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.661920714684534,5,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.560022333891681,5,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.721384701284199,5,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.637911781127862,6,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.677554438860972,6,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.690117252931323,6,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.662758235622557,6,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.555834729201563,6,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.715242881072027,6,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.639865996649916,7,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.674762702400893,7,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.696817420435511,7,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.662758235622557,7,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.565884980457845,7,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.702959240647683,7,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.637353433835846,8,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.670854271356784,8,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.703517587939699,8,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.666666666666667,8,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.551926298157454,8,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.716638749302066,8,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.637911781127862,9,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.68676716917923,9,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.701284198771636,9,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.6714126186488,9,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.561139028475712,9,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",734,0.70965940815187,9,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.638470128419877,10,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.675600223338917,10,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.692071468453378,10,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.663874930206588,10,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.558068118369626,10,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.724176437744277,10,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.640145170295924,11,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.6714126186488,11,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.699609156895589,11,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.668620882188721,11,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.549413735343384,11,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.715522054718035,11,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.655220547180346,12,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.672250139586823,12,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.695421552205472,12,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.669458403126745,12,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.544946957007258,12,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.727805695142379,12,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.637911781127862,13,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.670854271356784,13,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.705192629815745,13,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.654383026242323,13,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.549134561697376,13,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.707705192629816,13,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.637911781127862,14,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.679508654383026,14,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.694584031267448,14,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.657453936348409,14,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.549134561697376,14,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.714963707426019,14,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.644332774986041,15,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.676158570630932,15,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.687604690117253,15,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.665549972082635,15,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.547738693467337,15,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",738,0.711613623673925,15,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.634840871021776,16,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.682300390843104,16,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.687604690117253,16,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.657733109994416,16,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.55108877721943,16,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",736,0.714405360134003,16,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.644332774986041,17,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.676158570630932,17,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.697934115019542,17,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.679787828029034,17,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.56393076493579,17,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",738,0.714126186487996,17,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.644332774986041,18,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.673087660524846,18,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.689838079285315,18,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.65857063093244,18,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.563093243997767,18,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",734,0.720826353992183,18,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.632328308207705,19,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.67001675041876,19,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.693467336683417,19,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.657453936348409,19,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.551926298157454,19,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.716359575656058,19,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.642378559463987,20,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.677833612506979,20,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.682021217197097,20,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.668620882188721,20,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.565047459519821,20,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",738,0.724176437744277,20,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.633724176437744,21,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.673366834170854,21,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.70072585147962,21,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.662479061976549,21,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.549972082635399,21,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",738,0.7250139586823,21,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.634840871021776,22,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.672529313232831,22,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.6892797319933,22,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.668900055834729,22,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.564209938581798,22,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.716917922948074,22,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.646007816862088,23,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.677554438860972,23,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.682300390843104,23,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.64070351758794,23,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.532942490228922,23,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",736,0.713288665549972,23,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.633165829145729,24,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.669458403126745,24,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.687325516471245,24,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.651312116136237,24,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.547180346175321,24,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.719709659408152,24,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.641541038525963,25,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.679787828029034,25,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.688442211055276,25,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.663874930206588,25,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.551367950865438,25,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.717197096594081,25,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.651312116136237,26,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.694584031267448,26,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.719430485762144,26,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.688721384701284,26,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.551647124511446,26,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",736,0.729480737018425,26,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.649078726968174,27,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.680067001675042,27,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.697934115019542,27,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.665270798436628,27,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.545226130653266,27,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",734,0.714963707426019,27,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.646845337800112,28,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.656337241764377,28,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.685650474595198,28,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.665270798436628,28,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.538805136795087,28,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",736,0.710776102735902,28,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.61892797319933,29,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.675600223338917,29,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.692908989391401,29,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.664433277498604,29,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.542992741485204,29,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",734,0.710217755443886,29,"UWaveGestureLibraryY","rbfsvm"
"catch22",22,0.628978224455611,30,"UWaveGestureLibraryY","rbfsvm"
"feasts",36,0.672808486878839,30,"UWaveGestureLibraryY","rbfsvm"
"tsfeatures",59,0.701284198771636,30,"UWaveGestureLibraryY","rbfsvm"
"TSFEL",146,0.668341708542714,30,"UWaveGestureLibraryY","rbfsvm"
"Kats",36,0.548297040759352,30,"UWaveGestureLibraryY","rbfsvm"
"tsfresh",735,0.71356783919598,30,"UWaveGestureLibraryY","rbfsvm"
