"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",21,0.78,1,"ACSF1","svm"
"2","feasts",38,0.7,1,"ACSF1","svm"
"3","tsfeatures",56,0.77,1,"ACSF1","svm"
"4","TSFEL",145,0.79,1,"ACSF1","svm"
"5","Kats",36,0.65,1,"ACSF1","svm"
"6","tsfresh",742,0.76,1,"ACSF1","svm"
"7","quantiles",101,0.77,1,"ACSF1","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.62,1,"ACSF1","svm"
"9","catch22",21,0.68,2,"ACSF1","svm"
"10","feasts",38,0.57,2,"ACSF1","svm"
"11","tsfeatures",56,0.65,2,"ACSF1","svm"
"12","TSFEL",145,0.63,2,"ACSF1","svm"
"13","Kats",36,0.71,2,"ACSF1","svm"
"14","tsfresh",741,0.73,2,"ACSF1","svm"
"15","quantiles",101,0.62,2,"ACSF1","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.57,2,"ACSF1","svm"
"17","catch22",21,0.68,3,"ACSF1","svm"
"18","feasts",38,0.63,3,"ACSF1","svm"
"19","tsfeatures",56,0.63,3,"ACSF1","svm"
"20","TSFEL",145,0.66,3,"ACSF1","svm"
"21","Kats",36,0.61,3,"ACSF1","svm"
"22","tsfresh",742,0.74,3,"ACSF1","svm"
"23","quantiles",101,0.68,3,"ACSF1","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.56,3,"ACSF1","svm"
"25","catch22",21,0.65,4,"ACSF1","svm"
"26","feasts",38,0.6,4,"ACSF1","svm"
"27","tsfeatures",56,0.7,4,"ACSF1","svm"
"28","TSFEL",145,0.71,4,"ACSF1","svm"
"29","Kats",36,0.6,4,"ACSF1","svm"
"30","tsfresh",742,0.71,4,"ACSF1","svm"
"31","quantiles",101,0.71,4,"ACSF1","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.46,4,"ACSF1","svm"
"33","catch22",21,0.7,5,"ACSF1","svm"
"34","feasts",38,0.65,5,"ACSF1","svm"
"35","tsfeatures",56,0.72,5,"ACSF1","svm"
"36","TSFEL",145,0.66,5,"ACSF1","svm"
"37","Kats",36,0.66,5,"ACSF1","svm"
"38","tsfresh",743,0.67,5,"ACSF1","svm"
"39","quantiles",101,0.69,5,"ACSF1","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.54,5,"ACSF1","svm"
"41","catch22",21,0.75,6,"ACSF1","svm"
"42","feasts",38,0.59,6,"ACSF1","svm"
"43","tsfeatures",56,0.58,6,"ACSF1","svm"
"44","TSFEL",145,0.72,6,"ACSF1","svm"
"45","Kats",36,0.72,6,"ACSF1","svm"
"46","tsfresh",741,0.71,6,"ACSF1","svm"
"47","quantiles",101,0.63,6,"ACSF1","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.54,6,"ACSF1","svm"
"49","catch22",21,0.67,7,"ACSF1","svm"
"50","feasts",38,0.58,7,"ACSF1","svm"
"51","tsfeatures",56,0.72,7,"ACSF1","svm"
"52","TSFEL",145,0.69,7,"ACSF1","svm"
"53","Kats",36,0.64,7,"ACSF1","svm"
"54","tsfresh",741,0.7,7,"ACSF1","svm"
"55","quantiles",101,0.67,7,"ACSF1","svm"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.5,7,"ACSF1","svm"
"57","catch22",21,0.73,8,"ACSF1","svm"
"58","feasts",38,0.56,8,"ACSF1","svm"
"59","tsfeatures",56,0.67,8,"ACSF1","svm"
"60","TSFEL",143,0.71,8,"ACSF1","svm"
"61","Kats",36,0.62,8,"ACSF1","svm"
"62","tsfresh",742,0.71,8,"ACSF1","svm"
"63","quantiles",101,0.69,8,"ACSF1","svm"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.55,8,"ACSF1","svm"
"65","catch22",21,0.67,9,"ACSF1","svm"
"66","feasts",38,0.63,9,"ACSF1","svm"
"67","tsfeatures",56,0.65,9,"ACSF1","svm"
"68","TSFEL",145,0.73,9,"ACSF1","svm"
"69","Kats",36,0.68,9,"ACSF1","svm"
"70","tsfresh",743,0.73,9,"ACSF1","svm"
"71","quantiles",101,0.65,9,"ACSF1","svm"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.64,9,"ACSF1","svm"
"73","catch22",21,0.68,10,"ACSF1","svm"
"74","feasts",38,0.62,10,"ACSF1","svm"
"75","tsfeatures",56,0.69,10,"ACSF1","svm"
"76","TSFEL",145,0.75,10,"ACSF1","svm"
"77","Kats",36,0.63,10,"ACSF1","svm"
"78","tsfresh",743,0.61,10,"ACSF1","svm"
"79","quantiles",101,0.72,10,"ACSF1","svm"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.47,10,"ACSF1","svm"
"81","catch22",21,0.65,11,"ACSF1","svm"
"82","feasts",38,0.58,11,"ACSF1","svm"
"83","tsfeatures",56,0.61,11,"ACSF1","svm"
"84","TSFEL",145,0.72,11,"ACSF1","svm"
"85","Kats",36,0.62,11,"ACSF1","svm"
"86","tsfresh",742,0.72,11,"ACSF1","svm"
"87","quantiles",101,0.66,11,"ACSF1","svm"
"88","FFT (Mag^2 + Angle) + quantiles",301,0.53,11,"ACSF1","svm"
"89","catch22",21,0.69,12,"ACSF1","svm"
"90","feasts",38,0.56,12,"ACSF1","svm"
"91","tsfeatures",56,0.58,12,"ACSF1","svm"
"92","TSFEL",145,0.66,12,"ACSF1","svm"
"93","Kats",36,0.66,12,"ACSF1","svm"
"94","tsfresh",741,0.71,12,"ACSF1","svm"
"95","quantiles",101,0.69,12,"ACSF1","svm"
"96","FFT (Mag^2 + Angle) + quantiles",301,0.48,12,"ACSF1","svm"
"97","catch22",21,0.76,13,"ACSF1","svm"
"98","feasts",38,0.67,13,"ACSF1","svm"
"99","tsfeatures",56,0.69,13,"ACSF1","svm"
"100","TSFEL",145,0.73,13,"ACSF1","svm"
"101","Kats",36,0.6,13,"ACSF1","svm"
"102","tsfresh",741,0.78,13,"ACSF1","svm"
"103","quantiles",101,0.73,13,"ACSF1","svm"
"104","FFT (Mag^2 + Angle) + quantiles",301,0.64,13,"ACSF1","svm"
"105","catch22",21,0.65,14,"ACSF1","svm"
"106","feasts",38,0.69,14,"ACSF1","svm"
"107","tsfeatures",56,0.63,14,"ACSF1","svm"
"108","TSFEL",145,0.72,14,"ACSF1","svm"
"109","Kats",36,0.63,14,"ACSF1","svm"
"110","tsfresh",743,0.64,14,"ACSF1","svm"
"111","quantiles",101,0.66,14,"ACSF1","svm"
"112","FFT (Mag^2 + Angle) + quantiles",301,0.53,14,"ACSF1","svm"
"113","catch22",21,0.69,15,"ACSF1","svm"
"114","feasts",38,0.63,15,"ACSF1","svm"
"115","tsfeatures",56,0.7,15,"ACSF1","svm"
"116","TSFEL",145,0.7,15,"ACSF1","svm"
"117","Kats",36,0.61,15,"ACSF1","svm"
"118","tsfresh",741,0.74,15,"ACSF1","svm"
"119","quantiles",101,0.75,15,"ACSF1","svm"
"120","FFT (Mag^2 + Angle) + quantiles",301,0.52,15,"ACSF1","svm"
"121","catch22",21,0.72,16,"ACSF1","svm"
"122","feasts",38,0.58,16,"ACSF1","svm"
"123","tsfeatures",56,0.71,16,"ACSF1","svm"
"124","TSFEL",143,0.75,16,"ACSF1","svm"
"125","Kats",36,0.68,16,"ACSF1","svm"
"126","tsfresh",741,0.65,16,"ACSF1","svm"
"127","quantiles",101,0.67,16,"ACSF1","svm"
"128","FFT (Mag^2 + Angle) + quantiles",301,0.56,16,"ACSF1","svm"
"129","catch22",21,0.68,17,"ACSF1","svm"
"130","feasts",38,0.6,17,"ACSF1","svm"
"131","tsfeatures",56,0.68,17,"ACSF1","svm"
"132","TSFEL",145,0.72,17,"ACSF1","svm"
"133","Kats",36,0.61,17,"ACSF1","svm"
"134","tsfresh",742,0.73,17,"ACSF1","svm"
"135","quantiles",101,0.69,17,"ACSF1","svm"
"136","FFT (Mag^2 + Angle) + quantiles",301,0.53,17,"ACSF1","svm"
"137","catch22",21,0.63,18,"ACSF1","svm"
"138","feasts",38,0.58,18,"ACSF1","svm"
"139","tsfeatures",56,0.68,18,"ACSF1","svm"
"140","TSFEL",143,0.7,18,"ACSF1","svm"
"141","Kats",36,0.64,18,"ACSF1","svm"
"142","tsfresh",742,0.67,18,"ACSF1","svm"
"143","quantiles",101,0.68,18,"ACSF1","svm"
"144","FFT (Mag^2 + Angle) + quantiles",301,0.48,18,"ACSF1","svm"
"145","catch22",21,0.72,19,"ACSF1","svm"
"146","feasts",38,0.65,19,"ACSF1","svm"
"147","tsfeatures",56,0.67,19,"ACSF1","svm"
"148","TSFEL",145,0.75,19,"ACSF1","svm"
"149","Kats",36,0.66,19,"ACSF1","svm"
"150","tsfresh",742,0.75,19,"ACSF1","svm"
"151","quantiles",101,0.64,19,"ACSF1","svm"
"152","FFT (Mag^2 + Angle) + quantiles",301,0.55,19,"ACSF1","svm"
"153","catch22",20,0.68,20,"ACSF1","svm"
"154","feasts",38,0.6,20,"ACSF1","svm"
"155","tsfeatures",56,0.63,20,"ACSF1","svm"
"156","TSFEL",145,0.71,20,"ACSF1","svm"
"157","Kats",36,0.62,20,"ACSF1","svm"
"158","tsfresh",741,0.71,20,"ACSF1","svm"
"159","quantiles",101,0.65,20,"ACSF1","svm"
"160","FFT (Mag^2 + Angle) + quantiles",301,0.52,20,"ACSF1","svm"
"161","catch22",21,0.65,21,"ACSF1","svm"
"162","feasts",38,0.57,21,"ACSF1","svm"
"163","tsfeatures",56,0.68,21,"ACSF1","svm"
"164","TSFEL",145,0.78,21,"ACSF1","svm"
"165","Kats",36,0.63,21,"ACSF1","svm"
"166","tsfresh",742,0.74,21,"ACSF1","svm"
"167","quantiles",101,0.66,21,"ACSF1","svm"
"168","FFT (Mag^2 + Angle) + quantiles",301,0.55,21,"ACSF1","svm"
"169","catch22",21,0.69,22,"ACSF1","svm"
"170","feasts",38,0.54,22,"ACSF1","svm"
"171","tsfeatures",56,0.61,22,"ACSF1","svm"
"172","TSFEL",145,0.66,22,"ACSF1","svm"
"173","Kats",36,0.64,22,"ACSF1","svm"
"174","tsfresh",742,0.7,22,"ACSF1","svm"
"175","quantiles",101,0.62,22,"ACSF1","svm"
"176","FFT (Mag^2 + Angle) + quantiles",301,0.54,22,"ACSF1","svm"
"177","catch22",21,0.71,23,"ACSF1","svm"
"178","feasts",38,0.64,23,"ACSF1","svm"
"179","tsfeatures",56,0.74,23,"ACSF1","svm"
"180","TSFEL",145,0.68,23,"ACSF1","svm"
"181","Kats",36,0.69,23,"ACSF1","svm"
"182","tsfresh",741,0.73,23,"ACSF1","svm"
"183","quantiles",101,0.68,23,"ACSF1","svm"
"184","FFT (Mag^2 + Angle) + quantiles",301,0.55,23,"ACSF1","svm"
"185","catch22",21,0.81,24,"ACSF1","svm"
"186","feasts",38,0.7,24,"ACSF1","svm"
"187","tsfeatures",56,0.75,24,"ACSF1","svm"
"188","TSFEL",145,0.73,24,"ACSF1","svm"
"189","Kats",36,0.67,24,"ACSF1","svm"
"190","tsfresh",743,0.7,24,"ACSF1","svm"
"191","quantiles",101,0.66,24,"ACSF1","svm"
"192","FFT (Mag^2 + Angle) + quantiles",301,0.58,24,"ACSF1","svm"
"193","catch22",21,0.67,25,"ACSF1","svm"
"194","feasts",38,0.65,25,"ACSF1","svm"
"195","tsfeatures",56,0.64,25,"ACSF1","svm"
"196","TSFEL",143,0.72,25,"ACSF1","svm"
"197","Kats",36,0.66,25,"ACSF1","svm"
"198","tsfresh",741,0.68,25,"ACSF1","svm"
"199","quantiles",101,0.68,25,"ACSF1","svm"
"200","FFT (Mag^2 + Angle) + quantiles",301,0.5,25,"ACSF1","svm"
"201","catch22",21,0.76,26,"ACSF1","svm"
"202","feasts",38,0.65,26,"ACSF1","svm"
"203","tsfeatures",56,0.7,26,"ACSF1","svm"
"204","TSFEL",143,0.71,26,"ACSF1","svm"
"205","Kats",36,0.59,26,"ACSF1","svm"
"206","tsfresh",741,0.73,26,"ACSF1","svm"
"207","quantiles",101,0.75,26,"ACSF1","svm"
"208","FFT (Mag^2 + Angle) + quantiles",301,0.55,26,"ACSF1","svm"
"209","catch22",21,0.73,27,"ACSF1","svm"
"210","feasts",38,0.61,27,"ACSF1","svm"
"211","tsfeatures",56,0.65,27,"ACSF1","svm"
"212","TSFEL",145,0.68,27,"ACSF1","svm"
"213","Kats",36,0.68,27,"ACSF1","svm"
"214","tsfresh",741,0.73,27,"ACSF1","svm"
"215","quantiles",101,0.69,27,"ACSF1","svm"
"216","FFT (Mag^2 + Angle) + quantiles",301,0.47,27,"ACSF1","svm"
"217","catch22",21,0.8,28,"ACSF1","svm"
"218","feasts",38,0.66,28,"ACSF1","svm"
"219","tsfeatures",56,0.71,28,"ACSF1","svm"
"220","TSFEL",145,0.73,28,"ACSF1","svm"
"221","Kats",36,0.66,28,"ACSF1","svm"
"222","tsfresh",742,0.73,28,"ACSF1","svm"
"223","quantiles",101,0.69,28,"ACSF1","svm"
"224","FFT (Mag^2 + Angle) + quantiles",301,0.53,28,"ACSF1","svm"
"225","catch22",21,0.68,29,"ACSF1","svm"
"226","feasts",38,0.62,29,"ACSF1","svm"
"227","tsfeatures",56,0.71,29,"ACSF1","svm"
"228","TSFEL",145,0.73,29,"ACSF1","svm"
"229","Kats",36,0.62,29,"ACSF1","svm"
"230","tsfresh",742,0.67,29,"ACSF1","svm"
"231","quantiles",101,0.63,29,"ACSF1","svm"
"232","FFT (Mag^2 + Angle) + quantiles",301,0.59,29,"ACSF1","svm"
"233","catch22",21,0.69,30,"ACSF1","svm"
"234","feasts",38,0.56,30,"ACSF1","svm"
"235","tsfeatures",56,0.66,30,"ACSF1","svm"
"236","TSFEL",145,0.76,30,"ACSF1","svm"
"237","Kats",36,0.7,30,"ACSF1","svm"
"238","tsfresh",742,0.75,30,"ACSF1","svm"
"239","quantiles",101,0.65,30,"ACSF1","svm"
"240","FFT (Mag^2 + Angle) + quantiles",301,0.54,30,"ACSF1","svm"
"241","FFT coef. (Mag^2 + Angle)",200,0.36,1,"ACSF1","svm"
"242","FFT coef. (Mag^2 + Angle)",200,0.39,2,"ACSF1","svm"
"243","FFT coef. (Mag^2 + Angle)",200,0.35,3,"ACSF1","svm"
"244","FFT coef. (Mag^2 + Angle)",200,0.34,4,"ACSF1","svm"
"245","FFT coef. (Mag^2 + Angle)",200,0.38,5,"ACSF1","svm"
"246","FFT coef. (Mag^2 + Angle)",200,0.41,6,"ACSF1","svm"
"247","FFT coef. (Mag^2 + Angle)",200,0.33,7,"ACSF1","svm"
"248","FFT coef. (Mag^2 + Angle)",200,0.37,8,"ACSF1","svm"
"249","FFT coef. (Mag^2 + Angle)",200,0.37,9,"ACSF1","svm"
"250","FFT coef. (Mag^2 + Angle)",200,0.33,10,"ACSF1","svm"
"251","FFT coef. (Mag^2 + Angle)",200,0.37,11,"ACSF1","svm"
"252","FFT coef. (Mag^2 + Angle)",200,0.27,12,"ACSF1","svm"
"253","FFT coef. (Mag^2 + Angle)",200,0.39,13,"ACSF1","svm"
"254","FFT coef. (Mag^2 + Angle)",200,0.31,14,"ACSF1","svm"
"255","FFT coef. (Mag^2 + Angle)",200,0.31,15,"ACSF1","svm"
"256","FFT coef. (Mag^2 + Angle)",200,0.35,16,"ACSF1","svm"
"257","FFT coef. (Mag^2 + Angle)",200,0.32,17,"ACSF1","svm"
"258","FFT coef. (Mag^2 + Angle)",200,0.31,18,"ACSF1","svm"
"259","FFT coef. (Mag^2 + Angle)",200,0.42,19,"ACSF1","svm"
"260","FFT coef. (Mag^2 + Angle)",200,0.32,20,"ACSF1","svm"
"261","FFT coef. (Mag^2 + Angle)",200,0.33,21,"ACSF1","svm"
"262","FFT coef. (Mag^2 + Angle)",200,0.38,22,"ACSF1","svm"
"263","FFT coef. (Mag^2 + Angle)",200,0.36,23,"ACSF1","svm"
"264","FFT coef. (Mag^2 + Angle)",200,0.37,24,"ACSF1","svm"
"265","FFT coef. (Mag^2 + Angle)",200,0.32,25,"ACSF1","svm"
"266","FFT coef. (Mag^2 + Angle)",200,0.35,26,"ACSF1","svm"
"267","FFT coef. (Mag^2 + Angle)",200,0.32,27,"ACSF1","svm"
"268","FFT coef. (Mag^2 + Angle)",200,0.3,28,"ACSF1","svm"
"269","FFT coef. (Mag^2 + Angle)",200,0.35,29,"ACSF1","svm"
"270","FFT coef. (Mag^2 + Angle)",200,0.27,30,"ACSF1","svm"
