"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.641943734015345,1,"Adiac","svm"
"feasts",35,0.667519181585678,1,"Adiac","svm"
"tsfeatures",59,0.652173913043478,1,"Adiac","svm"
"TSFEL",143,0.69309462915601,1,"Adiac","svm"
"Kats",36,0.575447570332481,1,"Adiac","svm"
"tsfresh",683,0.705882352941177,1,"Adiac","svm"
"timegp",6,0.465473145780051,1,"Adiac","svm"
"catch22",20,0.624040920716113,2,"Adiac","svm"
"feasts",35,0.680306905370844,2,"Adiac","svm"
"tsfeatures",59,0.690537084398977,2,"Adiac","svm"
"TSFEL",142,0.726342710997442,2,"Adiac","svm"
"Kats",36,0.608695652173913,2,"Adiac","svm"
"tsfresh",681,0.69309462915601,2,"Adiac","svm"
"timegp",6,0.483375959079284,2,"Adiac","svm"
"catch22",21,0.634271099744246,3,"Adiac","svm"
"feasts",35,0.672634271099744,3,"Adiac","svm"
"tsfeatures",59,0.68542199488491,3,"Adiac","svm"
"TSFEL",143,0.690537084398977,3,"Adiac","svm"
"Kats",36,0.60613810741688,3,"Adiac","svm"
"tsfresh",684,0.698209718670077,3,"Adiac","svm"
"timegp",6,0.485933503836317,3,"Adiac","svm"
"catch22",20,0.593350383631714,4,"Adiac","svm"
"feasts",35,0.677749360613811,4,"Adiac","svm"
"tsfeatures",59,0.647058823529412,4,"Adiac","svm"
"TSFEL",143,0.698209718670077,4,"Adiac","svm"
"Kats",36,0.639386189258312,4,"Adiac","svm"
"tsfresh",684,0.672634271099744,4,"Adiac","svm"
"timegp",6,0.498721227621483,4,"Adiac","svm"
"catch22",21,0.578005115089514,5,"Adiac","svm"
"feasts",35,0.690537084398977,5,"Adiac","svm"
"tsfeatures",59,0.647058823529412,5,"Adiac","svm"
"TSFEL",143,0.710997442455243,5,"Adiac","svm"
"Kats",36,0.61381074168798,5,"Adiac","svm"
"tsfresh",684,0.649616368286445,5,"Adiac","svm"
"timegp",6,0.465473145780051,5,"Adiac","svm"
"catch22",20,0.59079283887468,6,"Adiac","svm"
"feasts",35,0.670076726342711,6,"Adiac","svm"
"tsfeatures",59,0.71611253196931,6,"Adiac","svm"
"TSFEL",142,0.731457800511509,6,"Adiac","svm"
"Kats",36,0.59846547314578,6,"Adiac","svm"
"tsfresh",682,0.649616368286445,6,"Adiac","svm"
"timegp",6,0.460358056265985,6,"Adiac","svm"
"catch22",21,0.61381074168798,7,"Adiac","svm"
"feasts",35,0.672634271099744,7,"Adiac","svm"
"tsfeatures",59,0.664961636828645,7,"Adiac","svm"
"TSFEL",143,0.677749360613811,7,"Adiac","svm"
"Kats",36,0.588235294117647,7,"Adiac","svm"
"tsfresh",685,0.680306905370844,7,"Adiac","svm"
"timegp",6,0.478260869565217,7,"Adiac","svm"
"catch22",21,0.626598465473146,8,"Adiac","svm"
"feasts",35,0.687979539641944,8,"Adiac","svm"
"tsfeatures",59,0.677749360613811,8,"Adiac","svm"
"TSFEL",143,0.721227621483376,8,"Adiac","svm"
"Kats",36,0.59846547314578,8,"Adiac","svm"
"tsfresh",683,0.677749360613811,8,"Adiac","svm"
"timegp",6,0.468030690537084,8,"Adiac","svm"
"catch22",21,0.59079283887468,9,"Adiac","svm"
"feasts",35,0.721227621483376,9,"Adiac","svm"
"tsfeatures",59,0.69309462915601,9,"Adiac","svm"
"TSFEL",143,0.723785166240409,9,"Adiac","svm"
"Kats",36,0.601023017902813,9,"Adiac","svm"
"tsfresh",684,0.647058823529412,9,"Adiac","svm"
"timegp",6,0.501278772378517,9,"Adiac","svm"
"catch22",20,0.578005115089514,10,"Adiac","svm"
"feasts",35,0.659846547314578,10,"Adiac","svm"
"tsfeatures",59,0.636828644501279,10,"Adiac","svm"
"TSFEL",141,0.718670076726343,10,"Adiac","svm"
"Kats",36,0.583120204603581,10,"Adiac","svm"
"tsfresh",683,0.662404092071611,10,"Adiac","svm"
"timegp",6,0.442455242966752,10,"Adiac","svm"
"catch22",21,0.616368286445013,11,"Adiac","svm"
"feasts",35,0.657289002557545,11,"Adiac","svm"
"tsfeatures",59,0.659846547314578,11,"Adiac","svm"
"TSFEL",143,0.718670076726343,11,"Adiac","svm"
"Kats",36,0.603580562659846,11,"Adiac","svm"
"tsfresh",683,0.677749360613811,11,"Adiac","svm"
"timegp",6,0.514066496163683,11,"Adiac","svm"
"catch22",21,0.567774936061381,12,"Adiac","svm"
"feasts",35,0.657289002557545,12,"Adiac","svm"
"tsfeatures",59,0.695652173913043,12,"Adiac","svm"
"TSFEL",143,0.680306905370844,12,"Adiac","svm"
"Kats",36,0.557544757033248,12,"Adiac","svm"
"tsfresh",684,0.629156010230179,12,"Adiac","svm"
"timegp",6,0.465473145780051,12,"Adiac","svm"
"catch22",21,0.629156010230179,13,"Adiac","svm"
"feasts",35,0.654731457800512,13,"Adiac","svm"
"tsfeatures",59,0.641943734015345,13,"Adiac","svm"
"TSFEL",143,0.698209718670077,13,"Adiac","svm"
"Kats",36,0.562659846547315,13,"Adiac","svm"
"tsfresh",684,0.675191815856777,13,"Adiac","svm"
"timegp",6,0.475703324808184,13,"Adiac","svm"
"catch22",21,0.654731457800512,14,"Adiac","svm"
"feasts",35,0.677749360613811,14,"Adiac","svm"
"tsfeatures",59,0.682864450127877,14,"Adiac","svm"
"TSFEL",143,0.754475703324808,14,"Adiac","svm"
"Kats",36,0.624040920716113,14,"Adiac","svm"
"tsfresh",684,0.705882352941177,14,"Adiac","svm"
"timegp",6,0.445012787723785,14,"Adiac","svm"
"catch22",20,0.616368286445013,15,"Adiac","svm"
"feasts",35,0.68542199488491,15,"Adiac","svm"
"tsfeatures",59,0.705882352941177,15,"Adiac","svm"
"TSFEL",142,0.721227621483376,15,"Adiac","svm"
"Kats",36,0.624040920716113,15,"Adiac","svm"
"tsfresh",683,0.698209718670077,15,"Adiac","svm"
"timegp",6,0.465473145780051,15,"Adiac","svm"
"catch22",21,0.639386189258312,16,"Adiac","svm"
"feasts",35,0.698209718670077,16,"Adiac","svm"
"tsfeatures",59,0.70843989769821,16,"Adiac","svm"
"TSFEL",143,0.68542199488491,16,"Adiac","svm"
"Kats",36,0.621483375959079,16,"Adiac","svm"
"tsfresh",684,0.690537084398977,16,"Adiac","svm"
"timegp",6,0.49616368286445,16,"Adiac","svm"
"catch22",21,0.618925831202046,17,"Adiac","svm"
"feasts",35,0.69309462915601,17,"Adiac","svm"
"tsfeatures",59,0.672634271099744,17,"Adiac","svm"
"TSFEL",143,0.69309462915601,17,"Adiac","svm"
"Kats",36,0.621483375959079,17,"Adiac","svm"
"tsfresh",685,0.667519181585678,17,"Adiac","svm"
"timegp",6,0.460358056265985,17,"Adiac","svm"
"catch22",20,0.60613810741688,18,"Adiac","svm"
"feasts",35,0.667519181585678,18,"Adiac","svm"
"tsfeatures",59,0.631713554987212,18,"Adiac","svm"
"TSFEL",142,0.698209718670077,18,"Adiac","svm"
"Kats",36,0.583120204603581,18,"Adiac","svm"
"tsfresh",682,0.634271099744246,18,"Adiac","svm"
"timegp",6,0.447570332480818,18,"Adiac","svm"
"catch22",21,0.624040920716113,19,"Adiac","svm"
"feasts",35,0.695652173913043,19,"Adiac","svm"
"tsfeatures",59,0.695652173913043,19,"Adiac","svm"
"TSFEL",143,0.736572890025575,19,"Adiac","svm"
"Kats",36,0.636828644501279,19,"Adiac","svm"
"tsfresh",684,0.672634271099744,19,"Adiac","svm"
"timegp",6,0.473145780051151,19,"Adiac","svm"
"catch22",20,0.593350383631714,20,"Adiac","svm"
"feasts",35,0.70843989769821,20,"Adiac","svm"
"tsfeatures",59,0.636828644501279,20,"Adiac","svm"
"TSFEL",143,0.703324808184143,20,"Adiac","svm"
"Kats",36,0.560102301790281,20,"Adiac","svm"
"tsfresh",683,0.641943734015345,20,"Adiac","svm"
"timegp",6,0.450127877237852,20,"Adiac","svm"
"catch22",21,0.61381074168798,21,"Adiac","svm"
"feasts",35,0.675191815856777,21,"Adiac","svm"
"tsfeatures",59,0.652173913043478,21,"Adiac","svm"
"TSFEL",143,0.70076726342711,21,"Adiac","svm"
"Kats",36,0.631713554987212,21,"Adiac","svm"
"tsfresh",684,0.675191815856777,21,"Adiac","svm"
"timegp",6,0.493606138107417,21,"Adiac","svm"
"catch22",20,0.588235294117647,22,"Adiac","svm"
"feasts",35,0.710997442455243,22,"Adiac","svm"
"tsfeatures",59,0.687979539641944,22,"Adiac","svm"
"TSFEL",142,0.70076726342711,22,"Adiac","svm"
"Kats",36,0.595907928388747,22,"Adiac","svm"
"tsfresh",683,0.654731457800512,22,"Adiac","svm"
"timegp",6,0.478260869565217,22,"Adiac","svm"
"catch22",21,0.616368286445013,23,"Adiac","svm"
"feasts",35,0.70843989769821,23,"Adiac","svm"
"tsfeatures",59,0.677749360613811,23,"Adiac","svm"
"TSFEL",143,0.710997442455243,23,"Adiac","svm"
"Kats",36,0.624040920716113,23,"Adiac","svm"
"tsfresh",685,0.670076726342711,23,"Adiac","svm"
"timegp",6,0.48849104859335,23,"Adiac","svm"
"catch22",21,0.595907928388747,24,"Adiac","svm"
"feasts",35,0.687979539641944,24,"Adiac","svm"
"tsfeatures",59,0.664961636828645,24,"Adiac","svm"
"TSFEL",143,0.710997442455243,24,"Adiac","svm"
"Kats",36,0.554987212276215,24,"Adiac","svm"
"tsfresh",685,0.677749360613811,24,"Adiac","svm"
"timegp",6,0.452685421994885,24,"Adiac","svm"
"catch22",20,0.624040920716113,25,"Adiac","svm"
"feasts",35,0.695652173913043,25,"Adiac","svm"
"tsfeatures",59,0.687979539641944,25,"Adiac","svm"
"TSFEL",143,0.698209718670077,25,"Adiac","svm"
"Kats",36,0.611253196930946,25,"Adiac","svm"
"tsfresh",683,0.659846547314578,25,"Adiac","svm"
"timegp",6,0.483375959079284,25,"Adiac","svm"
"catch22",21,0.578005115089514,26,"Adiac","svm"
"feasts",35,0.680306905370844,26,"Adiac","svm"
"tsfeatures",59,0.652173913043478,26,"Adiac","svm"
"TSFEL",143,0.703324808184143,26,"Adiac","svm"
"Kats",36,0.608695652173913,26,"Adiac","svm"
"tsfresh",684,0.680306905370844,26,"Adiac","svm"
"timegp",6,0.485933503836317,26,"Adiac","svm"
"catch22",21,0.61381074168798,27,"Adiac","svm"
"feasts",35,0.664961636828645,27,"Adiac","svm"
"tsfeatures",59,0.675191815856777,27,"Adiac","svm"
"TSFEL",143,0.695652173913043,27,"Adiac","svm"
"Kats",36,0.621483375959079,27,"Adiac","svm"
"tsfresh",685,0.639386189258312,27,"Adiac","svm"
"timegp",6,0.531969309462916,27,"Adiac","svm"
"catch22",21,0.60613810741688,28,"Adiac","svm"
"feasts",35,0.670076726342711,28,"Adiac","svm"
"tsfeatures",59,0.657289002557545,28,"Adiac","svm"
"TSFEL",143,0.698209718670077,28,"Adiac","svm"
"Kats",36,0.557544757033248,28,"Adiac","svm"
"tsfresh",685,0.636828644501279,28,"Adiac","svm"
"timegp",6,0.447570332480818,28,"Adiac","svm"
"catch22",21,0.624040920716113,29,"Adiac","svm"
"feasts",35,0.695652173913043,29,"Adiac","svm"
"tsfeatures",59,0.626598465473146,29,"Adiac","svm"
"TSFEL",143,0.695652173913043,29,"Adiac","svm"
"Kats",36,0.59079283887468,29,"Adiac","svm"
"tsfresh",685,0.662404092071611,29,"Adiac","svm"
"timegp",6,0.460358056265985,29,"Adiac","svm"
"catch22",20,0.641943734015345,30,"Adiac","svm"
"feasts",35,0.70843989769821,30,"Adiac","svm"
