"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.926666666666667,1,"BME","svm"
"feasts",36,0.853333333333333,1,"BME","svm"
"tsfeatures",59,0.913333333333333,1,"BME","svm"
"TSFEL",142,0.933333333333333,1,"BME","svm"
"Kats",35,0.686666666666667,1,"BME","svm"
"tsfresh",595,1,1,"BME","svm"
"quantiles",101,0.633333333333333,1,"BME","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.82,1,"BME","svm"
"FFT coefficients",258,0.86,1,"BME","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.86,1,"BME","svm"
"FFT (Re, Im) + quantiles",229,0.82,1,"BME","svm"
"FFT (Mag, Angle) + quantiles",231,0.8,1,"BME","svm"
"FFT (log(Mag), Angle) + quantiles",231,0.786666666666667,1,"BME","svm"
"catch22",22,0.946666666666667,2,"BME","svm"
"feasts",36,0.773333333333333,2,"BME","svm"
"tsfeatures",59,0.826666666666667,2,"BME","svm"
"TSFEL",142,0.813333333333333,2,"BME","svm"
"Kats",36,0.666666666666667,2,"BME","svm"
"tsfresh",591,1,2,"BME","svm"
"quantiles",101,0.506666666666667,2,"BME","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.686666666666667,2,"BME","svm"
"FFT coefficients",258,0.746666666666667,2,"BME","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.766666666666667,2,"BME","svm"
"FFT (Re, Im) + quantiles",229,0.72,2,"BME","svm"
"FFT (Mag, Angle) + quantiles",231,0.706666666666667,2,"BME","svm"
"FFT (log(Mag), Angle) + quantiles",231,0.673333333333333,2,"BME","svm"
"catch22",22,0.953333333333333,3,"BME","svm"
"feasts",36,0.88,3,"BME","svm"
"tsfeatures",59,0.906666666666667,3,"BME","svm"
"TSFEL",142,0.92,3,"BME","svm"
"Kats",35,0.74,3,"BME","svm"
"tsfresh",593,1,3,"BME","svm"
"quantiles",101,0.6,3,"BME","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.866666666666667,3,"BME","svm"
"FFT coefficients",258,0.84,3,"BME","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.9,3,"BME","svm"
"FFT (Re, Im) + quantiles",229,0.84,3,"BME","svm"
"FFT (Mag, Angle) + quantiles",231,0.84,3,"BME","svm"
"FFT (log(Mag), Angle) + quantiles",231,0.78,3,"BME","svm"
"catch22",22,0.906666666666667,4,"BME","svm"
"feasts",36,0.893333333333333,4,"BME","svm"
"tsfeatures",59,0.893333333333333,4,"BME","svm"
"TSFEL",142,0.933333333333333,4,"BME","svm"
"Kats",36,0.766666666666667,4,"BME","svm"
"tsfresh",594,1,4,"BME","svm"
"quantiles",101,0.62,4,"BME","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.746666666666667,4,"BME","svm"
"FFT coefficients",258,0.806666666666667,4,"BME","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.753333333333333,4,"BME","svm"
"FFT (Re, Im) + quantiles",229,0.713333333333333,4,"BME","svm"
"FFT (Mag, Angle) + quantiles",231,0.706666666666667,4,"BME","svm"
"FFT (log(Mag), Angle) + quantiles",231,0.673333333333333,4,"BME","svm"
"catch22",22,0.88,5,"BME","svm"
"feasts",36,0.853333333333333,5,"BME","svm"
"tsfeatures",59,0.866666666666667,5,"BME","svm"
"TSFEL",142,0.92,5,"BME","svm"
"Kats",36,0.7,5,"BME","svm"
"tsfresh",592,0.98,5,"BME","svm"
"quantiles",101,0.526666666666667,5,"BME","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.773333333333333,5,"BME","svm"
"FFT coefficients",258,0.813333333333333,5,"BME","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.84,5,"BME","svm"
"FFT (Re, Im) + quantiles",229,0.746666666666667,5,"BME","svm"
"FFT (Mag, Angle) + quantiles",231,0.78,5,"BME","svm"
"FFT (log(Mag), Angle) + quantiles",231,0.746666666666667,5,"BME","svm"
"catch22",22,0.946666666666667,6,"BME","svm"
"feasts",36,0.906666666666667,6,"BME","svm"
"tsfeatures",59,0.88,6,"BME","svm"
"TSFEL",142,0.98,6,"BME","svm"
"Kats",35,0.706666666666667,6,"BME","svm"
