"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.5,1,"Beef","svm"
"feasts",34,0.7,1,"Beef","svm"
"tsfeatures",59,0.566666666666667,1,"Beef","svm"
"TSFEL",144,0.533333333333333,1,"Beef","svm"
"Kats",36,0.466666666666667,1,"Beef","svm"
"tsfresh",732,0.833333333333333,1,"Beef","svm"
"quantiles",101,0.766666666666667,1,"Beef","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.766666666666667,1,"Beef","svm"
"FFT coefficients",399,0.833333333333333,1,"Beef","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.833333333333333,1,"Beef","svm"
"FFT (Re, Im) + quantiles",300,0.8,1,"Beef","svm"
"FFT (Mag, Angle) + quantiles",301,0.8,1,"Beef","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.866666666666667,1,"Beef","svm"
"catch22",21,0.4,2,"Beef","svm"
"feasts",34,0.433333333333333,2,"Beef","svm"
"tsfeatures",59,0.6,2,"Beef","svm"
"TSFEL",143,0.533333333333333,2,"Beef","svm"
"Kats",36,0.466666666666667,2,"Beef","svm"
"tsfresh",731,0.8,2,"Beef","svm"
"quantiles",101,0.466666666666667,2,"Beef","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.7,2,"Beef","svm"
"FFT coefficients",399,0.6,2,"Beef","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.666666666666667,2,"Beef","svm"
"FFT (Re, Im) + quantiles",300,0.7,2,"Beef","svm"
"FFT (Mag, Angle) + quantiles",301,0.766666666666667,2,"Beef","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.766666666666667,2,"Beef","svm"
"catch22",21,0.433333333333333,3,"Beef","svm"
"feasts",34,0.333333333333333,3,"Beef","svm"
"tsfeatures",59,0.433333333333333,3,"Beef","svm"
"TSFEL",143,0.466666666666667,3,"Beef","svm"
"Kats",36,0.366666666666667,3,"Beef","svm"
"tsfresh",731,0.733333333333333,3,"Beef","svm"
"quantiles",101,0.5,3,"Beef","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.766666666666667,3,"Beef","svm"
"FFT coefficients",399,0.733333333333333,3,"Beef","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.733333333333333,3,"Beef","svm"
"FFT (Re, Im) + quantiles",300,0.666666666666667,3,"Beef","svm"
"FFT (Mag, Angle) + quantiles",301,0.766666666666667,3,"Beef","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.7,3,"Beef","svm"
"catch22",22,0.433333333333333,4,"Beef","svm"
"feasts",34,0.666666666666667,4,"Beef","svm"
"tsfeatures",59,0.733333333333333,4,"Beef","svm"
"TSFEL",143,0.6,4,"Beef","svm"
"Kats",35,0.466666666666667,4,"Beef","svm"
"tsfresh",730,0.733333333333333,4,"Beef","svm"
"quantiles",101,0.633333333333333,4,"Beef","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.8,4,"Beef","svm"
"FFT coefficients",399,0.7,4,"Beef","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.8,4,"Beef","svm"
"FFT (Re, Im) + quantiles",300,0.766666666666667,4,"Beef","svm"
"FFT (Mag, Angle) + quantiles",301,0.8,4,"Beef","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.766666666666667,4,"Beef","svm"
"catch22",22,0.666666666666667,5,"Beef","svm"
"feasts",34,0.533333333333333,5,"Beef","svm"
"tsfeatures",59,0.633333333333333,5,"Beef","svm"
"TSFEL",143,0.466666666666667,5,"Beef","svm"
"Kats",36,0.433333333333333,5,"Beef","svm"
"tsfresh",729,0.833333333333333,5,"Beef","svm"
"quantiles",101,0.633333333333333,5,"Beef","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.7,5,"Beef","svm"
"FFT coefficients",399,0.733333333333333,5,"Beef","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.733333333333333,5,"Beef","svm"
"FFT (Re, Im) + quantiles",300,0.7,5,"Beef","svm"
"FFT (Mag, Angle) + quantiles",301,0.733333333333333,5,"Beef","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.733333333333333,5,"Beef","svm"
"catch22",22,0.533333333333333,6,"Beef","svm"
"feasts",34,0.566666666666667,6,"Beef","svm"
"tsfeatures",59,0.566666666666667,6,"Beef","svm"
