"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.65,1,"BeetleFly","svm"
"2","feasts",37,0.7,1,"BeetleFly","svm"
"3","tsfeatures",59,0.8,1,"BeetleFly","svm"
"4","TSFEL",144,0.95,1,"BeetleFly","svm"
"5","Kats",36,0.75,1,"BeetleFly","svm"
"6","tsfresh",729,0.75,1,"BeetleFly","svm"
"7","quantiles",101,0.75,1,"BeetleFly","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.95,1,"BeetleFly","svm"
"9","catch22",22,0.75,2,"BeetleFly","svm"
"10","feasts",37,0.85,2,"BeetleFly","svm"
"11","tsfeatures",59,0.85,2,"BeetleFly","svm"
"12","TSFEL",144,0.9,2,"BeetleFly","svm"
"13","Kats",35,0.8,2,"BeetleFly","svm"
"14","tsfresh",730,0.8,2,"BeetleFly","svm"
"15","quantiles",101,0.8,2,"BeetleFly","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.75,2,"BeetleFly","svm"
"17","catch22",22,0.8,3,"BeetleFly","svm"
"18","feasts",37,0.85,3,"BeetleFly","svm"
"19","tsfeatures",59,0.9,3,"BeetleFly","svm"
"20","TSFEL",144,0.9,3,"BeetleFly","svm"
"21","Kats",36,0.75,3,"BeetleFly","svm"
"22","tsfresh",728,0.85,3,"BeetleFly","svm"
"23","quantiles",101,0.9,3,"BeetleFly","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.8,3,"BeetleFly","svm"
"25","catch22",22,0.85,4,"BeetleFly","svm"
"26","feasts",37,0.9,4,"BeetleFly","svm"
"27","tsfeatures",59,0.95,4,"BeetleFly","svm"
"28","TSFEL",144,0.85,4,"BeetleFly","svm"
"29","Kats",36,0.75,4,"BeetleFly","svm"
"30","tsfresh",729,0.9,4,"BeetleFly","svm"
"31","quantiles",101,0.55,4,"BeetleFly","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.8,4,"BeetleFly","svm"
"33","catch22",22,0.8,5,"BeetleFly","svm"
"34","feasts",37,0.9,5,"BeetleFly","svm"
"35","tsfeatures",59,0.9,5,"BeetleFly","svm"
"36","TSFEL",144,0.85,5,"BeetleFly","svm"
"37","Kats",36,0.8,5,"BeetleFly","svm"
"38","tsfresh",729,0.85,5,"BeetleFly","svm"
"39","quantiles",101,0.85,5,"BeetleFly","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.9,5,"BeetleFly","svm"
"41","catch22",22,0.75,6,"BeetleFly","svm"
"42","feasts",37,0.95,6,"BeetleFly","svm"
"43","tsfeatures",59,0.85,6,"BeetleFly","svm"
"44","TSFEL",144,0.85,6,"BeetleFly","svm"
"45","Kats",36,0.8,6,"BeetleFly","svm"
"46","tsfresh",728,0.8,6,"BeetleFly","svm"
"47","quantiles",101,0.95,6,"BeetleFly","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.9,6,"BeetleFly","svm"
"49","catch22",22,0.7,7,"BeetleFly","svm"
"50","feasts",37,0.75,7,"BeetleFly","svm"
"51","tsfeatures",59,0.8,7,"BeetleFly","svm"
"52","TSFEL",144,0.8,7,"BeetleFly","svm"
"53","Kats",36,0.75,7,"BeetleFly","svm"
"54","tsfresh",729,0.8,7,"BeetleFly","svm"
"55","quantiles",101,0.9,7,"BeetleFly","svm"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.85,7,"BeetleFly","svm"
"57","catch22",22,0.65,8,"BeetleFly","svm"
"58","feasts",37,0.75,8,"BeetleFly","svm"
"59","tsfeatures",59,0.85,8,"BeetleFly","svm"
"60","TSFEL",144,0.85,8,"BeetleFly","svm"
"61","Kats",36,0.8,8,"BeetleFly","svm"
"62","tsfresh",728,0.8,8,"BeetleFly","svm"
"63","quantiles",101,0.8,8,"BeetleFly","svm"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.75,8,"BeetleFly","svm"
"65","catch22",22,0.8,9,"BeetleFly","svm"
"66","feasts",37,0.85,9,"BeetleFly","svm"
"67","tsfeatures",59,0.9,9,"BeetleFly","svm"
"68","TSFEL",144,0.85,9,"BeetleFly","svm"
"69","Kats",36,0.8,9,"BeetleFly","svm"
"70","tsfresh",729,0.85,9,"BeetleFly","svm"
"71","quantiles",101,0.9,9,"BeetleFly","svm"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.9,9,"BeetleFly","svm"
"73","catch22",22,0.9,10,"BeetleFly","svm"
"74","feasts",37,0.8,10,"BeetleFly","svm"
"75","tsfeatures",59,0.9,10,"BeetleFly","svm"
"76","TSFEL",144,0.75,10,"BeetleFly","svm"
"77","Kats",36,0.75,10,"BeetleFly","svm"
"78","tsfresh",729,0.95,10,"BeetleFly","svm"
"79","quantiles",101,0.85,10,"BeetleFly","svm"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.85,10,"BeetleFly","svm"
"81","catch22",22,0.75,11,"BeetleFly","svm"
"82","feasts",37,0.8,11,"BeetleFly","svm"
"83","tsfeatures",59,0.8,11,"BeetleFly","svm"
"84","TSFEL",144,0.75,11,"BeetleFly","svm"
"85","Kats",36,0.8,11,"BeetleFly","svm"
"86","tsfresh",730,0.8,11,"BeetleFly","svm"
"87","quantiles",101,0.8,11,"BeetleFly","svm"
"88","FFT (Mag^2 + Angle) + quantiles",301,0.8,11,"BeetleFly","svm"
"89","catch22",22,0.7,12,"BeetleFly","svm"
"90","feasts",37,0.8,12,"BeetleFly","svm"
"91","tsfeatures",59,0.9,12,"BeetleFly","svm"
"92","TSFEL",144,0.9,12,"BeetleFly","svm"
"93","Kats",36,0.8,12,"BeetleFly","svm"
"94","tsfresh",729,0.85,12,"BeetleFly","svm"
"95","quantiles",101,0.75,12,"BeetleFly","svm"
"96","FFT (Mag^2 + Angle) + quantiles",301,0.85,12,"BeetleFly","svm"
"97","catch22",22,0.75,13,"BeetleFly","svm"
"98","feasts",37,0.8,13,"BeetleFly","svm"
"99","tsfeatures",58,0.8,13,"BeetleFly","svm"
"100","TSFEL",144,0.75,13,"BeetleFly","svm"
"101","Kats",35,0.8,13,"BeetleFly","svm"
"102","tsfresh",728,0.85,13,"BeetleFly","svm"
"103","quantiles",101,0.85,13,"BeetleFly","svm"
"104","FFT (Mag^2 + Angle) + quantiles",301,0.8,13,"BeetleFly","svm"
"105","catch22",22,0.8,14,"BeetleFly","svm"
"106","feasts",37,0.85,14,"BeetleFly","svm"
"107","tsfeatures",59,0.9,14,"BeetleFly","svm"
"108","TSFEL",144,0.9,14,"BeetleFly","svm"
"109","Kats",36,0.85,14,"BeetleFly","svm"
"110","tsfresh",727,0.75,14,"BeetleFly","svm"
"111","quantiles",101,0.9,14,"BeetleFly","svm"
"112","FFT (Mag^2 + Angle) + quantiles",301,0.95,14,"BeetleFly","svm"
"113","catch22",22,0.8,15,"BeetleFly","svm"
"114","feasts",37,0.8,15,"BeetleFly","svm"
"115","tsfeatures",58,0.85,15,"BeetleFly","svm"
"116","TSFEL",144,0.8,15,"BeetleFly","svm"
"117","Kats",36,0.8,15,"BeetleFly","svm"
"118","tsfresh",729,0.75,15,"BeetleFly","svm"
"119","quantiles",101,0.95,15,"BeetleFly","svm"
"120","FFT (Mag^2 + Angle) + quantiles",301,0.9,15,"BeetleFly","svm"
"121","catch22",22,0.75,16,"BeetleFly","svm"
"122","feasts",37,0.9,16,"BeetleFly","svm"
"123","tsfeatures",59,0.85,16,"BeetleFly","svm"
"124","TSFEL",144,0.9,16,"BeetleFly","svm"
"125","Kats",36,0.8,16,"BeetleFly","svm"
"126","tsfresh",730,0.75,16,"BeetleFly","svm"
"127","quantiles",101,0.8,16,"BeetleFly","svm"
"128","FFT (Mag^2 + Angle) + quantiles",301,0.8,16,"BeetleFly","svm"
"129","catch22",22,0.65,17,"BeetleFly","svm"
"130","feasts",37,0.8,17,"BeetleFly","svm"
"131","tsfeatures",59,0.8,17,"BeetleFly","svm"
"132","TSFEL",144,0.8,17,"BeetleFly","svm"
"133","Kats",36,0.9,17,"BeetleFly","svm"
"134","tsfresh",731,0.9,17,"BeetleFly","svm"
"135","quantiles",101,0.95,17,"BeetleFly","svm"
"136","FFT (Mag^2 + Angle) + quantiles",301,0.9,17,"BeetleFly","svm"
"137","catch22",22,0.75,18,"BeetleFly","svm"
"138","feasts",37,0.75,18,"BeetleFly","svm"
"139","tsfeatures",59,0.8,18,"BeetleFly","svm"
