"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",20,0.7,1,"Car","svm"
"feasts",35,0.633333333333333,1,"Car","svm"
"tsfeatures",59,0.716666666666667,1,"Car","svm"
"TSFEL",143,0.75,1,"Car","svm"
"Kats",35,0.616666666666667,1,"Car","svm"
"tsfresh",729,0.733333333333333,1,"Car","svm"
"quantiles",101,0.666666666666667,1,"Car","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.683333333333333,1,"Car","svm"
"FFT coefficients",399,0.65,1,"Car","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.683333333333333,1,"Car","svm"
"FFT (Re, Im) + quantiles",300,0.616666666666667,1,"Car","svm"
"FFT (Mag, Angle) + quantiles",301,0.633333333333333,1,"Car","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.6,1,"Car","svm"
"catch22",20,0.633333333333333,2,"Car","svm"
"feasts",35,0.666666666666667,2,"Car","svm"
"tsfeatures",59,0.85,2,"Car","svm"
"TSFEL",143,0.733333333333333,2,"Car","svm"
"Kats",35,0.65,2,"Car","svm"
"tsfresh",728,0.8,2,"Car","svm"
"quantiles",101,0.733333333333333,2,"Car","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.766666666666667,2,"Car","svm"
"FFT coefficients",399,0.633333333333333,2,"Car","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.716666666666667,2,"Car","svm"
"FFT (Re, Im) + quantiles",300,0.583333333333333,2,"Car","svm"
"FFT (Mag, Angle) + quantiles",301,0.816666666666667,2,"Car","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.766666666666667,2,"Car","svm"
"catch22",20,0.683333333333333,3,"Car","svm"
"feasts",35,0.733333333333333,3,"Car","svm"
"tsfeatures",59,0.866666666666667,3,"Car","svm"
"TSFEL",143,0.716666666666667,3,"Car","svm"
"Kats",35,0.666666666666667,3,"Car","svm"
"tsfresh",728,0.716666666666667,3,"Car","svm"
"quantiles",101,0.616666666666667,3,"Car","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.7,3,"Car","svm"
"FFT coefficients",399,0.8,3,"Car","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.75,3,"Car","svm"
"FFT (Re, Im) + quantiles",300,0.616666666666667,3,"Car","svm"
"FFT (Mag, Angle) + quantiles",301,0.716666666666667,3,"Car","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.75,3,"Car","svm"
"catch22",20,0.65,4,"Car","svm"
"feasts",35,0.733333333333333,4,"Car","svm"
"tsfeatures",59,0.75,4,"Car","svm"
"TSFEL",143,0.7,4,"Car","svm"
"Kats",35,0.683333333333333,4,"Car","svm"
"tsfresh",729,0.766666666666667,4,"Car","svm"
"quantiles",101,0.65,4,"Car","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.766666666666667,4,"Car","svm"
"FFT coefficients",399,0.733333333333333,4,"Car","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.75,4,"Car","svm"
"FFT (Re, Im) + quantiles",300,0.716666666666667,4,"Car","svm"
"FFT (Mag, Angle) + quantiles",301,0.783333333333333,4,"Car","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.7,4,"Car","svm"
"catch22",20,0.583333333333333,5,"Car","svm"
"feasts",35,0.683333333333333,5,"Car","svm"
"tsfeatures",59,0.783333333333333,5,"Car","svm"
"TSFEL",143,0.683333333333333,5,"Car","svm"
"Kats",35,0.633333333333333,5,"Car","svm"
"tsfresh",728,0.733333333333333,5,"Car","svm"
"quantiles",101,0.683333333333333,5,"Car","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.666666666666667,5,"Car","svm"
"FFT coefficients",399,0.616666666666667,5,"Car","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.666666666666667,5,"Car","svm"
"FFT (Re, Im) + quantiles",300,0.633333333333333,5,"Car","svm"
"FFT (Mag, Angle) + quantiles",301,0.7,5,"Car","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.683333333333333,5,"Car","svm"
"catch22",20,0.616666666666667,6,"Car","svm"
"feasts",35,0.733333333333333,6,"Car","svm"
"tsfeatures",59,0.733333333333333,6,"Car","svm"
"TSFEL",143,0.75,6,"Car","svm"
"Kats",35,0.616666666666667,6,"Car","svm"
"tsfresh",728,0.766666666666667,6,"Car","svm"
"quantiles",101,0.65,6,"Car","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.783333333333333,6,"Car","svm"
"FFT coefficients",399,0.75,6,"Car","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.766666666666667,6,"Car","svm"
"FFT (Re, Im) + quantiles",300,0.616666666666667,6,"Car","svm"
"FFT (Mag, Angle) + quantiles",301,0.816666666666667,6,"Car","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.783333333333333,6,"Car","svm"
