"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.735507246376812,1,"CinCECGTorso","svm"
"2","feasts",37,0.929710144927536,1,"CinCECGTorso","svm"
"3","tsfeatures",59,0.949275362318841,1,"CinCECGTorso","svm"
"4","TSFEL",146,0.92536231884058,1,"CinCECGTorso","svm"
"5","Kats",36,0.871014492753623,1,"CinCECGTorso","svm"
"6","tsfresh",731,0.804347826086957,1,"CinCECGTorso","svm"
"7","quantiles",101,0.546376811594203,1,"CinCECGTorso","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.717391304347826,1,"CinCECGTorso","svm"
"9","catch22",22,0.690579710144928,2,"CinCECGTorso","svm"
"10","feasts",37,0.932608695652174,2,"CinCECGTorso","svm"
"11","tsfeatures",59,0.947101449275362,2,"CinCECGTorso","svm"
"12","TSFEL",146,0.926811594202899,2,"CinCECGTorso","svm"
"13","Kats",35,0.88695652173913,2,"CinCECGTorso","svm"
"14","tsfresh",732,0.831159420289855,2,"CinCECGTorso","svm"
"15","quantiles",101,0.686231884057971,2,"CinCECGTorso","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.747826086956522,2,"CinCECGTorso","svm"
"17","catch22",22,0.707971014492754,3,"CinCECGTorso","svm"
"18","feasts",37,0.915217391304348,3,"CinCECGTorso","svm"
"19","tsfeatures",59,0.953623188405797,3,"CinCECGTorso","svm"
"20","TSFEL",144,0.934057971014493,3,"CinCECGTorso","svm"
"21","Kats",35,0.916666666666667,3,"CinCECGTorso","svm"
"22","tsfresh",733,0.784057971014493,3,"CinCECGTorso","svm"
"23","quantiles",101,0.655797101449275,3,"CinCECGTorso","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.73768115942029,3,"CinCECGTorso","svm"
"25","catch22",22,0.685507246376812,4,"CinCECGTorso","svm"
"26","feasts",37,0.927536231884058,4,"CinCECGTorso","svm"
"27","tsfeatures",59,0.927536231884058,4,"CinCECGTorso","svm"
"28","TSFEL",144,0.901449275362319,4,"CinCECGTorso","svm"
"29","Kats",35,0.863768115942029,4,"CinCECGTorso","svm"
"30","tsfresh",731,0.808695652173913,4,"CinCECGTorso","svm"
"31","quantiles",101,0.639130434782609,4,"CinCECGTorso","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.73695652173913,4,"CinCECGTorso","svm"
"33","catch22",22,0.732608695652174,5,"CinCECGTorso","svm"
"34","feasts",37,0.931159420289855,5,"CinCECGTorso","svm"
"35","tsfeatures",59,0.917391304347826,5,"CinCECGTorso","svm"
"36","TSFEL",144,0.930434782608696,5,"CinCECGTorso","svm"
"37","Kats",36,0.857246376811594,5,"CinCECGTorso","svm"
"38","tsfresh",731,0.82463768115942,5,"CinCECGTorso","svm"
"39","quantiles",101,0.543478260869565,5,"CinCECGTorso","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.793478260869565,5,"CinCECGTorso","svm"
"41","catch22",22,0.652173913043478,6,"CinCECGTorso","svm"
"42","feasts",37,0.914492753623188,6,"CinCECGTorso","svm"
"43","tsfeatures",59,0.896376811594203,6,"CinCECGTorso","svm"
"44","TSFEL",144,0.93695652173913,6,"CinCECGTorso","svm"
"45","Kats",35,0.878260869565217,6,"CinCECGTorso","svm"
"46","tsfresh",732,0.82463768115942,6,"CinCECGTorso","svm"
"47","quantiles",101,0.688405797101449,6,"CinCECGTorso","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.723913043478261,6,"CinCECGTorso","svm"
"49","catch22",22,0.7,7,"CinCECGTorso","svm"
"50","feasts",37,0.914492753623188,7,"CinCECGTorso","svm"
"51","tsfeatures",59,0.901449275362319,7,"CinCECGTorso","svm"
"52","TSFEL",146,0.927536231884058,7,"CinCECGTorso","svm"
"53","Kats",36,0.873913043478261,7,"CinCECGTorso","svm"
"54","tsfresh",732,0.844927536231884,7,"CinCECGTorso","svm"
"55","quantiles",101,0.689130434782609,7,"CinCECGTorso","svm"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.730434782608696,7,"CinCECGTorso","svm"
"57","catch22",22,0.702898550724638,8,"CinCECGTorso","svm"
"58","feasts",37,0.922463768115942,8,"CinCECGTorso","svm"
"59","tsfeatures",59,0.943478260869565,8,"CinCECGTorso","svm"
"60","TSFEL",144,0.919565217391304,8,"CinCECGTorso","svm"
"61","Kats",35,0.894202898550725,8,"CinCECGTorso","svm"
"62","tsfresh",731,0.85,8,"CinCECGTorso","svm"
"63","quantiles",101,0.705072463768116,8,"CinCECGTorso","svm"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.755797101449275,8,"CinCECGTorso","svm"
"65","catch22",22,0.667391304347826,9,"CinCECGTorso","svm"
"66","feasts",37,0.838405797101449,9,"CinCECGTorso","svm"
"67","tsfeatures",59,0.897826086956522,9,"CinCECGTorso","svm"
"68","TSFEL",144,0.915217391304348,9,"CinCECGTorso","svm"
"69","Kats",35,0.829710144927536,9,"CinCECGTorso","svm"
"70","tsfresh",729,0.797826086956522,9,"CinCECGTorso","svm"
"71","quantiles",101,0.669565217391304,9,"CinCECGTorso","svm"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.710869565217391,9,"CinCECGTorso","svm"
