"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",21,0.964285714285714,1,"Coffee","svm"
"2","feasts",35,1,1,"Coffee","svm"
"3","tsfeatures",57,1,1,"Coffee","svm"
"4","TSFEL",142,1,1,"Coffee","svm"
"5","Kats",34,0.964285714285714,1,"Coffee","svm"
"6","tsfresh",725,1,1,"Coffee","svm"
"7","quantiles",101,0.928571428571429,1,"Coffee","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,1,1,"Coffee","svm"
"9","catch22",21,1,2,"Coffee","svm"
"10","feasts",36,1,2,"Coffee","svm"
"11","tsfeatures",57,1,2,"Coffee","svm"
"12","TSFEL",142,1,2,"Coffee","svm"
"13","Kats",34,0.928571428571429,2,"Coffee","svm"
"14","tsfresh",725,1,2,"Coffee","svm"
"15","quantiles",101,0.964285714285714,2,"Coffee","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,1,2,"Coffee","svm"
"17","catch22",21,1,3,"Coffee","svm"
"18","feasts",36,0.964285714285714,3,"Coffee","svm"
"19","tsfeatures",57,1,3,"Coffee","svm"
"20","TSFEL",142,1,3,"Coffee","svm"
"21","Kats",34,0.964285714285714,3,"Coffee","svm"
"22","tsfresh",725,1,3,"Coffee","svm"
"23","quantiles",101,0.857142857142857,3,"Coffee","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,1,3,"Coffee","svm"
"25","catch22",21,1,4,"Coffee","svm"
"26","feasts",36,1,4,"Coffee","svm"
"27","tsfeatures",57,1,4,"Coffee","svm"
"28","TSFEL",142,1,4,"Coffee","svm"
"29","Kats",34,0.964285714285714,4,"Coffee","svm"
"30","tsfresh",725,1,4,"Coffee","svm"
"31","quantiles",101,0.928571428571429,4,"Coffee","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,1,4,"Coffee","svm"
"33","catch22",21,1,5,"Coffee","svm"
"34","feasts",35,0.964285714285714,5,"Coffee","svm"
"35","tsfeatures",57,1,5,"Coffee","svm"
"36","TSFEL",141,1,5,"Coffee","svm"
"37","Kats",34,0.928571428571429,5,"Coffee","svm"
"38","tsfresh",720,1,5,"Coffee","svm"
"39","quantiles",101,0.892857142857143,5,"Coffee","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,1,5,"Coffee","svm"
"41","catch22",21,0.928571428571429,6,"Coffee","svm"
"42","feasts",35,1,6,"Coffee","svm"
"43","tsfeatures",57,0.964285714285714,6,"Coffee","svm"
"44","TSFEL",141,1,6,"Coffee","svm"
"45","Kats",34,0.928571428571429,6,"Coffee","svm"
"46","tsfresh",719,1,6,"Coffee","svm"
"47","quantiles",101,1,6,"Coffee","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,1,6,"Coffee","svm"
"49","catch22",21,1,7,"Coffee","svm"
"50","feasts",35,1,7,"Coffee","svm"
"51","tsfeatures",57,0.964285714285714,7,"Coffee","svm"
"52","TSFEL",142,1,7,"Coffee","svm"
"53","Kats",34,0.964285714285714,7,"Coffee","svm"
"54","tsfresh",726,1,7,"Coffee","svm"
"55","quantiles",101,1,7,"Coffee","svm"
"56","FFT (Mag^2 + Angle) + quantiles",301,1,7,"Coffee","svm"
"57","catch22",21,1,8,"Coffee","svm"
"58","feasts",36,1,8,"Coffee","svm"
"59","tsfeatures",57,1,8,"Coffee","svm"
"60","TSFEL",142,1,8,"Coffee","svm"
"61","Kats",34,0.928571428571429,8,"Coffee","svm"
"62","tsfresh",725,1,8,"Coffee","svm"
"63","quantiles",101,0.964285714285714,8,"Coffee","svm"
"64","FFT (Mag^2 + Angle) + quantiles",301,1,8,"Coffee","svm"
"65","catch22",21,1,9,"Coffee","svm"
"66","feasts",36,0.964285714285714,9,"Coffee","svm"
"67","tsfeatures",57,1,9,"Coffee","svm"
"68","TSFEL",142,1,9,"Coffee","svm"
"69","Kats",34,1,9,"Coffee","svm"
"70","tsfresh",726,1,9,"Coffee","svm"
"71","quantiles",101,0.928571428571429,9,"Coffee","svm"
"72","FFT (Mag^2 + Angle) + quantiles",301,1,9,"Coffee","svm"
"73","catch22",21,1,10,"Coffee","svm"
"74","feasts",36,1,10,"Coffee","svm"
"75","tsfeatures",57,0.964285714285714,10,"Coffee","svm"
"76","TSFEL",142,1,10,"Coffee","svm"
