"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.492307692307692,1,"CricketZ","svm"
"feasts",39,0.543589743589744,1,"CricketZ","svm"
"tsfeatures",59,0.564102564102564,1,"CricketZ","svm"
"TSFEL",143,0.623076923076923,1,"CricketZ","svm"
"Kats",35,0.47948717948718,1,"CricketZ","svm"
"tsfresh",734,0.666666666666667,1,"CricketZ","svm"
"quantiles",101,0.425641025641026,1,"CricketZ","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.543589743589744,1,"CricketZ","svm"
"FFT coefficients",399,0.430769230769231,1,"CricketZ","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.535897435897436,1,"CricketZ","svm"
"FFT (Re, Im) + quantiles",300,0.451282051282051,1,"CricketZ","svm"
"FFT (Mag, Angle) + quantiles",301,0.569230769230769,1,"CricketZ","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.528205128205128,1,"CricketZ","svm"
"catch22",22,0.535897435897436,2,"CricketZ","svm"
"feasts",39,0.553846153846154,2,"CricketZ","svm"
"tsfeatures",59,0.61025641025641,2,"CricketZ","svm"
"TSFEL",143,0.687179487179487,2,"CricketZ","svm"
"Kats",35,0.576923076923077,2,"CricketZ","svm"
"tsfresh",734,0.733333333333333,2,"CricketZ","svm"
"quantiles",101,0.451282051282051,2,"CricketZ","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.592307692307692,2,"CricketZ","svm"
"FFT coefficients",399,0.487179487179487,2,"CricketZ","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.597435897435897,2,"CricketZ","svm"
"FFT (Re, Im) + quantiles",300,0.443589743589744,2,"CricketZ","svm"
"FFT (Mag, Angle) + quantiles",301,0.612820512820513,2,"CricketZ","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.602564102564103,2,"CricketZ","svm"
"catch22",22,0.51025641025641,3,"CricketZ","svm"
"feasts",39,0.551282051282051,3,"CricketZ","svm"
"tsfeatures",59,0.594871794871795,3,"CricketZ","svm"
"TSFEL",143,0.625641025641026,3,"CricketZ","svm"
"Kats",35,0.520512820512821,3,"CricketZ","svm"
"tsfresh",734,0.684615384615385,3,"CricketZ","svm"
"quantiles",101,0.458974358974359,3,"CricketZ","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.551282051282051,3,"CricketZ","svm"
"FFT coefficients",399,0.464102564102564,3,"CricketZ","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.553846153846154,3,"CricketZ","svm"
"FFT (Re, Im) + quantiles",300,0.425641025641026,3,"CricketZ","svm"
"FFT (Mag, Angle) + quantiles",301,0.556410256410256,3,"CricketZ","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.548717948717949,3,"CricketZ","svm"
"catch22",22,0.512820512820513,4,"CricketZ","svm"
"feasts",38,0.528205128205128,4,"CricketZ","svm"
"tsfeatures",59,0.584615384615385,4,"CricketZ","svm"
"TSFEL",143,0.633333333333333,4,"CricketZ","svm"
"Kats",35,0.533333333333333,4,"CricketZ","svm"
"tsfresh",734,0.687179487179487,4,"CricketZ","svm"
"quantiles",101,0.402564102564103,4,"CricketZ","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.571794871794872,4,"CricketZ","svm"
"FFT coefficients",399,0.502564102564103,4,"CricketZ","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.582051282051282,4,"CricketZ","svm"
"FFT (Re, Im) + quantiles",300,0.5,4,"CricketZ","svm"
"FFT (Mag, Angle) + quantiles",301,0.587179487179487,4,"CricketZ","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.543589743589744,4,"CricketZ","svm"
"catch22",22,0.528205128205128,5,"CricketZ","svm"
"feasts",39,0.57948717948718,5,"CricketZ","svm"
"tsfeatures",59,0.648717948717949,5,"CricketZ","svm"
"TSFEL",143,0.658974358974359,5,"CricketZ","svm"
"Kats",35,0.525641025641026,5,"CricketZ","svm"
"tsfresh",734,0.71025641025641,5,"CricketZ","svm"
"quantiles",101,0.466666666666667,5,"CricketZ","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.587179487179487,5,"CricketZ","svm"
"FFT coefficients",399,0.443589743589744,5,"CricketZ","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.58974358974359,5,"CricketZ","svm"
"FFT (Re, Im) + quantiles",300,0.42051282051282,5,"CricketZ","svm"
"FFT (Mag, Angle) + quantiles",301,0.605128205128205,5,"CricketZ","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.576923076923077,5,"CricketZ","svm"
"catch22",22,0.523076923076923,6,"CricketZ","svm"
"feasts",39,0.602564102564103,6,"CricketZ","svm"
"tsfeatures",59,0.628205128205128,6,"CricketZ","svm"
"TSFEL",143,0.676923076923077,6,"CricketZ","svm"
"Kats",35,0.551282051282051,6,"CricketZ","svm"
"tsfresh",732,0.707692307692308,6,"CricketZ","svm"
"quantiles",101,0.482051282051282,6,"CricketZ","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.61025641025641,6,"CricketZ","svm"
"FFT coefficients",399,0.51025641025641,6,"CricketZ","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.61025641025641,6,"CricketZ","svm"
"FFT (Re, Im) + quantiles",300,0.435897435897436,6,"CricketZ","svm"
"FFT (Mag, Angle) + quantiles",301,0.628205128205128,6,"CricketZ","svm"
