"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.697841726618705,1,"DistalPhalanxOutlineAgeGroup","svm"
"2","feasts",34,0.705035971223022,1,"DistalPhalanxOutlineAgeGroup","svm"
"3","tsfeatures",59,0.705035971223022,1,"DistalPhalanxOutlineAgeGroup","svm"
"4","TSFEL",142,0.697841726618705,1,"DistalPhalanxOutlineAgeGroup","svm"
"5","Kats",36,0.733812949640288,1,"DistalPhalanxOutlineAgeGroup","svm"
"6","tsfresh",483,0.705035971223022,1,"DistalPhalanxOutlineAgeGroup","svm"
"7","quantiles",101,0.683453237410072,1,"DistalPhalanxOutlineAgeGroup","svm"
"8","FFT (Mag^2 + Angle) + quantiles",183,0.669064748201439,1,"DistalPhalanxOutlineAgeGroup","svm"
"9","catch22",22,0.79136690647482,2,"DistalPhalanxOutlineAgeGroup","svm"
"10","feasts",35,0.784172661870504,2,"DistalPhalanxOutlineAgeGroup","svm"
"11","tsfeatures",59,0.784172661870504,2,"DistalPhalanxOutlineAgeGroup","svm"
"12","TSFEL",142,0.76978417266187,2,"DistalPhalanxOutlineAgeGroup","svm"
"13","Kats",36,0.76978417266187,2,"DistalPhalanxOutlineAgeGroup","svm"
"14","tsfresh",483,0.81294964028777,2,"DistalPhalanxOutlineAgeGroup","svm"
"15","quantiles",101,0.726618705035971,2,"DistalPhalanxOutlineAgeGroup","svm"
"16","FFT (Mag^2 + Angle) + quantiles",183,0.683453237410072,2,"DistalPhalanxOutlineAgeGroup","svm"
"17","catch22",22,0.712230215827338,3,"DistalPhalanxOutlineAgeGroup","svm"
"18","feasts",35,0.762589928057554,3,"DistalPhalanxOutlineAgeGroup","svm"
"19","tsfeatures",59,0.733812949640288,3,"DistalPhalanxOutlineAgeGroup","svm"
"20","TSFEL",142,0.733812949640288,3,"DistalPhalanxOutlineAgeGroup","svm"
"21","Kats",36,0.755395683453237,3,"DistalPhalanxOutlineAgeGroup","svm"
"22","tsfresh",483,0.697841726618705,3,"DistalPhalanxOutlineAgeGroup","svm"
"23","quantiles",101,0.762589928057554,3,"DistalPhalanxOutlineAgeGroup","svm"
"24","FFT (Mag^2 + Angle) + quantiles",183,0.762589928057554,3,"DistalPhalanxOutlineAgeGroup","svm"
"25","catch22",22,0.805755395683453,4,"DistalPhalanxOutlineAgeGroup","svm"
"26","feasts",34,0.762589928057554,4,"DistalPhalanxOutlineAgeGroup","svm"
"27","tsfeatures",59,0.784172661870504,4,"DistalPhalanxOutlineAgeGroup","svm"
"28","TSFEL",142,0.76978417266187,4,"DistalPhalanxOutlineAgeGroup","svm"
"29","Kats",36,0.776978417266187,4,"DistalPhalanxOutlineAgeGroup","svm"
"30","tsfresh",483,0.712230215827338,4,"DistalPhalanxOutlineAgeGroup","svm"
"31","quantiles",101,0.755395683453237,4,"DistalPhalanxOutlineAgeGroup","svm"
"32","FFT (Mag^2 + Angle) + quantiles",183,0.733812949640288,4,"DistalPhalanxOutlineAgeGroup","svm"
"33","catch22",22,0.748201438848921,5,"DistalPhalanxOutlineAgeGroup","svm"
"34","feasts",34,0.784172661870504,5,"DistalPhalanxOutlineAgeGroup","svm"
"35","tsfeatures",59,0.762589928057554,5,"DistalPhalanxOutlineAgeGroup","svm"
"36","TSFEL",142,0.733812949640288,5,"DistalPhalanxOutlineAgeGroup","svm"
"37","Kats",36,0.798561151079137,5,"DistalPhalanxOutlineAgeGroup","svm"
"38","tsfresh",483,0.741007194244604,5,"DistalPhalanxOutlineAgeGroup","svm"
"39","quantiles",101,0.755395683453237,5,"DistalPhalanxOutlineAgeGroup","svm"
"40","FFT (Mag^2 + Angle) + quantiles",183,0.76978417266187,5,"DistalPhalanxOutlineAgeGroup","svm"
"41","catch22",22,0.741007194244604,6,"DistalPhalanxOutlineAgeGroup","svm"
"42","feasts",35,0.755395683453237,6,"DistalPhalanxOutlineAgeGroup","svm"
"43","tsfeatures",59,0.697841726618705,6,"DistalPhalanxOutlineAgeGroup","svm"
"44","TSFEL",142,0.669064748201439,6,"DistalPhalanxOutlineAgeGroup","svm"
"45","Kats",36,0.776978417266187,6,"DistalPhalanxOutlineAgeGroup","svm"
"46","tsfresh",483,0.726618705035971,6,"DistalPhalanxOutlineAgeGroup","svm"
"47","quantiles",101,0.733812949640288,6,"DistalPhalanxOutlineAgeGroup","svm"
"48","FFT (Mag^2 + Angle) + quantiles",183,0.705035971223022,6,"DistalPhalanxOutlineAgeGroup","svm"
"49","catch22",22,0.841726618705036,7,"DistalPhalanxOutlineAgeGroup","svm"
"50","feasts",34,0.741007194244604,7,"DistalPhalanxOutlineAgeGroup","svm"
"51","tsfeatures",59,0.79136690647482,7,"DistalPhalanxOutlineAgeGroup","svm"
"52","TSFEL",142,0.690647482014389,7,"DistalPhalanxOutlineAgeGroup","svm"
"53","Kats",36,0.776978417266187,7,"DistalPhalanxOutlineAgeGroup","svm"
"54","tsfresh",483,0.762589928057554,7,"DistalPhalanxOutlineAgeGroup","svm"
"55","quantiles",101,0.784172661870504,7,"DistalPhalanxOutlineAgeGroup","svm"
"56","FFT (Mag^2 + Angle) + quantiles",183,0.712230215827338,7,"DistalPhalanxOutlineAgeGroup","svm"
"57","catch22",22,0.733812949640288,8,"DistalPhalanxOutlineAgeGroup","svm"
"58","feasts",35,0.798561151079137,8,"DistalPhalanxOutlineAgeGroup","svm"
"59","tsfeatures",59,0.733812949640288,8,"DistalPhalanxOutlineAgeGroup","svm"
"60","TSFEL",142,0.733812949640288,8,"DistalPhalanxOutlineAgeGroup","svm"
"61","Kats",36,0.79136690647482,8,"DistalPhalanxOutlineAgeGroup","svm"
"62","tsfresh",483,0.690647482014389,8,"DistalPhalanxOutlineAgeGroup","svm"
"63","quantiles",101,0.733812949640288,8,"DistalPhalanxOutlineAgeGroup","svm"
"64","FFT (Mag^2 + Angle) + quantiles",183,0.705035971223022,8,"DistalPhalanxOutlineAgeGroup","svm"
"65","catch22",22,0.762589928057554,9,"DistalPhalanxOutlineAgeGroup","svm"
"66","feasts",35,0.798561151079137,9,"DistalPhalanxOutlineAgeGroup","svm"
"67","tsfeatures",59,0.748201438848921,9,"DistalPhalanxOutlineAgeGroup","svm"
"68","TSFEL",142,0.776978417266187,9,"DistalPhalanxOutlineAgeGroup","svm"
"69","Kats",36,0.827338129496403,9,"DistalPhalanxOutlineAgeGroup","svm"
"70","tsfresh",483,0.705035971223022,9,"DistalPhalanxOutlineAgeGroup","svm"
"71","quantiles",101,0.719424460431655,9,"DistalPhalanxOutlineAgeGroup","svm"
"72","FFT (Mag^2 + Angle) + quantiles",183,0.776978417266187,9,"DistalPhalanxOutlineAgeGroup","svm"
"73","catch22",22,0.83453237410072,10,"DistalPhalanxOutlineAgeGroup","svm"
"74","feasts",35,0.805755395683453,10,"DistalPhalanxOutlineAgeGroup","svm"
