"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.637795275590551,1,"DodgerLoopGame","svm"
"2","feasts",35,0.84251968503937,1,"DodgerLoopGame","svm"
"3","tsfeatures",57,0.866141732283465,1,"DodgerLoopGame","svm"
"4","TSFEL",143,0.700787401574803,1,"DodgerLoopGame","svm"
"5","Kats",36,0.740157480314961,1,"DodgerLoopGame","svm"
"6","tsfresh",726,0.834645669291339,1,"DodgerLoopGame","svm"
"7","quantiles",101,0.755905511811024,1,"DodgerLoopGame","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.779527559055118,1,"DodgerLoopGame","svm"
"9","catch22",22,0.582677165354331,2,"DodgerLoopGame","svm"
"10","feasts",35,0.755905511811024,2,"DodgerLoopGame","svm"
"11","tsfeatures",57,0.732283464566929,2,"DodgerLoopGame","svm"
"12","TSFEL",141,0.779527559055118,2,"DodgerLoopGame","svm"
"13","Kats",36,0.708661417322835,2,"DodgerLoopGame","svm"
"14","tsfresh",726,0.763779527559055,2,"DodgerLoopGame","svm"
"15","quantiles",101,0.377952755905512,2,"DodgerLoopGame","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.661417322834646,2,"DodgerLoopGame","svm"
"17","catch22",22,0.732283464566929,3,"DodgerLoopGame","svm"
"18","feasts",35,0.826771653543307,3,"DodgerLoopGame","svm"
"19","tsfeatures",57,0.850393700787402,3,"DodgerLoopGame","svm"
"20","TSFEL",143,0.866141732283465,3,"DodgerLoopGame","svm"
"21","Kats",36,0.826771653543307,3,"DodgerLoopGame","svm"
"22","tsfresh",726,0.78740157480315,3,"DodgerLoopGame","svm"
"23","quantiles",101,0.700787401574803,3,"DodgerLoopGame","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.826771653543307,3,"DodgerLoopGame","svm"
"25","catch22",22,0.700787401574803,4,"DodgerLoopGame","svm"
"26","feasts",35,0.818897637795276,4,"DodgerLoopGame","svm"
"27","tsfeatures",57,0.84251968503937,4,"DodgerLoopGame","svm"
"28","TSFEL",141,0.834645669291339,4,"DodgerLoopGame","svm"
"29","Kats",36,0.795275590551181,4,"DodgerLoopGame","svm"
"30","tsfresh",724,0.818897637795276,4,"DodgerLoopGame","svm"
"31","quantiles",101,0.748031496062992,4,"DodgerLoopGame","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.78740157480315,4,"DodgerLoopGame","svm"
"33","catch22",22,0.661417322834646,5,"DodgerLoopGame","svm"
"34","feasts",35,0.795275590551181,5,"DodgerLoopGame","svm"
"35","tsfeatures",57,0.732283464566929,5,"DodgerLoopGame","svm"
"36","TSFEL",143,0.755905511811024,5,"DodgerLoopGame","svm"
"37","Kats",36,0.803149606299213,5,"DodgerLoopGame","svm"
"38","tsfresh",725,0.874015748031496,5,"DodgerLoopGame","svm"
"39","quantiles",101,0.763779527559055,5,"DodgerLoopGame","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.818897637795276,5,"DodgerLoopGame","svm"
"41","catch22",22,0.669291338582677,6,"DodgerLoopGame","svm"
"42","feasts",35,0.826771653543307,6,"DodgerLoopGame","svm"
"43","tsfeatures",57,0.803149606299213,6,"DodgerLoopGame","svm"
"44","TSFEL",141,0.763779527559055,6,"DodgerLoopGame","svm"
"45","Kats",36,0.748031496062992,6,"DodgerLoopGame","svm"
"46","tsfresh",727,0.834645669291339,6,"DodgerLoopGame","svm"
"47","quantiles",101,0.771653543307087,6,"DodgerLoopGame","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.795275590551181,6,"DodgerLoopGame","svm"
"49","catch22",22,0.645669291338583,7,"DodgerLoopGame","svm"
"50","feasts",35,0.84251968503937,7,"DodgerLoopGame","svm"
"51","tsfeatures",57,0.84251968503937,7,"DodgerLoopGame","svm"
