"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.96031746031746,1,"DodgerLoopWeekend","svm"
"2","feasts",35,0.873015873015873,1,"DodgerLoopWeekend","svm"
"3","tsfeatures",57,0.96031746031746,1,"DodgerLoopWeekend","svm"
"4","TSFEL",143,0.96031746031746,1,"DodgerLoopWeekend","svm"
"5","Kats",36,0.777777777777778,1,"DodgerLoopWeekend","svm"
"6","tsfresh",726,0.984126984126984,1,"DodgerLoopWeekend","svm"
"7","quantiles",101,0.920634920634921,1,"DodgerLoopWeekend","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.912698412698413,1,"DodgerLoopWeekend","svm"
"9","catch22",22,0.873015873015873,2,"DodgerLoopWeekend","svm"
"10","feasts",35,0.873015873015873,2,"DodgerLoopWeekend","svm"
"11","tsfeatures",57,0.96031746031746,2,"DodgerLoopWeekend","svm"
"12","TSFEL",141,0.952380952380952,2,"DodgerLoopWeekend","svm"
"13","Kats",36,0.952380952380952,2,"DodgerLoopWeekend","svm"
"14","tsfresh",726,0.96031746031746,2,"DodgerLoopWeekend","svm"
"15","quantiles",101,0.896825396825397,2,"DodgerLoopWeekend","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.928571428571429,2,"DodgerLoopWeekend","svm"
"17","catch22",22,0.976190476190476,3,"DodgerLoopWeekend","svm"
"18","feasts",35,0.888888888888889,3,"DodgerLoopWeekend","svm"
"19","tsfeatures",57,0.928571428571429,3,"DodgerLoopWeekend","svm"
"20","TSFEL",141,0.952380952380952,3,"DodgerLoopWeekend","svm"
"21","Kats",36,0.976190476190476,3,"DodgerLoopWeekend","svm"
"22","tsfresh",727,0.968253968253968,3,"DodgerLoopWeekend","svm"
"23","quantiles",101,0.873015873015873,3,"DodgerLoopWeekend","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.912698412698413,3,"DodgerLoopWeekend","svm"
"25","catch22",22,0.952380952380952,4,"DodgerLoopWeekend","svm"
"26","feasts",35,0.76984126984127,4,"DodgerLoopWeekend","svm"
"27","tsfeatures",57,0.96031746031746,4,"DodgerLoopWeekend","svm"
"28","TSFEL",143,0.944444444444444,4,"DodgerLoopWeekend","svm"
"29","Kats",36,0.944444444444444,4,"DodgerLoopWeekend","svm"
"30","tsfresh",726,0.968253968253968,4,"DodgerLoopWeekend","svm"
"31","quantiles",101,0.793650793650794,4,"DodgerLoopWeekend","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.880952380952381,4,"DodgerLoopWeekend","svm"
"33","catch22",22,0.984126984126984,5,"DodgerLoopWeekend","svm"
"34","feasts",35,0.873015873015873,5,"DodgerLoopWeekend","svm"
"35","tsfeatures",57,0.968253968253968,5,"DodgerLoopWeekend","svm"
"36","TSFEL",141,0.968253968253968,5,"DodgerLoopWeekend","svm"
"37","Kats",36,0.96031746031746,5,"DodgerLoopWeekend","svm"
"38","tsfresh",727,0.976190476190476,5,"DodgerLoopWeekend","svm"
"39","quantiles",101,0.928571428571429,5,"DodgerLoopWeekend","svm"
