"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.657375145180023,1,"ECGFiveDays","svm"
"2","feasts",37,0.908246225319396,1,"ECGFiveDays","svm"
"3","tsfeatures",59,0.881533101045296,1,"ECGFiveDays","svm"
"4","TSFEL",144,0.921022067363531,1,"ECGFiveDays","svm"
"5","Kats",35,0.876887340301974,1,"ECGFiveDays","svm"
"6","tsfresh",599,0.91753774680604,1,"ECGFiveDays","svm"
"7","quantiles",101,0.747967479674797,1,"ECGFiveDays","svm"
"8","FFT (Mag^2 + Angle) + quantiles",239,0.986062717770035,1,"ECGFiveDays","svm"
"9","catch22",22,0.732868757259001,2,"ECGFiveDays","svm"
"10","feasts",37,0.822299651567944,2,"ECGFiveDays","svm"
"11","tsfeatures",59,0.818815331010453,2,"ECGFiveDays","svm"
"12","TSFEL",144,0.871080139372822,2,"ECGFiveDays","svm"
"13","Kats",35,0.923344947735192,2,"ECGFiveDays","svm"
"14","tsfresh",600,0.883855981416957,2,"ECGFiveDays","svm"
"15","quantiles",101,0.689895470383275,2,"ECGFiveDays","svm"
"16","FFT (Mag^2 + Angle) + quantiles",239,0.996515679442509,2,"ECGFiveDays","svm"
"17","catch22",22,0.844367015098722,3,"ECGFiveDays","svm"
"18","feasts",37,0.843205574912892,3,"ECGFiveDays","svm"
"19","tsfeatures",59,0.894308943089431,3,"ECGFiveDays","svm"
"20","TSFEL",144,0.852497096399535,3,"ECGFiveDays","svm"
"21","Kats",35,0.879210220673635,3,"ECGFiveDays","svm"
"22","tsfresh",600,0.934959349593496,3,"ECGFiveDays","svm"
"23","quantiles",101,0.822299651567944,3,"ECGFiveDays","svm"
"24","FFT (Mag^2 + Angle) + quantiles",239,0.989547038327526,3,"ECGFiveDays","svm"
"25","catch22",22,0.833914053426249,4,"ECGFiveDays","svm"
"26","feasts",37,0.818815331010453,4,"ECGFiveDays","svm"
"27","tsfeatures",59,0.859465737514518,4,"ECGFiveDays","svm"
"28","TSFEL",144,0.857142857142857,4,"ECGFiveDays","svm"
"29","Kats",35,0.901277584204414,4,"ECGFiveDays","svm"
"30","tsfresh",599,0.950058072009291,4,"ECGFiveDays","svm"
"31","quantiles",101,0.699186991869919,4,"ECGFiveDays","svm"
"32","FFT (Mag^2 + Angle) + quantiles",239,0.975609756097561,4,"ECGFiveDays","svm"
"33","catch22",22,0.939605110336818,5,"ECGFiveDays","svm"
"34","feasts",38,0.861788617886179,5,"ECGFiveDays","svm"
"35","tsfeatures",59,0.904761904761905,5,"ECGFiveDays","svm"
"36","TSFEL",144,0.9198606271777,5,"ECGFiveDays","svm"
"37","Kats",35,0.91753774680604,5,"ECGFiveDays","svm"
"38","tsfresh",600,0.885017421602787,5,"ECGFiveDays","svm"
"39","quantiles",101,0.771196283391405,5,"ECGFiveDays","svm"
"40","FFT (Mag^2 + Angle) + quantiles",239,0.968641114982578,5,"ECGFiveDays","svm"
"41","catch22",22,0.70150987224158,6,"ECGFiveDays","svm"
"42","feasts",37,0.766550522648084,6,"ECGFiveDays","svm"
"43","tsfeatures",57,0.771196283391405,6,"ECGFiveDays","svm"
"44","TSFEL",144,0.738675958188153,6,"ECGFiveDays","svm"
"45","Kats",35,0.822299651567944,6,"ECGFiveDays","svm"
"46","tsfresh",599,0.817653890824623,6,"ECGFiveDays","svm"
"47","quantiles",101,0.774680603948897,6,"ECGFiveDays","svm"
"48","FFT (Mag^2 + Angle) + quantiles",239,0.861788617886179,6,"ECGFiveDays","svm"
"49","catch22",22,0.644599303135889,7,"ECGFiveDays","svm"
"50","feasts",37,0.902439024390244,7,"ECGFiveDays","svm"
"51","tsfeatures",59,0.843205574912892,7,"ECGFiveDays","svm"
"52","TSFEL",144,0.901277584204414,7,"ECGFiveDays","svm"
"53","Kats",35,0.932636469221835,7,"ECGFiveDays","svm"
"54","tsfresh",599,0.867595818815331,7,"ECGFiveDays","svm"
"55","quantiles",101,0.804878048780488,7,"ECGFiveDays","svm"
"56","FFT (Mag^2 + Angle) + quantiles",239,0.957026713124274,7,"ECGFiveDays","svm"
"57","catch22",22,0.880371660859466,8,"ECGFiveDays","svm"
"58","feasts",37,0.908246225319396,8,"ECGFiveDays","svm"
"59","tsfeatures",59,0.965156794425087,8,"ECGFiveDays","svm"
"60","TSFEL",144,0.951219512195122,8,"ECGFiveDays","svm"
"61","Kats",35,0.89082462253194,8,"ECGFiveDays","svm"
"62","tsfresh",600,0.991869918699187,8,"ECGFiveDays","svm"
"63","quantiles",101,0.789779326364692,8,"ECGFiveDays","svm"
"64","FFT (Mag^2 + Angle) + quantiles",239,0.996515679442509,8,"ECGFiveDays","svm"
"65","catch22",22,0.761904761904762,9,"ECGFiveDays","svm"
"66","feasts",37,0.850174216027875,9,"ECGFiveDays","svm"
"67","tsfeatures",59,0.813008130081301,9,"ECGFiveDays","svm"
"68","TSFEL",144,0.923344947735192,9,"ECGFiveDays","svm"
"69","Kats",35,0.895470383275261,9,"ECGFiveDays","svm"
"70","tsfresh",600,0.894308943089431,9,"ECGFiveDays","svm"
"71","quantiles",101,0.75609756097561,9,"ECGFiveDays","svm"
"72","FFT (Mag^2 + Angle) + quantiles",239,0.925667828106852,9,"ECGFiveDays","svm"
"73","catch22",22,0.681765389082462,10,"ECGFiveDays","svm"
"74","feasts",38,0.924506387921022,10,"ECGFiveDays","svm"
"75","tsfeatures",59,0.916376306620209,10,"ECGFiveDays","svm"
"76","TSFEL",144,0.91869918699187,10,"ECGFiveDays","svm"
"77","Kats",35,0.915214866434379,10,"ECGFiveDays","svm"
"78","tsfresh",600,0.968641114982578,10,"ECGFiveDays","svm"
"79","quantiles",101,0.721254355400697,10,"ECGFiveDays","svm"
"80","FFT (Mag^2 + Angle) + quantiles",239,0.979094076655052,10,"ECGFiveDays","svm"
"81","catch22",22,0.849012775842044,11,"ECGFiveDays","svm"
"82","feasts",36,0.866434378629501,11,"ECGFiveDays","svm"
"83","tsfeatures",59,0.875725900116144,11,"ECGFiveDays","svm"
"84","TSFEL",144,0.901277584204414,11,"ECGFiveDays","svm"
"85","Kats",35,0.887340301974448,11,"ECGFiveDays","svm"
"86","tsfresh",600,0.882694541231127,11,"ECGFiveDays","svm"
"87","quantiles",101,0.78281068524971,11,"ECGFiveDays","svm"
"88","FFT (Mag^2 + Angle) + quantiles",239,0.94541231126597,11,"ECGFiveDays","svm"
"89","catch22",21,0.779326364692218,12,"ECGFiveDays","svm"
"90","feasts",35,0.833914053426249,12,"ECGFiveDays","svm"
"91","tsfeatures",59,0.873403019744483,12,"ECGFiveDays","svm"
"92","TSFEL",144,0.86527293844367,12,"ECGFiveDays","svm"
"93","Kats",35,0.885017421602787,12,"ECGFiveDays","svm"
"94","tsfresh",600,0.911730545876887,12,"ECGFiveDays","svm"
"95","quantiles",101,0.823461091753775,12,"ECGFiveDays","svm"
"96","FFT (Mag^2 + Angle) + quantiles",239,0.869918699186992,12,"ECGFiveDays","svm"
"97","catch22",22,0.630662020905923,13,"ECGFiveDays","svm"
"98","feasts",39,0.710801393728223,13,"ECGFiveDays","svm"
"99","tsfeatures",59,0.835075493612079,13,"ECGFiveDays","svm"
"100","TSFEL",144,0.953542392566783,13,"ECGFiveDays","svm"
"101","Kats",35,0.909407665505226,13,"ECGFiveDays","svm"
"102","tsfresh",599,0.901277584204414,13,"ECGFiveDays","svm"
"103","quantiles",101,0.745644599303136,13,"ECGFiveDays","svm"
"104","FFT (Mag^2 + Angle) + quantiles",239,0.995354239256678,13,"ECGFiveDays","svm"
"105","catch22",22,0.646922183507549,14,"ECGFiveDays","svm"
"106","feasts",37,0.849012775842044,14,"ECGFiveDays","svm"
"107","tsfeatures",59,0.843205574912892,14,"ECGFiveDays","svm"
"108","TSFEL",144,0.94541231126597,14,"ECGFiveDays","svm"
"109","Kats",35,0.817653890824623,14,"ECGFiveDays","svm"
"110","tsfresh",600,0.871080139372822,14,"ECGFiveDays","svm"
"111","quantiles",101,0.793263646922184,14,"ECGFiveDays","svm"
"112","FFT (Mag^2 + Angle) + quantiles",239,0.898954703832753,14,"ECGFiveDays","svm"
"113","catch22",22,0.70383275261324,15,"ECGFiveDays","svm"
"114","feasts",39,0.860627177700348,15,"ECGFiveDays","svm"
"115","tsfeatures",59,0.874564459930314,15,"ECGFiveDays","svm"
"116","TSFEL",144,0.885017421602787,15,"ECGFiveDays","svm"
"117","Kats",35,0.889663182346109,15,"ECGFiveDays","svm"
"118","tsfresh",600,0.955865272938444,15,"ECGFiveDays","svm"
"119","quantiles",101,0.816492450638792,15,"ECGFiveDays","svm"
"120","FFT (Mag^2 + Angle) + quantiles",239,0.961672473867596,15,"ECGFiveDays","svm"
"121","catch22",22,0.70383275261324,16,"ECGFiveDays","svm"
"122","feasts",37,0.875725900116144,16,"ECGFiveDays","svm"
"123","tsfeatures",59,0.871080139372822,16,"ECGFiveDays","svm"
"124","TSFEL",144,0.923344947735192,16,"ECGFiveDays","svm"
"125","Kats",35,0.909407665505226,16,"ECGFiveDays","svm"
"126","tsfresh",599,0.967479674796748,16,"ECGFiveDays","svm"
