"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.863588110403397,1,"ElectricDeviceDetection","svm"
"feasts",36,0.816348195329087,1,"ElectricDeviceDetection","svm"
"tsfeatures",57,0.85536093418259,1,"ElectricDeviceDetection","svm"
"TSFEL",146,0.843683651804671,1,"ElectricDeviceDetection","svm"
"Kats",36,0.85031847133758,1,"ElectricDeviceDetection","svm"
"tsfresh",737,0.864384288747346,1,"ElectricDeviceDetection","svm"
"quantiles",101,0.858545647558386,1,"ElectricDeviceDetection","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.850053078556263,1,"ElectricDeviceDetection","svm"
"FFT coefficients",399,0.828821656050955,1,"ElectricDeviceDetection","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.837048832271762,1,"ElectricDeviceDetection","svm"
"FFT (Re, Im) + quantiles",300,0.789808917197452,1,"ElectricDeviceDetection","svm"
"FFT (Mag, Angle) + quantiles",301,0.826433121019108,1,"ElectricDeviceDetection","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.810509554140127,1,"ElectricDeviceDetection","svm"
"catch22",22,0.871549893842888,2,"ElectricDeviceDetection","svm"
"feasts",37,0.876592356687898,2,"ElectricDeviceDetection","svm"
"tsfeatures",57,0.873142250530786,2,"ElectricDeviceDetection","svm"
"TSFEL",146,0.873673036093418,2,"ElectricDeviceDetection","svm"
"Kats",35,0.867569002123142,2,"ElectricDeviceDetection","svm"
"tsfresh",738,0.83572186836518,2,"ElectricDeviceDetection","svm"
"quantiles",101,0.867303609341826,2,"ElectricDeviceDetection","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.81687898089172,2,"ElectricDeviceDetection","svm"
"FFT coefficients",399,0.818205944798301,2,"ElectricDeviceDetection","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.826698513800425,2,"ElectricDeviceDetection","svm"
"FFT (Re, Im) + quantiles",300,0.833333333333333,2,"ElectricDeviceDetection","svm"
"FFT (Mag, Angle) + quantiles",301,0.825106157112527,2,"ElectricDeviceDetection","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.832537154989384,2,"ElectricDeviceDetection","svm"
"catch22",22,0.878184713375796,3,"ElectricDeviceDetection","svm"
"feasts",38,0.880042462845011,3,"ElectricDeviceDetection","svm"
"tsfeatures",58,0.877388535031847,3,"ElectricDeviceDetection","svm"
"TSFEL",146,0.871019108280255,3,"ElectricDeviceDetection","svm"
"Kats",35,0.875796178343949,3,"ElectricDeviceDetection","svm"
"tsfresh",736,0.853237791932059,3,"ElectricDeviceDetection","svm"
"quantiles",101,0.867834394904459,3,"ElectricDeviceDetection","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.840764331210191,3,"ElectricDeviceDetection","svm"
"FFT coefficients",399,0.843152866242038,3,"ElectricDeviceDetection","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.843418259023355,3,"ElectricDeviceDetection","svm"
"FFT (Re, Im) + quantiles",300,0.855095541401274,3,"ElectricDeviceDetection","svm"
"FFT (Mag, Angle) + quantiles",301,0.83864118895966,3,"ElectricDeviceDetection","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.842887473460722,3,"ElectricDeviceDetection","svm"
"catch22",22,0.863588110403397,4,"ElectricDeviceDetection","svm"
"feasts",37,0.868365180467091,4,"ElectricDeviceDetection","svm"
"tsfeatures",57,0.880307855626327,4,"ElectricDeviceDetection","svm"
"TSFEL",146,0.865976645435244,4,"ElectricDeviceDetection","svm"
"Kats",35,0.880307855626327,4,"ElectricDeviceDetection","svm"
"tsfresh",736,0.832006369426752,4,"ElectricDeviceDetection","svm"
"quantiles",101,0.85828025477707,4,"ElectricDeviceDetection","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.806794055201699,4,"ElectricDeviceDetection","svm"
"FFT coefficients",399,0.81900212314225,4,"ElectricDeviceDetection","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.83067940552017,4,"ElectricDeviceDetection","svm"
"FFT (Re, Im) + quantiles",300,0.833864118895966,4,"ElectricDeviceDetection","svm"
"FFT (Mag, Angle) + quantiles",301,0.807590233545648,4,"ElectricDeviceDetection","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.811836518046709,4,"ElectricDeviceDetection","svm"
"catch22",22,0.875530785562633,5,"ElectricDeviceDetection","svm"
"feasts",39,0.878184713375796,5,"ElectricDeviceDetection","svm"
"tsfeatures",58,0.880573248407643,5,"ElectricDeviceDetection","svm"
"TSFEL",146,0.875,5,"ElectricDeviceDetection","svm"
"Kats",36,0.868365180467091,5,"ElectricDeviceDetection","svm"
"tsfresh",738,0.834394904458599,5,"ElectricDeviceDetection","svm"
"quantiles",101,0.873142250530786,5,"ElectricDeviceDetection","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.817144373673036,5,"ElectricDeviceDetection","svm"
"FFT coefficients",399,0.828025477707006,5,"ElectricDeviceDetection","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.831740976645435,5,"ElectricDeviceDetection","svm"
"FFT (Re, Im) + quantiles",300,0.851910828025478,5,"ElectricDeviceDetection","svm"
"FFT (Mag, Angle) + quantiles",301,0.824309978768577,5,"ElectricDeviceDetection","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.817940552016985,5,"ElectricDeviceDetection","svm"
"catch22",22,0.860668789808917,6,"ElectricDeviceDetection","svm"
"feasts",38,0.869692144373673,6,"ElectricDeviceDetection","svm"
"tsfeatures",59,0.870222929936306,6,"ElectricDeviceDetection","svm"
