"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",19,0.376,1,"EthanolLevel","svm"
"2","feasts",33,0.302,1,"EthanolLevel","svm"
"3","tsfeatures",58,0.328,1,"EthanolLevel","svm"
"4","TSFEL",142,0.356,1,"EthanolLevel","svm"
"5","Kats",35,0.336,1,"EthanolLevel","svm"
"6","tsfresh",727,0.518,1,"EthanolLevel","svm"
"7","quantiles",101,0.572,1,"EthanolLevel","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.542,1,"EthanolLevel","svm"
"9","catch22",19,0.416,2,"EthanolLevel","svm"
"10","feasts",33,0.336,2,"EthanolLevel","svm"
"11","tsfeatures",58,0.334,2,"EthanolLevel","svm"
"12","TSFEL",142,0.448,2,"EthanolLevel","svm"
"13","Kats",35,0.378,2,"EthanolLevel","svm"
"14","tsfresh",727,0.628,2,"EthanolLevel","svm"
"15","quantiles",101,0.646,2,"EthanolLevel","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.558,2,"EthanolLevel","svm"
"17","catch22",19,0.4,3,"EthanolLevel","svm"
"18","feasts",33,0.364,3,"EthanolLevel","svm"
"19","tsfeatures",58,0.352,3,"EthanolLevel","svm"
"20","TSFEL",142,0.444,3,"EthanolLevel","svm"
"21","Kats",35,0.376,3,"EthanolLevel","svm"
"22","tsfresh",727,0.578,3,"EthanolLevel","svm"
"23","quantiles",101,0.614,3,"EthanolLevel","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.504,3,"EthanolLevel","svm"
"25","catch22",19,0.408,4,"EthanolLevel","svm"
"26","feasts",33,0.35,4,"EthanolLevel","svm"
"27","tsfeatures",58,0.334,4,"EthanolLevel","svm"
"28","TSFEL",142,0.47,4,"EthanolLevel","svm"
"29","Kats",35,0.396,4,"EthanolLevel","svm"
"30","tsfresh",727,0.578,4,"EthanolLevel","svm"
"31","quantiles",101,0.654,4,"EthanolLevel","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.572,4,"EthanolLevel","svm"
"33","catch22",19,0.398,5,"EthanolLevel","svm"
"34","feasts",33,0.32,5,"EthanolLevel","svm"
"35","tsfeatures",58,0.316,5,"EthanolLevel","svm"
"36","TSFEL",142,0.442,5,"EthanolLevel","svm"
"37","Kats",35,0.37,5,"EthanolLevel","svm"
"38","tsfresh",728,0.606,5,"EthanolLevel","svm"
"39","quantiles",101,0.616,5,"EthanolLevel","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.552,5,"EthanolLevel","svm"
"41","catch22",19,0.406,6,"EthanolLevel","svm"
"42","feasts",33,0.382,6,"EthanolLevel","svm"
"43","tsfeatures",58,0.332,6,"EthanolLevel","svm"
"44","TSFEL",142,0.43,6,"EthanolLevel","svm"
"45","Kats",35,0.366,6,"EthanolLevel","svm"
"46","tsfresh",728,0.602,6,"EthanolLevel","svm"
"47","quantiles",101,0.626,6,"EthanolLevel","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.592,6,"EthanolLevel","svm"
"49","catch22",19,0.394,7,"EthanolLevel","svm"
"50","feasts",33,0.362,7,"EthanolLevel","svm"
"51","tsfeatures",58,0.33,7,"EthanolLevel","svm"
"52","TSFEL",142,0.424,7,"EthanolLevel","svm"
"53","Kats",35,0.354,7,"EthanolLevel","svm"
"54","tsfresh",728,0.564,7,"EthanolLevel","svm"
"55","quantiles",101,0.592,7,"EthanolLevel","svm"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.568,7,"EthanolLevel","svm"
"57","catch22",19,0.418,8,"EthanolLevel","svm"
"58","feasts",33,0.358,8,"EthanolLevel","svm"
"59","tsfeatures",58,0.336,8,"EthanolLevel","svm"
"60","TSFEL",142,0.49,8,"EthanolLevel","svm"
"61","Kats",35,0.436,8,"EthanolLevel","svm"
"62","tsfresh",727,0.602,8,"EthanolLevel","svm"
"63","quantiles",101,0.652,8,"EthanolLevel","svm"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.532,8,"EthanolLevel","svm"
"65","catch22",19,0.402,9,"EthanolLevel","svm"
"66","feasts",33,0.326,9,"EthanolLevel","svm"
"67","tsfeatures",58,0.34,9,"EthanolLevel","svm"
"68","TSFEL",142,0.402,9,"EthanolLevel","svm"
"69","Kats",35,0.39,9,"EthanolLevel","svm"
"70","tsfresh",728,0.576,9,"EthanolLevel","svm"
"71","quantiles",101,0.636,9,"EthanolLevel","svm"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.526,9,"EthanolLevel","svm"
"73","catch22",19,0.382,10,"EthanolLevel","svm"
"74","feasts",33,0.342,10,"EthanolLevel","svm"
"75","tsfeatures",58,0.35,10,"EthanolLevel","svm"
"76","TSFEL",142,0.422,10,"EthanolLevel","svm"
"77","Kats",35,0.424,10,"EthanolLevel","svm"
"78","tsfresh",728,0.608,10,"EthanolLevel","svm"
"79","quantiles",101,0.62,10,"EthanolLevel","svm"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.58,10,"EthanolLevel","svm"
"81","catch22",19,0.406,11,"EthanolLevel","svm"
"82","feasts",33,0.35,11,"EthanolLevel","svm"
"83","tsfeatures",58,0.34,11,"EthanolLevel","svm"
"84","TSFEL",142,0.432,11,"EthanolLevel","svm"
"85","Kats",35,0.414,11,"EthanolLevel","svm"
