"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.715909090909091,1,"FaceFour","svm"
"2","feasts",37,0.556818181818182,1,"FaceFour","svm"
"3","tsfeatures",59,0.75,1,"FaceFour","svm"
"4","TSFEL",143,0.704545454545455,1,"FaceFour","svm"
"5","Kats",36,0.681818181818182,1,"FaceFour","svm"
"6","tsfresh",729,0.875,1,"FaceFour","svm"
"7","quantiles",101,0.761363636363636,1,"FaceFour","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.738636363636364,1,"FaceFour","svm"
"9","catch22",22,0.636363636363636,2,"FaceFour","svm"
"10","feasts",36,0.647727272727273,2,"FaceFour","svm"
"11","tsfeatures",59,0.670454545454545,2,"FaceFour","svm"
"12","TSFEL",143,0.704545454545455,2,"FaceFour","svm"
"13","Kats",36,0.534090909090909,2,"FaceFour","svm"
"14","tsfresh",728,0.693181818181818,2,"FaceFour","svm"
"15","quantiles",101,0.75,2,"FaceFour","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.670454545454545,2,"FaceFour","svm"
"17","catch22",22,0.659090909090909,3,"FaceFour","svm"
"18","feasts",37,0.556818181818182,3,"FaceFour","svm"
"19","tsfeatures",59,0.738636363636364,3,"FaceFour","svm"
"20","TSFEL",143,0.784090909090909,3,"FaceFour","svm"
"21","Kats",36,0.613636363636364,3,"FaceFour","svm"
"22","tsfresh",728,0.806818181818182,3,"FaceFour","svm"
"23","quantiles",101,0.715909090909091,3,"FaceFour","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.806818181818182,3,"FaceFour","svm"
"25","catch22",22,0.75,4,"FaceFour","svm"
"26","feasts",36,0.738636363636364,4,"FaceFour","svm"
"27","tsfeatures",59,0.738636363636364,4,"FaceFour","svm"
"28","TSFEL",143,0.795454545454545,4,"FaceFour","svm"
"29","Kats",36,0.715909090909091,4,"FaceFour","svm"
"30","tsfresh",728,0.818181818181818,4,"FaceFour","svm"
"31","quantiles",101,0.806818181818182,4,"FaceFour","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.772727272727273,4,"FaceFour","svm"
"33","catch22",22,0.670454545454545,5,"FaceFour","svm"
"34","feasts",37,0.613636363636364,5,"FaceFour","svm"
"35","tsfeatures",59,0.670454545454545,5,"FaceFour","svm"
"36","TSFEL",143,0.738636363636364,5,"FaceFour","svm"
"37","Kats",36,0.659090909090909,5,"FaceFour","svm"
"38","tsfresh",727,0.806818181818182,5,"FaceFour","svm"
"39","quantiles",101,0.715909090909091,5,"FaceFour","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.704545454545455,5,"FaceFour","svm"
