"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.930348258706468,1,"FloodModeling2","svm"
"feasts",38,0.900497512437811,1,"FloodModeling2","svm"
"tsfeatures",59,0.90547263681592,1,"FloodModeling2","svm"
"TSFEL",145,0.885572139303483,1,"FloodModeling2","svm"
"Kats",35,0.930348258706468,1,"FloodModeling2","svm"
"tsfresh",728,0.885572139303483,1,"FloodModeling2","svm"
"quantiles",101,0.925373134328358,1,"FloodModeling2","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.840796019900497,1,"FloodModeling2","svm"
"FFT coefficients",399,0.791044776119403,1,"FloodModeling2","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.830845771144279,1,"FloodModeling2","svm"
"FFT (Re, Im) + quantiles",300,0.81592039800995,1,"FloodModeling2","svm"
"FFT (Mag, Angle) + quantiles",301,0.855721393034826,1,"FloodModeling2","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.835820895522388,1,"FloodModeling2","svm"
"catch22",22,0.930348258706468,2,"FloodModeling2","svm"
"feasts",39,0.925373134328358,2,"FloodModeling2","svm"
"tsfeatures",59,0.925373134328358,2,"FloodModeling2","svm"
"TSFEL",145,0.870646766169154,2,"FloodModeling2","svm"
"Kats",35,0.920398009950249,2,"FloodModeling2","svm"
"tsfresh",728,0.870646766169154,2,"FloodModeling2","svm"
"quantiles",101,0.925373134328358,2,"FloodModeling2","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.835820895522388,2,"FloodModeling2","svm"
"FFT coefficients",399,0.840796019900497,2,"FloodModeling2","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.875621890547264,2,"FloodModeling2","svm"
"FFT (Re, Im) + quantiles",300,0.810945273631841,2,"FloodModeling2","svm"
"FFT (Mag, Angle) + quantiles",301,0.835820895522388,2,"FloodModeling2","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.865671641791045,2,"FloodModeling2","svm"
"catch22",22,0.925373134328358,3,"FloodModeling2","svm"
"feasts",38,0.91044776119403,3,"FloodModeling2","svm"
"tsfeatures",59,0.890547263681592,3,"FloodModeling2","svm"
"TSFEL",145,0.890547263681592,3,"FloodModeling2","svm"
"Kats",35,0.935323383084577,3,"FloodModeling2","svm"
"tsfresh",728,0.885572139303483,3,"FloodModeling2","svm"
"quantiles",101,0.925373134328358,3,"FloodModeling2","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.840796019900497,3,"FloodModeling2","svm"
"FFT coefficients",399,0.81592039800995,3,"FloodModeling2","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.810945273631841,3,"FloodModeling2","svm"
"FFT (Re, Im) + quantiles",300,0.810945273631841,3,"FloodModeling2","svm"
"FFT (Mag, Angle) + quantiles",301,0.855721393034826,3,"FloodModeling2","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.850746268656716,3,"FloodModeling2","svm"
"catch22",22,0.935323383084577,4,"FloodModeling2","svm"
"feasts",38,0.930348258706468,4,"FloodModeling2","svm"
"tsfeatures",59,0.900497512437811,4,"FloodModeling2","svm"
"TSFEL",145,0.895522388059702,4,"FloodModeling2","svm"
"Kats",35,0.945273631840796,4,"FloodModeling2","svm"
"tsfresh",728,0.890547263681592,4,"FloodModeling2","svm"
"quantiles",101,0.925373134328358,4,"FloodModeling2","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.825870646766169,4,"FloodModeling2","svm"
"FFT coefficients",399,0.860696517412935,4,"FloodModeling2","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.900497512437811,4,"FloodModeling2","svm"
"FFT (Re, Im) + quantiles",300,0.796019900497512,4,"FloodModeling2","svm"
"FFT (Mag, Angle) + quantiles",301,0.81592039800995,4,"FloodModeling2","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.82089552238806,4,"FloodModeling2","svm"
"catch22",22,0.925373134328358,5,"FloodModeling2","svm"
"feasts",39,0.920398009950249,5,"FloodModeling2","svm"
"tsfeatures",59,0.90547263681592,5,"FloodModeling2","svm"
"TSFEL",145,0.880597014925373,5,"FloodModeling2","svm"
"Kats",35,0.935323383084577,5,"FloodModeling2","svm"
"tsfresh",727,0.885572139303483,5,"FloodModeling2","svm"
"quantiles",101,0.925373134328358,5,"FloodModeling2","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.850746268656716,5,"FloodModeling2","svm"
"FFT coefficients",399,0.840796019900497,5,"FloodModeling2","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.875621890547264,5,"FloodModeling2","svm"
"FFT (Re, Im) + quantiles",300,0.800995024875622,5,"FloodModeling2","svm"
"FFT (Mag, Angle) + quantiles",301,0.835820895522388,5,"FloodModeling2","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.840796019900497,5,"FloodModeling2","svm"
"catch22",22,0.930348258706468,6,"FloodModeling2","svm"
"feasts",38,0.925373134328358,6,"FloodModeling2","svm"
"tsfeatures",59,0.940298507462687,6,"FloodModeling2","svm"
"TSFEL",145,0.895522388059702,6,"FloodModeling2","svm"
"Kats",35,0.930348258706468,6,"FloodModeling2","svm"
"tsfresh",727,0.915422885572139,6,"FloodModeling2","svm"
"quantiles",101,0.925373134328358,6,"FloodModeling2","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.845771144278607,6,"FloodModeling2","svm"
"FFT coefficients",399,0.825870646766169,6,"FloodModeling2","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.895522388059702,6,"FloodModeling2","svm"
"FFT (Re, Im) + quantiles",300,0.835820895522388,6,"FloodModeling2","svm"
"FFT (Mag, Angle) + quantiles",301,0.830845771144279,6,"FloodModeling2","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.825870646766169,6,"FloodModeling2","svm"
"catch22",22,0.915422885572139,7,"FloodModeling2","svm"
"feasts",38,0.915422885572139,7,"FloodModeling2","svm"
"tsfeatures",59,0.920398009950249,7,"FloodModeling2","svm"
"TSFEL",145,0.900497512437811,7,"FloodModeling2","svm"
"Kats",35,0.915422885572139,7,"FloodModeling2","svm"
"tsfresh",728,0.875621890547264,7,"FloodModeling2","svm"
"quantiles",101,0.925373134328358,7,"FloodModeling2","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.850746268656716,7,"FloodModeling2","svm"
"FFT coefficients",399,0.830845771144279,7,"FloodModeling2","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.850746268656716,7,"FloodModeling2","svm"
"FFT (Re, Im) + quantiles",300,0.840796019900497,7,"FloodModeling2","svm"
"FFT (Mag, Angle) + quantiles",301,0.845771144278607,7,"FloodModeling2","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.855721393034826,7,"FloodModeling2","svm"
"catch22",22,0.915422885572139,8,"FloodModeling2","svm"
"feasts",39,0.900497512437811,8,"FloodModeling2","svm"
"tsfeatures",59,0.885572139303483,8,"FloodModeling2","svm"
"TSFEL",145,0.880597014925373,8,"FloodModeling2","svm"
"Kats",35,0.920398009950249,8,"FloodModeling2","svm"
"tsfresh",728,0.900497512437811,8,"FloodModeling2","svm"
"quantiles",101,0.925373134328358,8,"FloodModeling2","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.870646766169154,8,"FloodModeling2","svm"
"FFT coefficients",399,0.82089552238806,8,"FloodModeling2","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.865671641791045,8,"FloodModeling2","svm"
"FFT (Re, Im) + quantiles",300,0.825870646766169,8,"FloodModeling2","svm"
"FFT (Mag, Angle) + quantiles",301,0.880597014925373,8,"FloodModeling2","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.865671641791045,8,"FloodModeling2","svm"
"catch22",22,0.925373134328358,9,"FloodModeling2","svm"
"feasts",38,0.935323383084577,9,"FloodModeling2","svm"
"tsfeatures",59,0.890547263681592,9,"FloodModeling2","svm"
"TSFEL",145,0.900497512437811,9,"FloodModeling2","svm"
"Kats",35,0.930348258706468,9,"FloodModeling2","svm"
"tsfresh",727,0.900497512437811,9,"FloodModeling2","svm"
"quantiles",101,0.925373134328358,9,"FloodModeling2","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.875621890547264,9,"FloodModeling2","svm"
"FFT coefficients",399,0.865671641791045,9,"FloodModeling2","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.880597014925373,9,"FloodModeling2","svm"
"FFT (Re, Im) + quantiles",300,0.850746268656716,9,"FloodModeling2","svm"
"FFT (Mag, Angle) + quantiles",301,0.880597014925373,9,"FloodModeling2","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.885572139303483,9,"FloodModeling2","svm"
"catch22",22,0.930348258706468,10,"FloodModeling2","svm"
"feasts",38,0.925373134328358,10,"FloodModeling2","svm"
"tsfeatures",59,0.900497512437811,10,"FloodModeling2","svm"
"TSFEL",145,0.915422885572139,10,"FloodModeling2","svm"
"Kats",35,0.940298507462687,10,"FloodModeling2","svm"
"tsfresh",728,0.915422885572139,10,"FloodModeling2","svm"
"quantiles",101,0.925373134328358,10,"FloodModeling2","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.855721393034826,10,"FloodModeling2","svm"
"FFT coefficients",399,0.855721393034826,10,"FloodModeling2","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.885572139303483,10,"FloodModeling2","svm"
"FFT (Re, Im) + quantiles",300,0.865671641791045,10,"FloodModeling2","svm"
"FFT (Mag, Angle) + quantiles",301,0.81592039800995,10,"FloodModeling2","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.850746268656716,10,"FloodModeling2","svm"
"catch22",22,0.925373134328358,11,"FloodModeling2","svm"
