"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.695652173913043,1,"FloodModeling3","svm"
"2","feasts",38,0.695652173913043,1,"FloodModeling3","svm"
"3","tsfeatures",59,0.717391304347826,1,"FloodModeling3","svm"
"4","TSFEL",145,0.684782608695652,1,"FloodModeling3","svm"
"5","Kats",35,0.684782608695652,1,"FloodModeling3","svm"
"6","tsfresh",727,0.646739130434783,1,"FloodModeling3","svm"
"7","quantiles",101,0.684782608695652,1,"FloodModeling3","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.58695652173913,1,"FloodModeling3","svm"
"9","catch22",22,0.684782608695652,2,"FloodModeling3","svm"
"10","feasts",38,0.701086956521739,2,"FloodModeling3","svm"
"11","tsfeatures",59,0.722826086956522,2,"FloodModeling3","svm"
"12","TSFEL",145,0.679347826086957,2,"FloodModeling3","svm"
"13","Kats",35,0.679347826086957,2,"FloodModeling3","svm"
"14","tsfresh",727,0.728260869565217,2,"FloodModeling3","svm"
"15","quantiles",101,0.684782608695652,2,"FloodModeling3","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.646739130434783,2,"FloodModeling3","svm"
"17","catch22",22,0.717391304347826,3,"FloodModeling3","svm"
"18","feasts",38,0.717391304347826,3,"FloodModeling3","svm"
"19","tsfeatures",59,0.739130434782609,3,"FloodModeling3","svm"
"20","TSFEL",145,0.75,3,"FloodModeling3","svm"
"21","Kats",35,0.717391304347826,3,"FloodModeling3","svm"
"22","tsfresh",727,0.690217391304348,3,"FloodModeling3","svm"
"23","quantiles",101,0.684782608695652,3,"FloodModeling3","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.646739130434783,3,"FloodModeling3","svm"
"25","catch22",22,0.722826086956522,4,"FloodModeling3","svm"
"26","feasts",38,0.766304347826087,4,"FloodModeling3","svm"
"27","tsfeatures",59,0.722826086956522,4,"FloodModeling3","svm"
"28","TSFEL",143,0.668478260869565,4,"FloodModeling3","svm"
"29","Kats",35,0.75,4,"FloodModeling3","svm"
"30","tsfresh",727,0.635869565217391,4,"FloodModeling3","svm"
"31","quantiles",101,0.684782608695652,4,"FloodModeling3","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.625,4,"FloodModeling3","svm"
"33","catch22",22,0.668478260869565,5,"FloodModeling3","svm"
"34","feasts",38,0.701086956521739,5,"FloodModeling3","svm"
"35","tsfeatures",59,0.668478260869565,5,"FloodModeling3","svm"
"36","TSFEL",143,0.706521739130435,5,"FloodModeling3","svm"
"37","Kats",35,0.668478260869565,5,"FloodModeling3","svm"
"38","tsfresh",727,0.744565217391304,5,"FloodModeling3","svm"
"39","quantiles",101,0.668478260869565,5,"FloodModeling3","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.619565217391304,5,"FloodModeling3","svm"
"41","catch22",22,0.733695652173913,6,"FloodModeling3","svm"
"42","feasts",38,0.722826086956522,6,"FloodModeling3","svm"
"43","tsfeatures",59,0.701086956521739,6,"FloodModeling3","svm"
"44","TSFEL",143,0.695652173913043,6,"FloodModeling3","svm"
"45","Kats",35,0.701086956521739,6,"FloodModeling3","svm"
"46","tsfresh",727,0.679347826086957,6,"FloodModeling3","svm"
"47","quantiles",101,0.684782608695652,6,"FloodModeling3","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.597826086956522,6,"FloodModeling3","svm"
"49","catch22",22,0.71195652173913,7,"FloodModeling3","svm"
"50","feasts",38,0.717391304347826,7,"FloodModeling3","svm"
"51","tsfeatures",59,0.701086956521739,7,"FloodModeling3","svm"
"52","TSFEL",145,0.695652173913043,7,"FloodModeling3","svm"
"53","Kats",36,0.668478260869565,7,"FloodModeling3","svm"
"54","tsfresh",727,0.722826086956522,7,"FloodModeling3","svm"
"55","quantiles",101,0.684782608695652,7,"FloodModeling3","svm"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.673913043478261,7,"FloodModeling3","svm"
"57","catch22",22,0.695652173913043,8,"FloodModeling3","svm"
"58","feasts",38,0.733695652173913,8,"FloodModeling3","svm"
"59","tsfeatures",59,0.701086956521739,8,"FloodModeling3","svm"
"60","TSFEL",143,0.722826086956522,8,"FloodModeling3","svm"
"61","Kats",35,0.71195652173913,8,"FloodModeling3","svm"
"62","tsfresh",726,0.66304347826087,8,"FloodModeling3","svm"
"63","quantiles",101,0.684782608695652,8,"FloodModeling3","svm"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.673913043478261,8,"FloodModeling3","svm"
"65","catch22",22,0.717391304347826,9,"FloodModeling3","svm"
"66","feasts",38,0.684782608695652,9,"FloodModeling3","svm"
"67","tsfeatures",59,0.701086956521739,9,"FloodModeling3","svm"
"68","TSFEL",143,0.684782608695652,9,"FloodModeling3","svm"
"69","Kats",35,0.695652173913043,9,"FloodModeling3","svm"
"70","tsfresh",726,0.668478260869565,9,"FloodModeling3","svm"
"71","quantiles",101,0.684782608695652,9,"FloodModeling3","svm"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.625,9,"FloodModeling3","svm"
"73","catch22",22,0.701086956521739,10,"FloodModeling3","svm"
"74","feasts",38,0.733695652173913,10,"FloodModeling3","svm"
"75","tsfeatures",59,0.717391304347826,10,"FloodModeling3","svm"
"76","TSFEL",145,0.717391304347826,10,"FloodModeling3","svm"
"77","Kats",35,0.706521739130435,10,"FloodModeling3","svm"
"78","tsfresh",726,0.695652173913043,10,"FloodModeling3","svm"
"79","quantiles",101,0.684782608695652,10,"FloodModeling3","svm"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.635869565217391,10,"FloodModeling3","svm"
"81","catch22",22,0.684782608695652,11,"FloodModeling3","svm"
"82","feasts",38,0.728260869565217,11,"FloodModeling3","svm"
"83","tsfeatures",59,0.722826086956522,11,"FloodModeling3","svm"
"84","TSFEL",143,0.744565217391304,11,"FloodModeling3","svm"
"85","Kats",35,0.701086956521739,11,"FloodModeling3","svm"
"86","tsfresh",727,0.641304347826087,11,"FloodModeling3","svm"
"87","quantiles",101,0.684782608695652,11,"FloodModeling3","svm"
"88","FFT (Mag^2 + Angle) + quantiles",301,0.652173913043478,11,"FloodModeling3","svm"
"89","catch22",22,0.695652173913043,12,"FloodModeling3","svm"
"90","feasts",38,0.717391304347826,12,"FloodModeling3","svm"
"91","tsfeatures",59,0.722826086956522,12,"FloodModeling3","svm"
"92","TSFEL",145,0.690217391304348,12,"FloodModeling3","svm"
"93","Kats",36,0.695652173913043,12,"FloodModeling3","svm"
"94","tsfresh",727,0.641304347826087,12,"FloodModeling3","svm"
"95","quantiles",101,0.684782608695652,12,"FloodModeling3","svm"
"96","FFT (Mag^2 + Angle) + quantiles",301,0.695652173913043,12,"FloodModeling3","svm"
"97","catch22",22,0.701086956521739,13,"FloodModeling3","svm"
"98","feasts",38,0.706521739130435,13,"FloodModeling3","svm"
"99","tsfeatures",59,0.739130434782609,13,"FloodModeling3","svm"
"100","TSFEL",145,0.706521739130435,13,"FloodModeling3","svm"
"101","Kats",35,0.701086956521739,13,"FloodModeling3","svm"
"102","tsfresh",727,0.684782608695652,13,"FloodModeling3","svm"
"103","quantiles",101,0.684782608695652,13,"FloodModeling3","svm"
"104","FFT (Mag^2 + Angle) + quantiles",301,0.657608695652174,13,"FloodModeling3","svm"
"105","catch22",22,0.722826086956522,14,"FloodModeling3","svm"
"106","feasts",38,0.706521739130435,14,"FloodModeling3","svm"
"107","tsfeatures",59,0.755434782608696,14,"FloodModeling3","svm"
"108","TSFEL",145,0.701086956521739,14,"FloodModeling3","svm"
"109","Kats",36,0.706521739130435,14,"FloodModeling3","svm"
"110","tsfresh",727,0.701086956521739,14,"FloodModeling3","svm"
"111","quantiles",101,0.684782608695652,14,"FloodModeling3","svm"
"112","FFT (Mag^2 + Angle) + quantiles",301,0.641304347826087,14,"FloodModeling3","svm"
"113","catch22",22,0.690217391304348,15,"FloodModeling3","svm"
"114","feasts",38,0.706521739130435,15,"FloodModeling3","svm"
"115","tsfeatures",59,0.673913043478261,15,"FloodModeling3","svm"
"116","TSFEL",143,0.690217391304348,15,"FloodModeling3","svm"
"117","Kats",36,0.684782608695652,15,"FloodModeling3","svm"
"118","tsfresh",727,0.646739130434783,15,"FloodModeling3","svm"
"119","quantiles",101,0.684782608695652,15,"FloodModeling3","svm"
"120","FFT (Mag^2 + Angle) + quantiles",301,0.58695652173913,15,"FloodModeling3","svm"
"121","catch22",22,0.701086956521739,16,"FloodModeling3","svm"
"122","feasts",38,0.717391304347826,16,"FloodModeling3","svm"
"123","tsfeatures",59,0.717391304347826,16,"FloodModeling3","svm"
"124","TSFEL",145,0.71195652173913,16,"FloodModeling3","svm"
"125","Kats",35,0.706521739130435,16,"FloodModeling3","svm"
"126","tsfresh",726,0.652173913043478,16,"FloodModeling3","svm"
"127","quantiles",101,0.684782608695652,16,"FloodModeling3","svm"
"128","FFT (Mag^2 + Angle) + quantiles",301,0.646739130434783,16,"FloodModeling3","svm"
"129","catch22",22,0.717391304347826,17,"FloodModeling3","svm"
"130","feasts",38,0.733695652173913,17,"FloodModeling3","svm"
"131","tsfeatures",59,0.706521739130435,17,"FloodModeling3","svm"
"132","TSFEL",143,0.673913043478261,17,"FloodModeling3","svm"
"133","Kats",36,0.706521739130435,17,"FloodModeling3","svm"
"134","tsfresh",727,0.695652173913043,17,"FloodModeling3","svm"
"135","quantiles",101,0.684782608695652,17,"FloodModeling3","svm"
"136","FFT (Mag^2 + Angle) + quantiles",301,0.646739130434783,17,"FloodModeling3","svm"
"137","catch22",22,0.701086956521739,18,"FloodModeling3","svm"
"138","feasts",38,0.744565217391304,18,"FloodModeling3","svm"
"139","tsfeatures",59,0.717391304347826,18,"FloodModeling3","svm"
"140","TSFEL",145,0.701086956521739,18,"FloodModeling3","svm"
"141","Kats",35,0.717391304347826,18,"FloodModeling3","svm"
"142","tsfresh",726,0.668478260869565,18,"FloodModeling3","svm"
"143","quantiles",101,0.684782608695652,18,"FloodModeling3","svm"
"144","FFT (Mag^2 + Angle) + quantiles",301,0.619565217391304,18,"FloodModeling3","svm"
"145","catch22",22,0.722826086956522,19,"FloodModeling3","svm"
"146","feasts",38,0.755434782608696,19,"FloodModeling3","svm"
"147","tsfeatures",59,0.739130434782609,19,"FloodModeling3","svm"
"148","TSFEL",143,0.722826086956522,19,"FloodModeling3","svm"
"149","Kats",36,0.690217391304348,19,"FloodModeling3","svm"
"150","tsfresh",727,0.673913043478261,19,"FloodModeling3","svm"
"151","quantiles",101,0.684782608695652,19,"FloodModeling3","svm"
"152","FFT (Mag^2 + Angle) + quantiles",301,0.635869565217391,19,"FloodModeling3","svm"
"153","catch22",22,0.684782608695652,20,"FloodModeling3","svm"
"154","feasts",38,0.717391304347826,20,"FloodModeling3","svm"
"155","tsfeatures",59,0.739130434782609,20,"FloodModeling3","svm"
"156","TSFEL",145,0.695652173913043,20,"FloodModeling3","svm"
"157","Kats",35,0.722826086956522,20,"FloodModeling3","svm"
"158","tsfresh",727,0.706521739130435,20,"FloodModeling3","svm"
"159","quantiles",101,0.684782608695652,20,"FloodModeling3","svm"
"160","FFT (Mag^2 + Angle) + quantiles",301,0.641304347826087,20,"FloodModeling3","svm"
"161","catch22",22,0.679347826086957,21,"FloodModeling3","svm"
"162","feasts",38,0.722826086956522,21,"FloodModeling3","svm"
"163","tsfeatures",59,0.722826086956522,21,"FloodModeling3","svm"
"164","TSFEL",143,0.701086956521739,21,"FloodModeling3","svm"
"165","Kats",36,0.706521739130435,21,"FloodModeling3","svm"
"166","tsfresh",727,0.728260869565217,21,"FloodModeling3","svm"
"167","quantiles",101,0.684782608695652,21,"FloodModeling3","svm"
"168","FFT (Mag^2 + Angle) + quantiles",301,0.635869565217391,21,"FloodModeling3","svm"
"169","catch22",22,0.728260869565217,22,"FloodModeling3","svm"
"170","feasts",38,0.75,22,"FloodModeling3","svm"
"171","tsfeatures",59,0.755434782608696,22,"FloodModeling3","svm"
"172","TSFEL",143,0.706521739130435,22,"FloodModeling3","svm"
"173","Kats",36,0.701086956521739,22,"FloodModeling3","svm"
"174","tsfresh",727,0.679347826086957,22,"FloodModeling3","svm"
"175","quantiles",101,0.684782608695652,22,"FloodModeling3","svm"
"176","FFT (Mag^2 + Angle) + quantiles",301,0.597826086956522,22,"FloodModeling3","svm"
"177","catch22",22,0.684782608695652,23,"FloodModeling3","svm"
"178","feasts",38,0.739130434782609,23,"FloodModeling3","svm"
"179","tsfeatures",59,0.728260869565217,23,"FloodModeling3","svm"
"180","TSFEL",143,0.706521739130435,23,"FloodModeling3","svm"
"181","Kats",36,0.706521739130435,23,"FloodModeling3","svm"
"182","tsfresh",726,0.706521739130435,23,"FloodModeling3","svm"
"183","quantiles",101,0.684782608695652,23,"FloodModeling3","svm"
"184","FFT (Mag^2 + Angle) + quantiles",301,0.657608695652174,23,"FloodModeling3","svm"
"185","catch22",22,0.684782608695652,24,"FloodModeling3","svm"
"186","feasts",38,0.695652173913043,24,"FloodModeling3","svm"
"187","tsfeatures",59,0.728260869565217,24,"FloodModeling3","svm"
"188","TSFEL",143,0.690217391304348,24,"FloodModeling3","svm"
"189","Kats",35,0.679347826086957,24,"FloodModeling3","svm"
"190","tsfresh",727,0.684782608695652,24,"FloodModeling3","svm"
"191","quantiles",101,0.684782608695652,24,"FloodModeling3","svm"
"192","FFT (Mag^2 + Angle) + quantiles",301,0.652173913043478,24,"FloodModeling3","svm"
"193","catch22",22,0.717391304347826,25,"FloodModeling3","svm"
"194","feasts",38,0.695652173913043,25,"FloodModeling3","svm"
"195","tsfeatures",59,0.679347826086957,25,"FloodModeling3","svm"
"196","TSFEL",145,0.646739130434783,25,"FloodModeling3","svm"
"197","Kats",36,0.673913043478261,25,"FloodModeling3","svm"
"198","tsfresh",727,0.657608695652174,25,"FloodModeling3","svm"
"199","quantiles",101,0.684782608695652,25,"FloodModeling3","svm"
"200","FFT (Mag^2 + Angle) + quantiles",301,0.576086956521739,25,"FloodModeling3","svm"
"201","catch22",22,0.733695652173913,26,"FloodModeling3","svm"
"202","feasts",38,0.706521739130435,26,"FloodModeling3","svm"
"203","tsfeatures",59,0.717391304347826,26,"FloodModeling3","svm"
"204","TSFEL",145,0.684782608695652,26,"FloodModeling3","svm"
"205","Kats",36,0.668478260869565,26,"FloodModeling3","svm"
