"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.946031746031746,1,"GunPointOldVersusYoung","svm"
"2","feasts",36,0.936507936507937,1,"GunPointOldVersusYoung","svm"
"3","tsfeatures",59,0.965079365079365,1,"GunPointOldVersusYoung","svm"
"4","TSFEL",142,0.946031746031746,1,"GunPointOldVersusYoung","svm"
"5","Kats",36,0.923809523809524,1,"GunPointOldVersusYoung","svm"
"6","tsfresh",640,0.955555555555556,1,"GunPointOldVersusYoung","svm"
"7","quantiles",101,0.844444444444444,1,"GunPointOldVersusYoung","svm"
"8","FFT (Mag^2 + Angle) + quantiles",253,0.752380952380952,1,"GunPointOldVersusYoung","svm"
"9","catch22",22,0.926984126984127,2,"GunPointOldVersusYoung","svm"
"10","feasts",36,0.974603174603175,2,"GunPointOldVersusYoung","svm"
"11","tsfeatures",59,0.968253968253968,2,"GunPointOldVersusYoung","svm"
"12","TSFEL",143,0.971428571428571,2,"GunPointOldVersusYoung","svm"
"13","Kats",36,0.923809523809524,2,"GunPointOldVersusYoung","svm"
"14","tsfresh",637,0.977777777777778,2,"GunPointOldVersusYoung","svm"
"15","quantiles",101,0.834920634920635,2,"GunPointOldVersusYoung","svm"
"16","FFT (Mag^2 + Angle) + quantiles",253,0.733333333333333,2,"GunPointOldVersusYoung","svm"
"17","catch22",22,0.961904761904762,3,"GunPointOldVersusYoung","svm"
"18","feasts",36,0.961904761904762,3,"GunPointOldVersusYoung","svm"
"19","tsfeatures",59,0.974603174603175,3,"GunPointOldVersusYoung","svm"
"20","TSFEL",143,0.968253968253968,3,"GunPointOldVersusYoung","svm"
"21","Kats",36,0.946031746031746,3,"GunPointOldVersusYoung","svm"
"22","tsfresh",640,0.965079365079365,3,"GunPointOldVersusYoung","svm"
"23","quantiles",101,0.828571428571429,3,"GunPointOldVersusYoung","svm"
"24","FFT (Mag^2 + Angle) + quantiles",253,0.780952380952381,3,"GunPointOldVersusYoung","svm"
"25","catch22",22,0.926984126984127,4,"GunPointOldVersusYoung","svm"
"26","feasts",36,0.961904761904762,4,"GunPointOldVersusYoung","svm"
"27","tsfeatures",59,0.977777777777778,4,"GunPointOldVersusYoung","svm"
"28","TSFEL",142,0.965079365079365,4,"GunPointOldVersusYoung","svm"
"29","Kats",36,0.93968253968254,4,"GunPointOldVersusYoung","svm"
"30","tsfresh",638,0.971428571428571,4,"GunPointOldVersusYoung","svm"
"31","quantiles",101,0.850793650793651,4,"GunPointOldVersusYoung","svm"
"32","FFT (Mag^2 + Angle) + quantiles",253,0.784126984126984,4,"GunPointOldVersusYoung","svm"
"33","catch22",22,0.926984126984127,5,"GunPointOldVersusYoung","svm"
"34","feasts",36,0.971428571428571,5,"GunPointOldVersusYoung","svm"
"35","tsfeatures",59,0.99047619047619,5,"GunPointOldVersusYoung","svm"
"36","TSFEL",142,0.961904761904762,5,"GunPointOldVersusYoung","svm"
"37","Kats",36,0.958730158730159,5,"GunPointOldVersusYoung","svm"
"38","tsfresh",639,0.958730158730159,5,"GunPointOldVersusYoung","svm"
"39","quantiles",101,0.86031746031746,5,"GunPointOldVersusYoung","svm"
"40","FFT (Mag^2 + Angle) + quantiles",253,0.73015873015873,5,"GunPointOldVersusYoung","svm"
"41","catch22",22,0.914285714285714,6,"GunPointOldVersusYoung","svm"
"42","feasts",36,0.955555555555556,6,"GunPointOldVersusYoung","svm"
"43","tsfeatures",59,0.958730158730159,6,"GunPointOldVersusYoung","svm"
"44","TSFEL",143,0.977777777777778,6,"GunPointOldVersusYoung","svm"
"45","Kats",36,0.926984126984127,6,"GunPointOldVersusYoung","svm"
"46","tsfresh",641,0.952380952380952,6,"GunPointOldVersusYoung","svm"
"47","quantiles",101,0.857142857142857,6,"GunPointOldVersusYoung","svm"
"48","FFT (Mag^2 + Angle) + quantiles",253,0.733333333333333,6,"GunPointOldVersusYoung","svm"
"49","catch22",22,0.946031746031746,7,"GunPointOldVersusYoung","svm"
"50","feasts",36,0.965079365079365,7,"GunPointOldVersusYoung","svm"
"51","tsfeatures",59,0.961904761904762,7,"GunPointOldVersusYoung","svm"
"52","TSFEL",142,0.946031746031746,7,"GunPointOldVersusYoung","svm"
"53","Kats",36,0.93015873015873,7,"GunPointOldVersusYoung","svm"
"54","tsfresh",639,0.965079365079365,7,"GunPointOldVersusYoung","svm"
"55","quantiles",101,0.857142857142857,7,"GunPointOldVersusYoung","svm"
"56","FFT (Mag^2 + Angle) + quantiles",253,0.707936507936508,7,"GunPointOldVersusYoung","svm"
"57","catch22",22,0.93968253968254,8,"GunPointOldVersusYoung","svm"
"58","feasts",36,0.984126984126984,8,"GunPointOldVersusYoung","svm"
"59","tsfeatures",59,0.977777777777778,8,"GunPointOldVersusYoung","svm"
"60","TSFEL",142,0.961904761904762,8,"GunPointOldVersusYoung","svm"
"61","Kats",36,0.93968253968254,8,"GunPointOldVersusYoung","svm"
"62","tsfresh",638,0.958730158730159,8,"GunPointOldVersusYoung","svm"
"63","quantiles",101,0.844444444444444,8,"GunPointOldVersusYoung","svm"
"64","FFT (Mag^2 + Angle) + quantiles",253,0.80952380952381,8,"GunPointOldVersusYoung","svm"
"65","catch22",22,0.958730158730159,9,"GunPointOldVersusYoung","svm"
"66","feasts",36,0.965079365079365,9,"GunPointOldVersusYoung","svm"
"67","tsfeatures",59,0.965079365079365,9,"GunPointOldVersusYoung","svm"
"68","TSFEL",142,0.952380952380952,9,"GunPointOldVersusYoung","svm"
"69","Kats",36,0.955555555555556,9,"GunPointOldVersusYoung","svm"
"70","tsfresh",642,0.955555555555556,9,"GunPointOldVersusYoung","svm"
"71","quantiles",101,0.834920634920635,9,"GunPointOldVersusYoung","svm"
"72","FFT (Mag^2 + Angle) + quantiles",253,0.714285714285714,9,"GunPointOldVersusYoung","svm"
"73","catch22",22,0.920634920634921,10,"GunPointOldVersusYoung","svm"
"74","feasts",36,0.971428571428571,10,"GunPointOldVersusYoung","svm"
"75","tsfeatures",59,0.958730158730159,10,"GunPointOldVersusYoung","svm"
"76","TSFEL",142,0.955555555555556,10,"GunPointOldVersusYoung","svm"
"77","Kats",36,0.936507936507937,10,"GunPointOldVersusYoung","svm"
"78","tsfresh",641,0.946031746031746,10,"GunPointOldVersusYoung","svm"
"79","quantiles",101,0.834920634920635,10,"GunPointOldVersusYoung","svm"
"80","FFT (Mag^2 + Angle) + quantiles",253,0.768253968253968,10,"GunPointOldVersusYoung","svm"
"81","catch22",22,0.93015873015873,11,"GunPointOldVersusYoung","svm"
"82","feasts",36,0.977777777777778,11,"GunPointOldVersusYoung","svm"
"83","tsfeatures",59,0.980952380952381,11,"GunPointOldVersusYoung","svm"
"84","TSFEL",143,0.965079365079365,11,"GunPointOldVersusYoung","svm"
"85","Kats",36,0.958730158730159,11,"GunPointOldVersusYoung","svm"
"86","tsfresh",638,0.965079365079365,11,"GunPointOldVersusYoung","svm"
"87","quantiles",101,0.857142857142857,11,"GunPointOldVersusYoung","svm"
"88","FFT (Mag^2 + Angle) + quantiles",253,0.733333333333333,11,"GunPointOldVersusYoung","svm"
"89","catch22",22,0.93015873015873,12,"GunPointOldVersusYoung","svm"
"90","feasts",36,0.965079365079365,12,"GunPointOldVersusYoung","svm"
"91","tsfeatures",59,0.949206349206349,12,"GunPointOldVersusYoung","svm"
"92","TSFEL",142,0.955555555555556,12,"GunPointOldVersusYoung","svm"
"93","Kats",36,0.923809523809524,12,"GunPointOldVersusYoung","svm"
"94","tsfresh",638,0.980952380952381,12,"GunPointOldVersusYoung","svm"
"95","quantiles",101,0.850793650793651,12,"GunPointOldVersusYoung","svm"
"96","FFT (Mag^2 + Angle) + quantiles",253,0.771428571428571,12,"GunPointOldVersusYoung","svm"
"97","catch22",22,0.936507936507937,13,"GunPointOldVersusYoung","svm"
"98","feasts",36,0.965079365079365,13,"GunPointOldVersusYoung","svm"
"99","tsfeatures",59,0.965079365079365,13,"GunPointOldVersusYoung","svm"
"100","TSFEL",142,0.961904761904762,13,"GunPointOldVersusYoung","svm"
"101","Kats",36,0.942857142857143,13,"GunPointOldVersusYoung","svm"
"102","tsfresh",640,0.958730158730159,13,"GunPointOldVersusYoung","svm"
