"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.695238095238095,1,"Ham","svm"
"2","feasts",37,0.6,1,"Ham","svm"
"3","tsfeatures",59,0.60952380952381,1,"Ham","svm"
"4","TSFEL",144,0.628571428571429,1,"Ham","svm"
"5","Kats",34,0.580952380952381,1,"Ham","svm"
"6","tsfresh",737,0.666666666666667,1,"Ham","svm"
"7","quantiles",101,0.495238095238095,1,"Ham","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.580952380952381,1,"Ham","svm"
"9","catch22",22,0.685714285714286,2,"Ham","svm"
"10","feasts",37,0.704761904761905,2,"Ham","svm"
"11","tsfeatures",59,0.638095238095238,2,"Ham","svm"
"12","TSFEL",144,0.723809523809524,2,"Ham","svm"
"13","Kats",34,0.6,2,"Ham","svm"
"14","tsfresh",737,0.742857142857143,2,"Ham","svm"
"15","quantiles",101,0.6,2,"Ham","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.714285714285714,2,"Ham","svm"
"17","catch22",22,0.619047619047619,3,"Ham","svm"
"18","feasts",37,0.628571428571429,3,"Ham","svm"
"19","tsfeatures",59,0.60952380952381,3,"Ham","svm"
"20","TSFEL",144,0.733333333333333,3,"Ham","svm"
"21","Kats",34,0.647619047619048,3,"Ham","svm"
"22","tsfresh",737,0.742857142857143,3,"Ham","svm"
"23","quantiles",101,0.542857142857143,3,"Ham","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.771428571428571,3,"Ham","svm"
"25","catch22",22,0.60952380952381,4,"Ham","svm"
"26","feasts",37,0.657142857142857,4,"Ham","svm"
"27","tsfeatures",59,0.704761904761905,4,"Ham","svm"
"28","TSFEL",144,0.723809523809524,4,"Ham","svm"
"29","Kats",35,0.619047619047619,4,"Ham","svm"
"30","tsfresh",737,0.714285714285714,4,"Ham","svm"
"31","quantiles",101,0.60952380952381,4,"Ham","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.733333333333333,4,"Ham","svm"
"33","catch22",22,0.657142857142857,5,"Ham","svm"
