"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.347402597402597,1,"Haptics","svm"
"feasts",36,0.431818181818182,1,"Haptics","svm"
"tsfeatures",59,0.399350649350649,1,"Haptics","svm"
"TSFEL",143,0.435064935064935,1,"Haptics","svm"
"Kats",36,0.38961038961039,1,"Haptics","svm"
"tsfresh",735,0.448051948051948,1,"Haptics","svm"
"timegp",6,0.37012987012987,1,"Haptics","svm"
"catch22",22,0.386363636363636,2,"Haptics","svm"
"feasts",36,0.37012987012987,2,"Haptics","svm"
"tsfeatures",59,0.366883116883117,2,"Haptics","svm"
"TSFEL",143,0.402597402597403,2,"Haptics","svm"
"Kats",35,0.318181818181818,2,"Haptics","svm"
"tsfresh",736,0.444805194805195,2,"Haptics","svm"
"timegp",6,0.373376623376623,2,"Haptics","svm"
"catch22",22,0.405844155844156,3,"Haptics","svm"
"feasts",36,0.392857142857143,3,"Haptics","svm"
"tsfeatures",59,0.392857142857143,3,"Haptics","svm"
"TSFEL",143,0.392857142857143,3,"Haptics","svm"
"Kats",36,0.350649350649351,3,"Haptics","svm"
"tsfresh",736,0.464285714285714,3,"Haptics","svm"
"timegp",6,0.344155844155844,3,"Haptics","svm"
"catch22",22,0.37987012987013,4,"Haptics","svm"
"feasts",35,0.425324675324675,4,"Haptics","svm"
"tsfeatures",59,0.402597402597403,4,"Haptics","svm"
"TSFEL",143,0.412337662337662,4,"Haptics","svm"
"Kats",36,0.383116883116883,4,"Haptics","svm"
"tsfresh",736,0.470779220779221,4,"Haptics","svm"
"timegp",6,0.373376623376623,4,"Haptics","svm"
"catch22",22,0.344155844155844,5,"Haptics","svm"
"feasts",36,0.383116883116883,5,"Haptics","svm"
"tsfeatures",59,0.38961038961039,5,"Haptics","svm"
"TSFEL",144,0.366883116883117,5,"Haptics","svm"
"Kats",36,0.331168831168831,5,"Haptics","svm"
"tsfresh",735,0.392857142857143,5,"Haptics","svm"
"timegp",6,0.415584415584416,5,"Haptics","svm"
"catch22",22,0.37987012987013,6,"Haptics","svm"
"feasts",36,0.38961038961039,6,"Haptics","svm"
"tsfeatures",59,0.37987012987013,6,"Haptics","svm"
"TSFEL",142,0.431818181818182,6,"Haptics","svm"
"Kats",36,0.415584415584416,6,"Haptics","svm"
"tsfresh",736,0.444805194805195,6,"Haptics","svm"
"timegp",6,0.396103896103896,6,"Haptics","svm"
"catch22",22,0.418831168831169,7,"Haptics","svm"
"feasts",36,0.396103896103896,7,"Haptics","svm"
"tsfeatures",59,0.425324675324675,7,"Haptics","svm"
"TSFEL",143,0.435064935064935,7,"Haptics","svm"
"Kats",36,0.383116883116883,7,"Haptics","svm"
"tsfresh",736,0.451298701298701,7,"Haptics","svm"
"timegp",6,0.386363636363636,7,"Haptics","svm"
"catch22",22,0.36038961038961,8,"Haptics","svm"
"feasts",36,0.363636363636364,8,"Haptics","svm"
"tsfeatures",59,0.37987012987013,8,"Haptics","svm"
"TSFEL",144,0.457792207792208,8,"Haptics","svm"
"Kats",36,0.353896103896104,8,"Haptics","svm"
"tsfresh",736,0.441558441558442,8,"Haptics","svm"
"timegp",6,0.386363636363636,8,"Haptics","svm"
"catch22",22,0.350649350649351,9,"Haptics","svm"
"feasts",36,0.366883116883117,9,"Haptics","svm"
"tsfeatures",59,0.428571428571429,9,"Haptics","svm"
"TSFEL",142,0.435064935064935,9,"Haptics","svm"
"Kats",36,0.340909090909091,9,"Haptics","svm"
"tsfresh",737,0.470779220779221,9,"Haptics","svm"
"timegp",6,0.37012987012987,9,"Haptics","svm"
"catch22",22,0.363636363636364,10,"Haptics","svm"
"feasts",36,0.461038961038961,10,"Haptics","svm"
"tsfeatures",59,0.412337662337662,10,"Haptics","svm"
"TSFEL",143,0.415584415584416,10,"Haptics","svm"
"Kats",36,0.347402597402597,10,"Haptics","svm"
"tsfresh",736,0.425324675324675,10,"Haptics","svm"
"timegp",6,0.428571428571429,10,"Haptics","svm"
"catch22",22,0.399350649350649,11,"Haptics","svm"
"feasts",36,0.428571428571429,11,"Haptics","svm"
"tsfeatures",59,0.353896103896104,11,"Haptics","svm"
"TSFEL",142,0.454545454545455,11,"Haptics","svm"
"Kats",36,0.383116883116883,11,"Haptics","svm"
"tsfresh",737,0.487012987012987,11,"Haptics","svm"
"timegp",6,0.37012987012987,11,"Haptics","svm"
"catch22",22,0.392857142857143,12,"Haptics","svm"
"feasts",36,0.396103896103896,12,"Haptics","svm"
"tsfeatures",59,0.418831168831169,12,"Haptics","svm"
"TSFEL",143,0.366883116883117,12,"Haptics","svm"
"Kats",36,0.366883116883117,12,"Haptics","svm"
"tsfresh",735,0.409090909090909,12,"Haptics","svm"
"timegp",6,0.357142857142857,12,"Haptics","svm"
"catch22",22,0.350649350649351,13,"Haptics","svm"
"feasts",36,0.37987012987013,13,"Haptics","svm"
"tsfeatures",59,0.412337662337662,13,"Haptics","svm"
"TSFEL",143,0.415584415584416,13,"Haptics","svm"
"Kats",36,0.36038961038961,13,"Haptics","svm"
"tsfresh",736,0.431818181818182,13,"Haptics","svm"
"timegp",6,0.373376623376623,13,"Haptics","svm"
"catch22",22,0.357142857142857,14,"Haptics","svm"
"feasts",36,0.38961038961039,14,"Haptics","svm"
"tsfeatures",59,0.415584415584416,14,"Haptics","svm"
"TSFEL",142,0.444805194805195,14,"Haptics","svm"
"Kats",36,0.392857142857143,14,"Haptics","svm"
"tsfresh",737,0.48051948051948,14,"Haptics","svm"
"timegp",6,0.386363636363636,14,"Haptics","svm"
"catch22",22,0.38961038961039,15,"Haptics","svm"
"feasts",36,0.405844155844156,15,"Haptics","svm"
"tsfeatures",59,0.396103896103896,15,"Haptics","svm"
"TSFEL",144,0.428571428571429,15,"Haptics","svm"
"Kats",36,0.305194805194805,15,"Haptics","svm"
"tsfresh",736,0.428571428571429,15,"Haptics","svm"
"timegp",6,0.412337662337662,15,"Haptics","svm"
"catch22",22,0.337662337662338,16,"Haptics","svm"
"feasts",36,0.38961038961039,16,"Haptics","svm"
"tsfeatures",59,0.396103896103896,16,"Haptics","svm"
"TSFEL",143,0.448051948051948,16,"Haptics","svm"
"Kats",36,0.383116883116883,16,"Haptics","svm"
"tsfresh",737,0.444805194805195,16,"Haptics","svm"
"timegp",6,0.363636363636364,16,"Haptics","svm"
"catch22",22,0.38961038961039,17,"Haptics","svm"
"feasts",36,0.422077922077922,17,"Haptics","svm"
"tsfeatures",59,0.399350649350649,17,"Haptics","svm"
"TSFEL",142,0.412337662337662,17,"Haptics","svm"
"Kats",36,0.353896103896104,17,"Haptics","svm"
"tsfresh",737,0.448051948051948,17,"Haptics","svm"
"timegp",6,0.353896103896104,17,"Haptics","svm"
"catch22",22,0.409090909090909,18,"Haptics","svm"
"feasts",36,0.386363636363636,18,"Haptics","svm"
"tsfeatures",59,0.425324675324675,18,"Haptics","svm"
"TSFEL",142,0.402597402597403,18,"Haptics","svm"
"Kats",36,0.344155844155844,18,"Haptics","svm"
"tsfresh",736,0.415584415584416,18,"Haptics","svm"
"timegp",6,0.38961038961039,18,"Haptics","svm"
"catch22",22,0.392857142857143,19,"Haptics","svm"
"feasts",36,0.422077922077922,19,"Haptics","svm"
"tsfeatures",59,0.412337662337662,19,"Haptics","svm"
"TSFEL",142,0.376623376623377,19,"Haptics","svm"
"Kats",36,0.376623376623377,19,"Haptics","svm"
"tsfresh",736,0.418831168831169,19,"Haptics","svm"
"timegp",6,0.383116883116883,19,"Haptics","svm"
"catch22",22,0.418831168831169,20,"Haptics","svm"
"feasts",35,0.428571428571429,20,"Haptics","svm"
"tsfeatures",59,0.37012987012987,20,"Haptics","svm"
"TSFEL",142,0.431818181818182,20,"Haptics","svm"
"Kats",35,0.405844155844156,20,"Haptics","svm"
"tsfresh",736,0.457792207792208,20,"Haptics","svm"
"timegp",6,0.386363636363636,20,"Haptics","svm"
"catch22",22,0.399350649350649,21,"Haptics","svm"
