"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",20,0.5,1,"Herring","svm"
"2","feasts",35,0.640625,1,"Herring","svm"
"3","tsfeatures",59,0.65625,1,"Herring","svm"
"4","TSFEL",143,0.59375,1,"Herring","svm"
"5","Kats",36,0.625,1,"Herring","svm"
"6","tsfresh",728,0.65625,1,"Herring","svm"
"7","quantiles",101,0.5625,1,"Herring","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.59375,1,"Herring","svm"
"9","catch22",20,0.546875,2,"Herring","svm"
"10","feasts",35,0.46875,2,"Herring","svm"
"11","tsfeatures",59,0.625,2,"Herring","svm"
"12","TSFEL",143,0.640625,2,"Herring","svm"
"13","Kats",36,0.546875,2,"Herring","svm"
"14","tsfresh",727,0.5625,2,"Herring","svm"
"15","quantiles",101,0.484375,2,"Herring","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.5625,2,"Herring","svm"
"17","catch22",20,0.515625,3,"Herring","svm"
"18","feasts",35,0.53125,3,"Herring","svm"
"19","tsfeatures",59,0.609375,3,"Herring","svm"
"20","TSFEL",143,0.53125,3,"Herring","svm"
"21","Kats",36,0.515625,3,"Herring","svm"
"22","tsfresh",728,0.5,3,"Herring","svm"
"23","quantiles",101,0.515625,3,"Herring","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.609375,3,"Herring","svm"
"25","catch22",20,0.453125,4,"Herring","svm"
"26","feasts",35,0.640625,4,"Herring","svm"
"27","tsfeatures",59,0.484375,4,"Herring","svm"
"28","TSFEL",143,0.578125,4,"Herring","svm"
"29","Kats",36,0.515625,4,"Herring","svm"
"30","tsfresh",726,0.546875,4,"Herring","svm"
"31","quantiles",101,0.453125,4,"Herring","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.609375,4,"Herring","svm"
"33","catch22",20,0.578125,5,"Herring","svm"
"34","feasts",35,0.5625,5,"Herring","svm"
"35","tsfeatures",59,0.625,5,"Herring","svm"
"36","TSFEL",143,0.609375,5,"Herring","svm"
"37","Kats",36,0.5625,5,"Herring","svm"
"38","tsfresh",729,0.671875,5,"Herring","svm"
"39","quantiles",101,0.46875,5,"Herring","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.59375,5,"Herring","svm"
"41","catch22",20,0.578125,6,"Herring","svm"
"42","feasts",35,0.53125,6,"Herring","svm"
"43","tsfeatures",59,0.65625,6,"Herring","svm"
"44","TSFEL",143,0.578125,6,"Herring","svm"
"45","Kats",36,0.59375,6,"Herring","svm"
"46","tsfresh",729,0.5625,6,"Herring","svm"
"47","quantiles",101,0.546875,6,"Herring","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.578125,6,"Herring","svm"
"49","catch22",20,0.5625,7,"Herring","svm"
"50","feasts",35,0.609375,7,"Herring","svm"
"51","tsfeatures",59,0.5,7,"Herring","svm"
"52","TSFEL",143,0.53125,7,"Herring","svm"
"53","Kats",36,0.59375,7,"Herring","svm"
"54","tsfresh",729,0.609375,7,"Herring","svm"
"55","quantiles",101,0.546875,7,"Herring","svm"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.578125,7,"Herring","svm"
"57","catch22",20,0.5,8,"Herring","svm"
"58","feasts",35,0.609375,8,"Herring","svm"
"59","tsfeatures",59,0.546875,8,"Herring","svm"
"60","TSFEL",142,0.578125,8,"Herring","svm"
"61","Kats",36,0.4375,8,"Herring","svm"
"62","tsfresh",728,0.640625,8,"Herring","svm"
"63","quantiles",101,0.5,8,"Herring","svm"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.515625,8,"Herring","svm"
"65","catch22",20,0.609375,9,"Herring","svm"
"66","feasts",35,0.640625,9,"Herring","svm"
"67","tsfeatures",59,0.578125,9,"Herring","svm"
"68","TSFEL",143,0.640625,9,"Herring","svm"
"69","Kats",36,0.59375,9,"Herring","svm"
"70","tsfresh",728,0.640625,9,"Herring","svm"
"71","quantiles",101,0.546875,9,"Herring","svm"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.71875,9,"Herring","svm"
"73","catch22",20,0.578125,10,"Herring","svm"
"74","feasts",35,0.671875,10,"Herring","svm"
"75","tsfeatures",59,0.53125,10,"Herring","svm"
"76","TSFEL",143,0.59375,10,"Herring","svm"
"77","Kats",36,0.5625,10,"Herring","svm"
"78","tsfresh",728,0.65625,10,"Herring","svm"
"79","quantiles",101,0.5625,10,"Herring","svm"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.65625,10,"Herring","svm"
"81","catch22",20,0.5,11,"Herring","svm"
"82","feasts",35,0.65625,11,"Herring","svm"
"83","tsfeatures",59,0.6875,11,"Herring","svm"
"84","TSFEL",143,0.578125,11,"Herring","svm"
"85","Kats",36,0.59375,11,"Herring","svm"
"86","tsfresh",728,0.640625,11,"Herring","svm"
"87","quantiles",101,0.53125,11,"Herring","svm"
"88","FFT (Mag^2 + Angle) + quantiles",301,0.625,11,"Herring","svm"
"89","catch22",20,0.515625,12,"Herring","svm"
"90","feasts",35,0.609375,12,"Herring","svm"
"91","tsfeatures",59,0.6875,12,"Herring","svm"
"92","TSFEL",143,0.5625,12,"Herring","svm"
"93","Kats",36,0.609375,12,"Herring","svm"
"94","tsfresh",727,0.5625,12,"Herring","svm"
"95","quantiles",101,0.5,12,"Herring","svm"
"96","FFT (Mag^2 + Angle) + quantiles",301,0.578125,12,"Herring","svm"
"97","catch22",20,0.53125,13,"Herring","svm"
"98","feasts",35,0.53125,13,"Herring","svm"
"99","tsfeatures",59,0.671875,13,"Herring","svm"
"100","TSFEL",143,0.53125,13,"Herring","svm"
"101","Kats",36,0.546875,13,"Herring","svm"
