"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.966386554621849,1,"HouseTwenty","svm"
"feasts",35,0.840336134453782,1,"HouseTwenty","svm"
"tsfeatures",59,0.949579831932773,1,"HouseTwenty","svm"
"TSFEL",143,0.957983193277311,1,"HouseTwenty","svm"
"Kats",35,0.907563025210084,1,"HouseTwenty","svm"
"tsfresh",735,0.941176470588235,1,"HouseTwenty","svm"
"timegp",2,0.747899159663866,1,"HouseTwenty","svm"
"catch22",22,0.941176470588235,2,"HouseTwenty","svm"
"feasts",35,0.949579831932773,2,"HouseTwenty","svm"
"tsfeatures",59,0.957983193277311,2,"HouseTwenty","svm"
"TSFEL",143,0.949579831932773,2,"HouseTwenty","svm"
"Kats",35,0.941176470588235,2,"HouseTwenty","svm"
"tsfresh",735,0.991596638655462,2,"HouseTwenty","svm"
"timegp",2,0.764705882352941,2,"HouseTwenty","svm"
"catch22",22,0.983193277310924,3,"HouseTwenty","svm"
"feasts",36,0.957983193277311,3,"HouseTwenty","svm"
"tsfeatures",59,0.957983193277311,3,"HouseTwenty","svm"
"TSFEL",143,0.974789915966387,3,"HouseTwenty","svm"
"Kats",35,0.957983193277311,3,"HouseTwenty","svm"
"tsfresh",735,0.966386554621849,3,"HouseTwenty","svm"
"timegp",2,0.756302521008403,3,"HouseTwenty","svm"
"catch22",22,0.941176470588235,4,"HouseTwenty","svm"
"feasts",35,0.92436974789916,4,"HouseTwenty","svm"
"tsfeatures",59,0.92436974789916,4,"HouseTwenty","svm"
"TSFEL",143,0.949579831932773,4,"HouseTwenty","svm"
"Kats",35,0.907563025210084,4,"HouseTwenty","svm"
"tsfresh",734,0.983193277310924,4,"HouseTwenty","svm"
"timegp",2,0.747899159663866,4,"HouseTwenty","svm"
"catch22",22,0.974789915966387,5,"HouseTwenty","svm"
"feasts",35,0.92436974789916,5,"HouseTwenty","svm"
"tsfeatures",59,0.907563025210084,5,"HouseTwenty","svm"
"TSFEL",143,0.941176470588235,5,"HouseTwenty","svm"
"Kats",35,0.932773109243697,5,"HouseTwenty","svm"
"tsfresh",734,0.974789915966387,5,"HouseTwenty","svm"
"timegp",2,0.739495798319328,5,"HouseTwenty","svm"
"catch22",22,0.966386554621849,6,"HouseTwenty","svm"
"feasts",36,0.932773109243697,6,"HouseTwenty","svm"
"tsfeatures",59,0.941176470588235,6,"HouseTwenty","svm"
