"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.923694779116466,1,"InsectEPGRegularTrain","svm"
"2","feasts",37,0.971887550200803,1,"InsectEPGRegularTrain","svm"
"3","tsfeatures",59,0.991967871485944,1,"InsectEPGRegularTrain","svm"
"4","TSFEL",144,0.983935742971888,1,"InsectEPGRegularTrain","svm"
"5","Kats",36,0.991967871485944,1,"InsectEPGRegularTrain","svm"
"6","tsfresh",734,0.951807228915663,1,"InsectEPGRegularTrain","svm"
"7","quantiles",101,0.78714859437751,1,"InsectEPGRegularTrain","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.831325301204819,1,"InsectEPGRegularTrain","svm"
"9","catch22",22,0.899598393574297,2,"InsectEPGRegularTrain","svm"
"10","feasts",36,0.955823293172691,2,"InsectEPGRegularTrain","svm"
"11","tsfeatures",59,0.951807228915663,2,"InsectEPGRegularTrain","svm"
"12","TSFEL",143,0.959839357429719,2,"InsectEPGRegularTrain","svm"
"13","Kats",36,0.959839357429719,2,"InsectEPGRegularTrain","svm"
"14","tsfresh",734,0.93574297188755,2,"InsectEPGRegularTrain","svm"
"15","quantiles",101,0.835341365461847,2,"InsectEPGRegularTrain","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.859437751004016,2,"InsectEPGRegularTrain","svm"
"17","catch22",22,0.911646586345382,3,"InsectEPGRegularTrain","svm"
"18","feasts",37,0.947791164658635,3,"InsectEPGRegularTrain","svm"
"19","tsfeatures",59,0.939759036144578,3,"InsectEPGRegularTrain","svm"
"20","TSFEL",143,0.979919678714859,3,"InsectEPGRegularTrain","svm"
"21","Kats",36,0.951807228915663,3,"InsectEPGRegularTrain","svm"
"22","tsfresh",734,0.963855421686747,3,"InsectEPGRegularTrain","svm"
"23","quantiles",101,0.799196787148594,3,"InsectEPGRegularTrain","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.899598393574297,3,"InsectEPGRegularTrain","svm"
"25","catch22",22,0.899598393574297,4,"InsectEPGRegularTrain","svm"
"26","feasts",37,0.947791164658635,4,"InsectEPGRegularTrain","svm"
"27","tsfeatures",59,0.975903614457831,4,"InsectEPGRegularTrain","svm"
"28","TSFEL",143,0.983935742971888,4,"InsectEPGRegularTrain","svm"
"29","Kats",36,0.979919678714859,4,"InsectEPGRegularTrain","svm"
