"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.575342465753425,1,"Lightning7","svm"
"feasts",39,0.684931506849315,1,"Lightning7","svm"
"tsfeatures",59,0.767123287671233,1,"Lightning7","svm"
"TSFEL",144,0.602739726027397,1,"Lightning7","svm"
"Kats",36,0.534246575342466,1,"Lightning7","svm"
"tsfresh",731,0.73972602739726,1,"Lightning7","svm"
"timegp",4,0.520547945205479,1,"Lightning7","svm"
"catch22",22,0.657534246575342,2,"Lightning7","svm"
"feasts",39,0.726027397260274,2,"Lightning7","svm"
"tsfeatures",59,0.712328767123288,2,"Lightning7","svm"
"TSFEL",145,0.712328767123288,2,"Lightning7","svm"
"Kats",36,0.534246575342466,2,"Lightning7","svm"
"tsfresh",731,0.780821917808219,2,"Lightning7","svm"
"timegp",4,0.520547945205479,2,"Lightning7","svm"
"catch22",22,0.63013698630137,3,"Lightning7","svm"
"feasts",39,0.643835616438356,3,"Lightning7","svm"
"tsfeatures",59,0.671232876712329,3,"Lightning7","svm"
"TSFEL",145,0.643835616438356,3,"Lightning7","svm"
"Kats",35,0.616438356164384,3,"Lightning7","svm"
"tsfresh",731,0.684931506849315,3,"Lightning7","svm"
"timegp",4,0.438356164383562,3,"Lightning7","svm"
"catch22",22,0.575342465753425,4,"Lightning7","svm"
"feasts",39,0.698630136986301,4,"Lightning7","svm"
"tsfeatures",59,0.47945205479452,4,"Lightning7","svm"
"TSFEL",144,0.698630136986301,4,"Lightning7","svm"
"Kats",35,0.657534246575342,4,"Lightning7","svm"
"tsfresh",731,0.698630136986301,4,"Lightning7","svm"
"timegp",4,0.438356164383562,4,"Lightning7","svm"
"catch22",22,0.616438356164384,5,"Lightning7","svm"
"feasts",39,0.73972602739726,5,"Lightning7","svm"
"tsfeatures",59,0.698630136986301,5,"Lightning7","svm"
"TSFEL",145,0.616438356164384,5,"Lightning7","svm"
"Kats",36,0.575342465753425,5,"Lightning7","svm"
"tsfresh",731,0.698630136986301,5,"Lightning7","svm"
"timegp",4,0.493150684931507,5,"Lightning7","svm"
"catch22",22,0.520547945205479,6,"Lightning7","svm"
"feasts",39,0.534246575342466,6,"Lightning7","svm"
"tsfeatures",59,0.671232876712329,6,"Lightning7","svm"
"TSFEL",145,0.684931506849315,6,"Lightning7","svm"
"Kats",35,0.643835616438356,6,"Lightning7","svm"
"tsfresh",731,0.602739726027397,6,"Lightning7","svm"
"timegp",4,0.493150684931507,6,"Lightning7","svm"
"catch22",22,0.589041095890411,7,"Lightning7","svm"
"feasts",39,0.657534246575342,7,"Lightning7","svm"
"tsfeatures",59,0.684931506849315,7,"Lightning7","svm"
"TSFEL",145,0.602739726027397,7,"Lightning7","svm"
"Kats",36,0.465753424657534,7,"Lightning7","svm"
