"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",20,0.783333333333333,1,"Meat","svm"
"feasts",33,0.883333333333333,1,"Meat","svm"
"tsfeatures",55,0.883333333333333,1,"Meat","svm"
"TSFEL",142,0.9,1,"Meat","svm"
"Kats",34,0.816666666666667,1,"Meat","svm"
"tsfresh",723,0.95,1,"Meat","svm"
"quantiles",101,0.966666666666667,1,"Meat","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.916666666666667,1,"Meat","svm"
"FFT coefficients",399,0.9,1,"Meat","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.9,1,"Meat","svm"
"FFT (Re, Im) + quantiles",300,0.9,1,"Meat","svm"
"FFT (Mag, Angle) + quantiles",301,0.916666666666667,1,"Meat","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.916666666666667,1,"Meat","svm"
"catch22",19,0.883333333333333,2,"Meat","svm"
"feasts",33,0.833333333333333,2,"Meat","svm"
"tsfeatures",54,0.9,2,"Meat","svm"
"TSFEL",141,0.866666666666667,2,"Meat","svm"
"Kats",36,0.866666666666667,2,"Meat","svm"
"tsfresh",723,0.983333333333333,2,"Meat","svm"
"quantiles",101,1,2,"Meat","svm"
"FFT (Mag^2 + Angle) + quantiles",301,1,2,"Meat","svm"
"FFT coefficients",399,0.983333333333333,2,"Meat","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,1,2,"Meat","svm"
"FFT (Re, Im) + quantiles",300,1,2,"Meat","svm"
"FFT (Mag, Angle) + quantiles",301,1,2,"Meat","svm"
"FFT (log(Mag), Angle) + quantiles",301,1,2,"Meat","svm"
"catch22",20,0.883333333333333,3,"Meat","svm"
"feasts",33,0.783333333333333,3,"Meat","svm"
"tsfeatures",55,0.9,3,"Meat","svm"
"TSFEL",142,0.966666666666667,3,"Meat","svm"
"Kats",35,0.9,3,"Meat","svm"
"tsfresh",722,0.983333333333333,3,"Meat","svm"
"quantiles",101,0.983333333333333,3,"Meat","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.966666666666667,3,"Meat","svm"
"FFT coefficients",399,0.95,3,"Meat","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.966666666666667,3,"Meat","svm"
"FFT (Re, Im) + quantiles",300,0.966666666666667,3,"Meat","svm"
"FFT (Mag, Angle) + quantiles",301,0.966666666666667,3,"Meat","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.966666666666667,3,"Meat","svm"
"catch22",19,0.866666666666667,4,"Meat","svm"
"feasts",33,0.8,4,"Meat","svm"
"tsfeatures",54,0.933333333333333,4,"Meat","svm"
"TSFEL",141,0.916666666666667,4,"Meat","svm"
"Kats",36,0.85,4,"Meat","svm"
"tsfresh",723,0.983333333333333,4,"Meat","svm"
"quantiles",101,1,4,"Meat","svm"
"FFT (Mag^2 + Angle) + quantiles",301,1,4,"Meat","svm"
"FFT coefficients",399,0.983333333333333,4,"Meat","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.983333333333333,4,"Meat","svm"
"FFT (Re, Im) + quantiles",300,0.983333333333333,4,"Meat","svm"
"FFT (Mag, Angle) + quantiles",301,1,4,"Meat","svm"
