"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.545454545454545,1,"MiddlePhalanxTW","svm"
"2","feasts",34,0.564935064935065,1,"MiddlePhalanxTW","svm"
"3","tsfeatures",59,0.493506493506494,1,"MiddlePhalanxTW","svm"
"4","TSFEL",142,0.461038961038961,1,"MiddlePhalanxTW","svm"
"5","Kats",36,0.564935064935065,1,"MiddlePhalanxTW","svm"
"6","tsfresh",482,0.506493506493506,1,"MiddlePhalanxTW","svm"
"7","quantiles",101,0.474025974025974,1,"MiddlePhalanxTW","svm"
"8","FFT (Mag^2 + Angle) + quantiles",183,0.461038961038961,1,"MiddlePhalanxTW","svm"
"9","catch22",22,0.545454545454545,2,"MiddlePhalanxTW","svm"
"10","feasts",34,0.571428571428571,2,"MiddlePhalanxTW","svm"
"11","tsfeatures",59,0.577922077922078,2,"MiddlePhalanxTW","svm"
"12","TSFEL",142,0.5,2,"MiddlePhalanxTW","svm"
"13","Kats",36,0.551948051948052,2,"MiddlePhalanxTW","svm"
"14","tsfresh",482,0.448051948051948,2,"MiddlePhalanxTW","svm"
"15","quantiles",101,0.487012987012987,2,"MiddlePhalanxTW","svm"
"16","FFT (Mag^2 + Angle) + quantiles",183,0.409090909090909,2,"MiddlePhalanxTW","svm"
"17","catch22",22,0.545454545454545,3,"MiddlePhalanxTW","svm"
"18","feasts",34,0.551948051948052,3,"MiddlePhalanxTW","svm"
"19","tsfeatures",59,0.558441558441558,3,"MiddlePhalanxTW","svm"
"20","TSFEL",142,0.474025974025974,3,"MiddlePhalanxTW","svm"
"21","Kats",36,0.532467532467532,3,"MiddlePhalanxTW","svm"
"22","tsfresh",481,0.441558441558442,3,"MiddlePhalanxTW","svm"
"23","quantiles",101,0.532467532467532,3,"MiddlePhalanxTW","svm"
"24","FFT (Mag^2 + Angle) + quantiles",183,0.467532467532468,3,"MiddlePhalanxTW","svm"
"25","catch22",22,0.590909090909091,4,"MiddlePhalanxTW","svm"
"26","feasts",34,0.551948051948052,4,"MiddlePhalanxTW","svm"
"27","tsfeatures",59,0.545454545454545,4,"MiddlePhalanxTW","svm"
"28","TSFEL",142,0.461038961038961,4,"MiddlePhalanxTW","svm"
"29","Kats",36,0.493506493506494,4,"MiddlePhalanxTW","svm"
"30","tsfresh",482,0.448051948051948,4,"MiddlePhalanxTW","svm"
"31","quantiles",101,0.493506493506494,4,"MiddlePhalanxTW","svm"
"32","FFT (Mag^2 + Angle) + quantiles",183,0.448051948051948,4,"MiddlePhalanxTW","svm"
"33","catch22",22,0.590909090909091,5,"MiddlePhalanxTW","svm"
"34","feasts",34,0.584415584415584,5,"MiddlePhalanxTW","svm"
"35","tsfeatures",59,0.545454545454545,5,"MiddlePhalanxTW","svm"
"36","TSFEL",142,0.48051948051948,5,"MiddlePhalanxTW","svm"
"37","Kats",36,0.525974025974026,5,"MiddlePhalanxTW","svm"
"38","tsfresh",482,0.506493506493506,5,"MiddlePhalanxTW","svm"
"39","quantiles",101,0.487012987012987,5,"MiddlePhalanxTW","svm"
"40","FFT (Mag^2 + Angle) + quantiles",183,0.461038961038961,5,"MiddlePhalanxTW","svm"
"41","catch22",22,0.558441558441558,6,"MiddlePhalanxTW","svm"
"42","feasts",34,0.577922077922078,6,"MiddlePhalanxTW","svm"
"43","tsfeatures",59,0.525974025974026,6,"MiddlePhalanxTW","svm"
"44","TSFEL",141,0.512987012987013,6,"MiddlePhalanxTW","svm"
"45","Kats",36,0.551948051948052,6,"MiddlePhalanxTW","svm"
"46","tsfresh",480,0.467532467532468,6,"MiddlePhalanxTW","svm"
"47","quantiles",101,0.538961038961039,6,"MiddlePhalanxTW","svm"
"48","FFT (Mag^2 + Angle) + quantiles",183,0.506493506493506,6,"MiddlePhalanxTW","svm"
"49","catch22",22,0.564935064935065,7,"MiddlePhalanxTW","svm"
"50","feasts",34,0.545454545454545,7,"MiddlePhalanxTW","svm"
"51","tsfeatures",59,0.519480519480519,7,"MiddlePhalanxTW","svm"
"52","TSFEL",142,0.493506493506494,7,"MiddlePhalanxTW","svm"
"53","Kats",36,0.525974025974026,7,"MiddlePhalanxTW","svm"
"54","tsfresh",482,0.493506493506494,7,"MiddlePhalanxTW","svm"
"55","quantiles",101,0.428571428571429,7,"MiddlePhalanxTW","svm"
"56","FFT (Mag^2 + Angle) + quantiles",183,0.461038961038961,7,"MiddlePhalanxTW","svm"
"57","catch22",22,0.525974025974026,8,"MiddlePhalanxTW","svm"
"58","feasts",34,0.545454545454545,8,"MiddlePhalanxTW","svm"
"59","tsfeatures",59,0.487012987012987,8,"MiddlePhalanxTW","svm"
"60","TSFEL",142,0.48051948051948,8,"MiddlePhalanxTW","svm"
"61","Kats",36,0.512987012987013,8,"MiddlePhalanxTW","svm"
"62","tsfresh",481,0.422077922077922,8,"MiddlePhalanxTW","svm"
"63","quantiles",101,0.512987012987013,8,"MiddlePhalanxTW","svm"
"64","FFT (Mag^2 + Angle) + quantiles",183,0.48051948051948,8,"MiddlePhalanxTW","svm"
"65","catch22",22,0.577922077922078,9,"MiddlePhalanxTW","svm"
"66","feasts",33,0.61038961038961,9,"MiddlePhalanxTW","svm"
"67","tsfeatures",59,0.525974025974026,9,"MiddlePhalanxTW","svm"
"68","TSFEL",142,0.454545454545455,9,"MiddlePhalanxTW","svm"
