"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.878762886597938,1,"MixedShapesRegularTrain","svm"
"feasts",36,0.897319587628866,1,"MixedShapesRegularTrain","svm"
"tsfeatures",59,0.928247422680412,1,"MixedShapesRegularTrain","svm"
"TSFEL",144,0.917525773195876,1,"MixedShapesRegularTrain","svm"
"Kats",36,0.910927835051546,1,"MixedShapesRegularTrain","svm"
"tsfresh",734,0.940618556701031,1,"MixedShapesRegularTrain","svm"
"timegp",8,0.871752577319588,1,"MixedShapesRegularTrain","svm"
"catch22",22,0.879175257731959,2,"MixedShapesRegularTrain","svm"
"feasts",36,0.889484536082474,2,"MixedShapesRegularTrain","svm"
"tsfeatures",59,0.910103092783505,2,"MixedShapesRegularTrain","svm"
"TSFEL",144,0.901855670103093,2,"MixedShapesRegularTrain","svm"
"Kats",36,0.903917525773196,2,"MixedShapesRegularTrain","svm"
"tsfresh",734,0.938556701030928,2,"MixedShapesRegularTrain","svm"
"timegp",8,0.880412371134021,2,"MixedShapesRegularTrain","svm"
"catch22",21,0.888247422680412,3,"MixedShapesRegularTrain","svm"
"feasts",36,0.904742268041237,3,"MixedShapesRegularTrain","svm"
"tsfeatures",59,0.924948453608247,3,"MixedShapesRegularTrain","svm"
"TSFEL",144,0.91298969072165,3,"MixedShapesRegularTrain","svm"
"Kats",36,0.914226804123711,3,"MixedShapesRegularTrain","svm"
"tsfresh",734,0.936082474226804,3,"MixedShapesRegularTrain","svm"
"timegp",8,0.870927835051546,3,"MixedShapesRegularTrain","svm"
"catch22",22,0.887422680412371,4,"MixedShapesRegularTrain","svm"
"feasts",35,0.894432989690722,4,"MixedShapesRegularTrain","svm"
"tsfeatures",59,0.91298969072165,4,"MixedShapesRegularTrain","svm"
"TSFEL",144,0.903917525773196,4,"MixedShapesRegularTrain","svm"
"Kats",36,0.90639175257732,4,"MixedShapesRegularTrain","svm"
"tsfresh",732,0.936494845360825,4,"MixedShapesRegularTrain","svm"
"timegp",8,0.878350515463918,4,"MixedShapesRegularTrain","svm"
"catch22",21,0.889484536082474,5,"MixedShapesRegularTrain","svm"
"feasts",36,0.897319587628866,5,"MixedShapesRegularTrain","svm"
"tsfeatures",59,0.907628865979381,5,"MixedShapesRegularTrain","svm"
"TSFEL",144,0.889072164948454,5,"MixedShapesRegularTrain","svm"
"Kats",36,0.903505154639175,5,"MixedShapesRegularTrain","svm"
"tsfresh",734,0.934020618556701,5,"MixedShapesRegularTrain","svm"
"timegp",8,0.871752577319588,5,"MixedShapesRegularTrain","svm"
"catch22",22,0.885360824742268,6,"MixedShapesRegularTrain","svm"
"feasts",36,0.900618556701031,6,"MixedShapesRegularTrain","svm"
"tsfeatures",59,0.922474226804124,6,"MixedShapesRegularTrain","svm"
"TSFEL",144,0.900618556701031,6,"MixedShapesRegularTrain","svm"
"Kats",36,0.921649484536082,6,"MixedShapesRegularTrain","svm"
"tsfresh",734,0.938556701030928,6,"MixedShapesRegularTrain","svm"
"timegp",8,0.876701030927835,6,"MixedShapesRegularTrain","svm"
"catch22",22,0.885773195876289,7,"MixedShapesRegularTrain","svm"
"feasts",36,0.917525773195876,7,"MixedShapesRegularTrain","svm"
"tsfeatures",59,0.927835051546392,7,"MixedShapesRegularTrain","svm"
"TSFEL",144,0.913814432989691,7,"MixedShapesRegularTrain","svm"
"Kats",36,0.920824742268041,7,"MixedShapesRegularTrain","svm"
"tsfresh",734,0.941855670103093,7,"MixedShapesRegularTrain","svm"
"timegp",8,0.877113402061856,7,"MixedShapesRegularTrain","svm"
"catch22",21,0.874226804123711,8,"MixedShapesRegularTrain","svm"
