"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.818690095846645,1,"MoteStrain","svm"
"feasts",38,0.765974440894569,1,"MoteStrain","svm"
"tsfeatures",59,0.757188498402556,1,"MoteStrain","svm"
"TSFEL",144,0.862619808306709,1,"MoteStrain","svm"
"Kats",36,0.777955271565495,1,"MoteStrain","svm"
"tsfresh",502,0.915335463258786,1,"MoteStrain","svm"
"quantiles",101,0.777955271565495,1,"MoteStrain","svm"
"FFT (Mag^2 + Angle) + quantiles",187,0.823482428115016,1,"MoteStrain","svm"
"FFT coefficients",170,0.825878594249201,1,"MoteStrain","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.866613418530351,1,"MoteStrain","svm"
"FFT (Re, Im) + quantiles",185,0.863418530351438,1,"MoteStrain","svm"
"FFT (Mag, Angle) + quantiles",187,0.828274760383387,1,"MoteStrain","svm"
"FFT (log(Mag), Angle) + quantiles",186,0.823482428115016,1,"MoteStrain","svm"
"catch22",22,0.813897763578275,2,"MoteStrain","svm"
"feasts",39,0.769169329073482,2,"MoteStrain","svm"
"tsfeatures",59,0.825878594249201,2,"MoteStrain","svm"
"TSFEL",144,0.879392971246006,2,"MoteStrain","svm"
"Kats",36,0.777955271565495,2,"MoteStrain","svm"
"tsfresh",501,0.911341853035144,2,"MoteStrain","svm"
"quantiles",101,0.802715654952077,2,"MoteStrain","svm"
"FFT (Mag^2 + Angle) + quantiles",187,0.808306709265176,2,"MoteStrain","svm"
"FFT coefficients",170,0.791533546325879,2,"MoteStrain","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.841054313099042,2,"MoteStrain","svm"
"FFT (Re, Im) + quantiles",185,0.821884984025559,2,"MoteStrain","svm"
"FFT (Mag, Angle) + quantiles",187,0.805111821086262,2,"MoteStrain","svm"
"FFT (log(Mag), Angle) + quantiles",187,0.789137380191693,2,"MoteStrain","svm"
"catch22",22,0.654952076677316,3,"MoteStrain","svm"
"feasts",39,0.786741214057508,3,"MoteStrain","svm"
"tsfeatures",59,0.755591054313099,3,"MoteStrain","svm"
"TSFEL",144,0.88258785942492,3,"MoteStrain","svm"
"Kats",36,0.705271565495208,3,"MoteStrain","svm"
"tsfresh",501,0.86741214057508,3,"MoteStrain","svm"
"quantiles",101,0.786741214057508,3,"MoteStrain","svm"
"FFT (Mag^2 + Angle) + quantiles",187,0.824281150159744,3,"MoteStrain","svm"
"FFT coefficients",170,0.788338658146965,3,"MoteStrain","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.849041533546326,3,"MoteStrain","svm"
"FFT (Re, Im) + quantiles",185,0.860223642172524,3,"MoteStrain","svm"
"FFT (Mag, Angle) + quantiles",187,0.827476038338658,3,"MoteStrain","svm"
"FFT (log(Mag), Angle) + quantiles",186,0.843450479233227,3,"MoteStrain","svm"
"catch22",22,0.870607028753994,4,"MoteStrain","svm"
"feasts",39,0.726837060702875,4,"MoteStrain","svm"
"tsfeatures",59,0.840255591054313,4,"MoteStrain","svm"
"TSFEL",143,0.84185303514377,4,"MoteStrain","svm"
"Kats",36,0.783546325878594,4,"MoteStrain","svm"
"tsfresh",500,0.865015974440895,4,"MoteStrain","svm"
"quantiles",101,0.807507987220447,4,"MoteStrain","svm"
"FFT (Mag^2 + Angle) + quantiles",187,0.813897763578275,4,"MoteStrain","svm"
"FFT coefficients",170,0.803514376996805,4,"MoteStrain","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.837859424920128,4,"MoteStrain","svm"
"FFT (Re, Im) + quantiles",185,0.8314696485623,4,"MoteStrain","svm"
"FFT (Mag, Angle) + quantiles",187,0.813897763578275,4,"MoteStrain","svm"
"FFT (log(Mag), Angle) + quantiles",187,0.804313099041534,4,"MoteStrain","svm"
"catch22",22,0.84185303514377,5,"MoteStrain","svm"
"feasts",39,0.791533546325879,5,"MoteStrain","svm"
"tsfeatures",59,0.804313099041534,5,"MoteStrain","svm"
"TSFEL",144,0.803514376996805,5,"MoteStrain","svm"
"Kats",36,0.764376996805112,5,"MoteStrain","svm"
"tsfresh",500,0.865015974440895,5,"MoteStrain","svm"
"quantiles",101,0.768370607028754,5,"MoteStrain","svm"
"FFT (Mag^2 + Angle) + quantiles",187,0.770766773162939,5,"MoteStrain","svm"
"FFT coefficients",170,0.755591054313099,5,"MoteStrain","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.792332268370607,5,"MoteStrain","svm"
"FFT (Re, Im) + quantiles",185,0.812300319488818,5,"MoteStrain","svm"
"FFT (Mag, Angle) + quantiles",187,0.777156549520767,5,"MoteStrain","svm"
"FFT (log(Mag), Angle) + quantiles",186,0.769968051118211,5,"MoteStrain","svm"
"catch22",22,0.753993610223642,6,"MoteStrain","svm"
"feasts",39,0.813897763578275,6,"MoteStrain","svm"
"tsfeatures",59,0.85223642172524,6,"MoteStrain","svm"
"TSFEL",143,0.866613418530351,6,"MoteStrain","svm"
"Kats",36,0.736421725239617,6,"MoteStrain","svm"
"tsfresh",508,0.880191693290735,6,"MoteStrain","svm"
"quantiles",101,0.809904153354633,6,"MoteStrain","svm"
"FFT (Mag^2 + Angle) + quantiles",187,0.815495207667732,6,"MoteStrain","svm"
"FFT coefficients",170,0.817092651757188,6,"MoteStrain","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",271,0.840255591054313,6,"MoteStrain","svm"
"FFT (Re, Im) + quantiles",185,0.837060702875399,6,"MoteStrain","svm"
"FFT (Mag, Angle) + quantiles",187,0.820287539936102,6,"MoteStrain","svm"
"FFT (log(Mag), Angle) + quantiles",187,0.821884984025559,6,"MoteStrain","svm"
"catch22",22,0.773961661341853,7,"MoteStrain","svm"
"feasts",39,0.76517571884984,7,"MoteStrain","svm"
"tsfeatures",59,0.829872204472843,7,"MoteStrain","svm"
"TSFEL",144,0.809904153354633,7,"MoteStrain","svm"
"Kats",36,0.792332268370607,7,"MoteStrain","svm"
