"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.85852417302799,1,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.883969465648855,1,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.895674300254453,1,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.910941475826972,1,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.884478371501272,1,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",732,0.934860050890585,1,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.797964376590331,1,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.8529262086514,2,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.890076335877863,2,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.899745547073791,2,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.915521628498728,2,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.893638676844784,2,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",732,0.940966921119593,2,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.822391857506361,2,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.859541984732824,3,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.881424936386768,3,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.898727735368957,3,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.909923664122137,3,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.886005089058524,3,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",732,0.934351145038168,3,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.805089058524173,3,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.861068702290076,4,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.892111959287532,4,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.892620865139949,4,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.910432569974555,4,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.886513994910942,4,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",732,0.933333333333333,4,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.807124681933842,4,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.864631043256997,5,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.892620865139949,5,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.907379134860051,5,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.910432569974555,5,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.897201017811705,5,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",733,0.939440203562341,5,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.81323155216285,5,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.867175572519084,6,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.901272264631043,6,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.906870229007634,6,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.922137404580153,6,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.892620865139949,6,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",733,0.935368956743003,6,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.815776081424936,6,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.852417302798982,7,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.892620865139949,7,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.908905852417303,7,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.915521628498728,7,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.893638676844784,7,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",733,0.935368956743003,7,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.798982188295165,7,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.849872773536896,8,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.893638676844784,8,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.907379134860051,8,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.908905852417303,8,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.895674300254453,8,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",732,0.931806615776081,8,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.807124681933842,8,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.865139949109415,9,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.883460559796438,9,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.902290076335878,9,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.917557251908397,9,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.894656488549618,9,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",732,0.939949109414758,9,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.810687022900763,9,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.860559796437659,10,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.893638676844784,10,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.916030534351145,10,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.92264631043257,10,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.891094147582697,10,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",733,0.944020356234097,10,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.8,10,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.861068702290076,11,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.889058524173028,11,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.897201017811705,11,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.916539440203562,11,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.901272264631043,11,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",733,0.937913486005089,11,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.816284987277354,11,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.860050890585242,12,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.894147582697201,12,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.906870229007634,12,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.916539440203562,12,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.902798982188295,12,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",734,0.941984732824428,12,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.806106870229008,12,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.863613231552163,13,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.89058524173028,13,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.913994910941476,13,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.912468193384224,13,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.894147582697201,13,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",734,0.942493638676845,13,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.810687022900763,13,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.865139949109415,14,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.895165394402036,14,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.908905852417303,14,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.918066157760814,14,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.891094147582697,14,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",732,0.94147582697201,14,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.812722646310433,14,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.86412213740458,15,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.897709923664122,15,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.908905852417303,15,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.91501272264631,15,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.904325699745547,15,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",733,0.945038167938931,15,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.806106870229008,15,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.856997455470738,16,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.895674300254453,16,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.910432569974555,16,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.906361323155216,16,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.890076335877863,16,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",734,0.936895674300254,16,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.80559796437659,16,"NonInvasiveFetalECGThorax2","svm"
"catch22",22,0.859033078880407,17,"NonInvasiveFetalECGThorax2","svm"
"feasts",36,0.891094147582697,17,"NonInvasiveFetalECGThorax2","svm"
"tsfeatures",59,0.904834605597964,17,"NonInvasiveFetalECGThorax2","svm"
"TSFEL",146,0.911450381679389,17,"NonInvasiveFetalECGThorax2","svm"
"Kats",34,0.892111959287532,17,"NonInvasiveFetalECGThorax2","svm"
"tsfresh",732,0.936386768447837,17,"NonInvasiveFetalECGThorax2","svm"
"timegp",10,0.812213740458015,17,"NonInvasiveFetalECGThorax2","svm"
