"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",19,0.7,1,"OliveOil","svm"
"feasts",31,0.733333333333333,1,"OliveOil","svm"
"tsfeatures",51,0.766666666666667,1,"OliveOil","svm"
"TSFEL",139,0.8,1,"OliveOil","svm"
"Kats",32,0.7,1,"OliveOil","svm"
"tsfresh",713,0.8,1,"OliveOil","svm"
"timegp",3,0.666666666666667,1,"OliveOil","svm"
"catch22",19,0.733333333333333,2,"OliveOil","svm"
"feasts",31,0.733333333333333,2,"OliveOil","svm"
"tsfeatures",51,0.7,2,"OliveOil","svm"
"TSFEL",139,0.7,2,"OliveOil","svm"
"Kats",32,0.6,2,"OliveOil","svm"
"tsfresh",713,0.833333333333333,2,"OliveOil","svm"
"timegp",3,0.733333333333333,2,"OliveOil","svm"
"catch22",19,0.8,3,"OliveOil","svm"
"feasts",31,0.566666666666667,3,"OliveOil","svm"
"tsfeatures",51,0.6,3,"OliveOil","svm"
"TSFEL",139,0.733333333333333,3,"OliveOil","svm"
"Kats",32,0.7,3,"OliveOil","svm"
"tsfresh",713,0.9,3,"OliveOil","svm"
"timegp",3,0.7,3,"OliveOil","svm"
"catch22",19,0.8,4,"OliveOil","svm"
"feasts",31,0.766666666666667,4,"OliveOil","svm"
"tsfeatures",51,0.7,4,"OliveOil","svm"
"TSFEL",139,0.666666666666667,4,"OliveOil","svm"
"Kats",33,0.6,4,"OliveOil","svm"
"tsfresh",713,0.8,4,"OliveOil","svm"
"timegp",3,0.7,4,"OliveOil","svm"
"catch22",19,0.733333333333333,5,"OliveOil","svm"
"feasts",31,0.8,5,"OliveOil","svm"
"tsfeatures",51,0.833333333333333,5,"OliveOil","svm"
"TSFEL",139,0.766666666666667,5,"OliveOil","svm"
"Kats",33,0.733333333333333,5,"OliveOil","svm"
"tsfresh",712,0.766666666666667,5,"OliveOil","svm"
"timegp",3,0.733333333333333,5,"OliveOil","svm"
"catch22",19,0.7,6,"OliveOil","svm"
"feasts",31,0.666666666666667,6,"OliveOil","svm"
"tsfeatures",51,0.766666666666667,6,"OliveOil","svm"
"TSFEL",139,0.633333333333333,6,"OliveOil","svm"
"Kats",33,0.6,6,"OliveOil","svm"
"tsfresh",713,0.866666666666667,6,"OliveOil","svm"
"timegp",3,0.666666666666667,6,"OliveOil","svm"
"catch22",16,0.7,7,"OliveOil","svm"
"feasts",31,0.733333333333333,7,"OliveOil","svm"
"tsfeatures",51,0.7,7,"OliveOil","svm"
"TSFEL",138,0.666666666666667,7,"OliveOil","svm"
"Kats",32,0.566666666666667,7,"OliveOil","svm"
"tsfresh",710,0.8,7,"OliveOil","svm"
"timegp",3,0.733333333333333,7,"OliveOil","svm"
"catch22",19,0.9,8,"OliveOil","svm"
"feasts",31,0.9,8,"OliveOil","svm"
"tsfeatures",51,0.733333333333333,8,"OliveOil","svm"
"TSFEL",139,0.833333333333333,8,"OliveOil","svm"
"Kats",33,0.8,8,"OliveOil","svm"
"tsfresh",713,0.9,8,"OliveOil","svm"
"timegp",3,0.8,8,"OliveOil","svm"
"catch22",19,0.733333333333333,9,"OliveOil","svm"
"feasts",31,0.866666666666667,9,"OliveOil","svm"
"tsfeatures",51,0.733333333333333,9,"OliveOil","svm"
"TSFEL",139,0.833333333333333,9,"OliveOil","svm"
"Kats",33,0.766666666666667,9,"OliveOil","svm"
"tsfresh",711,0.833333333333333,9,"OliveOil","svm"
"timegp",3,0.7,9,"OliveOil","svm"
"catch22",19,0.6,10,"OliveOil","svm"
"feasts",31,0.633333333333333,10,"OliveOil","svm"
