"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.715617715617716,1,"PhalangesOutlinesCorrect","svm"
"2","feasts",38,0.712121212121212,1,"PhalangesOutlinesCorrect","svm"
"3","tsfeatures",59,0.722610722610723,1,"PhalangesOutlinesCorrect","svm"
"4","TSFEL",142,0.780885780885781,1,"PhalangesOutlinesCorrect","svm"
"5","Kats",36,0.726107226107226,1,"PhalangesOutlinesCorrect","svm"
"6","tsfresh",486,0.777389277389277,1,"PhalangesOutlinesCorrect","svm"
"7","quantiles",101,0.63986013986014,1,"PhalangesOutlinesCorrect","svm"
"8","FFT (Mag^2 + Angle) + quantiles",183,0.694638694638695,1,"PhalangesOutlinesCorrect","svm"
"9","catch22",22,0.715617715617716,2,"PhalangesOutlinesCorrect","svm"
"10","feasts",38,0.733100233100233,2,"PhalangesOutlinesCorrect","svm"
"11","tsfeatures",59,0.734265734265734,2,"PhalangesOutlinesCorrect","svm"
"12","TSFEL",142,0.800699300699301,2,"PhalangesOutlinesCorrect","svm"
"13","Kats",36,0.754079254079254,2,"PhalangesOutlinesCorrect","svm"
"14","tsfresh",486,0.7995337995338,2,"PhalangesOutlinesCorrect","svm"
"15","quantiles",101,0.666666666666667,2,"PhalangesOutlinesCorrect","svm"
"16","FFT (Mag^2 + Angle) + quantiles",183,0.728438228438228,2,"PhalangesOutlinesCorrect","svm"
"17","catch22",22,0.713286713286713,3,"PhalangesOutlinesCorrect","svm"
"18","feasts",38,0.743589743589744,3,"PhalangesOutlinesCorrect","svm"
"19","tsfeatures",59,0.749417249417249,3,"PhalangesOutlinesCorrect","svm"
"20","TSFEL",142,0.791375291375291,3,"PhalangesOutlinesCorrect","svm"
"21","Kats",36,0.752913752913753,3,"PhalangesOutlinesCorrect","svm"
"22","tsfresh",485,0.777389277389277,3,"PhalangesOutlinesCorrect","svm"
"23","quantiles",101,0.681818181818182,3,"PhalangesOutlinesCorrect","svm"
"24","FFT (Mag^2 + Angle) + quantiles",183,0.721445221445221,3,"PhalangesOutlinesCorrect","svm"
"25","catch22",22,0.707459207459207,4,"PhalangesOutlinesCorrect","svm"
"26","feasts",38,0.721445221445221,4,"PhalangesOutlinesCorrect","svm"
"27","tsfeatures",59,0.750582750582751,4,"PhalangesOutlinesCorrect","svm"
"28","TSFEL",142,0.800699300699301,4,"PhalangesOutlinesCorrect","svm"
"29","Kats",36,0.752913752913753,4,"PhalangesOutlinesCorrect","svm"
"30","tsfresh",486,0.811188811188811,4,"PhalangesOutlinesCorrect","svm"
"31","quantiles",101,0.672494172494173,4,"PhalangesOutlinesCorrect","svm"
"32","FFT (Mag^2 + Angle) + quantiles",183,0.716783216783217,4,"PhalangesOutlinesCorrect","svm"
"33","catch22",22,0.710955710955711,5,"PhalangesOutlinesCorrect","svm"
"34","feasts",38,0.730769230769231,5,"PhalangesOutlinesCorrect","svm"
"35","tsfeatures",59,0.748251748251748,5,"PhalangesOutlinesCorrect","svm"
"36","TSFEL",142,0.808857808857809,5,"PhalangesOutlinesCorrect","svm"
"37","Kats",36,0.751748251748252,5,"PhalangesOutlinesCorrect","svm"
"38","tsfresh",486,0.808857808857809,5,"PhalangesOutlinesCorrect","svm"
"39","quantiles",101,0.677156177156177,5,"PhalangesOutlinesCorrect","svm"
"40","FFT (Mag^2 + Angle) + quantiles",183,0.723776223776224,5,"PhalangesOutlinesCorrect","svm"
"41","catch22",22,0.70979020979021,6,"PhalangesOutlinesCorrect","svm"
"42","feasts",38,0.731934731934732,6,"PhalangesOutlinesCorrect","svm"
"43","tsfeatures",59,0.74009324009324,6,"PhalangesOutlinesCorrect","svm"
"44","TSFEL",142,0.798368298368298,6,"PhalangesOutlinesCorrect","svm"
"45","Kats",36,0.743589743589744,6,"PhalangesOutlinesCorrect","svm"
"46","tsfresh",485,0.825174825174825,6,"PhalangesOutlinesCorrect","svm"
"47","quantiles",101,0.662004662004662,6,"PhalangesOutlinesCorrect","svm"
"48","FFT (Mag^2 + Angle) + quantiles",183,0.730769230769231,6,"PhalangesOutlinesCorrect","svm"
"49","catch22",22,0.708624708624709,7,"PhalangesOutlinesCorrect","svm"
"50","feasts",38,0.735431235431235,7,"PhalangesOutlinesCorrect","svm"
"51","tsfeatures",59,0.762237762237762,7,"PhalangesOutlinesCorrect","svm"
"52","TSFEL",142,0.794871794871795,7,"PhalangesOutlinesCorrect","svm"
"53","Kats",36,0.756410256410256,7,"PhalangesOutlinesCorrect","svm"
"54","tsfresh",486,0.807692307692308,7,"PhalangesOutlinesCorrect","svm"
"55","quantiles",101,0.677156177156177,7,"PhalangesOutlinesCorrect","svm"
"56","FFT (Mag^2 + Angle) + quantiles",183,0.731934731934732,7,"PhalangesOutlinesCorrect","svm"
"57","catch22",22,0.707459207459207,8,"PhalangesOutlinesCorrect","svm"
"58","feasts",38,0.722610722610723,8,"PhalangesOutlinesCorrect","svm"
"59","tsfeatures",59,0.719114219114219,8,"PhalangesOutlinesCorrect","svm"
"60","TSFEL",142,0.797202797202797,8,"PhalangesOutlinesCorrect","svm"
"61","Kats",36,0.724941724941725,8,"PhalangesOutlinesCorrect","svm"
"62","tsfresh",485,0.800699300699301,8,"PhalangesOutlinesCorrect","svm"
"63","quantiles",101,0.671328671328671,8,"PhalangesOutlinesCorrect","svm"
"64","FFT (Mag^2 + Angle) + quantiles",183,0.734265734265734,8,"PhalangesOutlinesCorrect","svm"
"65","catch22",22,0.723776223776224,9,"PhalangesOutlinesCorrect","svm"
"66","feasts",38,0.733100233100233,9,"PhalangesOutlinesCorrect","svm"
"67","tsfeatures",59,0.741258741258741,9,"PhalangesOutlinesCorrect","svm"
"68","TSFEL",142,0.783216783216783,9,"PhalangesOutlinesCorrect","svm"
"69","Kats",36,0.750582750582751,9,"PhalangesOutlinesCorrect","svm"
"70","tsfresh",486,0.818181818181818,9,"PhalangesOutlinesCorrect","svm"
"71","quantiles",101,0.658508158508158,9,"PhalangesOutlinesCorrect","svm"
