"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.620879120879121,1,"PhoneHeartbeatSound","svm"
"feasts",38,0.648351648351648,1,"PhoneHeartbeatSound","svm"
"tsfeatures",59,0.626373626373626,1,"PhoneHeartbeatSound","svm"
"TSFEL",144,0.598901098901099,1,"PhoneHeartbeatSound","svm"
"Kats",36,0.642857142857143,1,"PhoneHeartbeatSound","svm"
"tsfresh",735,0.56043956043956,1,"PhoneHeartbeatSound","svm"
"quantiles",101,0.582417582417582,1,"PhoneHeartbeatSound","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.373626373626374,1,"PhoneHeartbeatSound","svm"
"FFT coefficients",399,0.445054945054945,1,"PhoneHeartbeatSound","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.510989010989011,1,"PhoneHeartbeatSound","svm"
"FFT (Re, Im) + quantiles",300,0.461538461538462,1,"PhoneHeartbeatSound","svm"
"FFT (Mag, Angle) + quantiles",301,0.434065934065934,1,"PhoneHeartbeatSound","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.461538461538462,1,"PhoneHeartbeatSound","svm"
"catch22",22,0.615384615384615,2,"PhoneHeartbeatSound","svm"
"feasts",38,0.653846153846154,2,"PhoneHeartbeatSound","svm"
"tsfeatures",59,0.626373626373626,2,"PhoneHeartbeatSound","svm"
"TSFEL",144,0.54945054945055,2,"PhoneHeartbeatSound","svm"
"Kats",36,0.60989010989011,2,"PhoneHeartbeatSound","svm"
"tsfresh",735,0.593406593406593,2,"PhoneHeartbeatSound","svm"
"quantiles",101,0.593406593406593,2,"PhoneHeartbeatSound","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.532967032967033,2,"PhoneHeartbeatSound","svm"
"FFT coefficients",399,0.483516483516484,2,"PhoneHeartbeatSound","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.510989010989011,2,"PhoneHeartbeatSound","svm"
"FFT (Re, Im) + quantiles",300,0.43956043956044,2,"PhoneHeartbeatSound","svm"
"FFT (Mag, Angle) + quantiles",301,0.527472527472527,2,"PhoneHeartbeatSound","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.494505494505495,2,"PhoneHeartbeatSound","svm"
"catch22",22,0.543956043956044,3,"PhoneHeartbeatSound","svm"
"feasts",39,0.642857142857143,3,"PhoneHeartbeatSound","svm"
"tsfeatures",59,0.620879120879121,3,"PhoneHeartbeatSound","svm"
"TSFEL",144,0.587912087912088,3,"PhoneHeartbeatSound","svm"
"Kats",36,0.604395604395604,3,"PhoneHeartbeatSound","svm"
"tsfresh",735,0.532967032967033,3,"PhoneHeartbeatSound","svm"
"quantiles",101,0.598901098901099,3,"PhoneHeartbeatSound","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.461538461538462,3,"PhoneHeartbeatSound","svm"
"FFT coefficients",399,0.445054945054945,3,"PhoneHeartbeatSound","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.54945054945055,3,"PhoneHeartbeatSound","svm"
"FFT (Re, Im) + quantiles",300,0.434065934065934,3,"PhoneHeartbeatSound","svm"
"FFT (Mag, Angle) + quantiles",301,0.5,3,"PhoneHeartbeatSound","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.516483516483517,3,"PhoneHeartbeatSound","svm"
"catch22",22,0.582417582417582,4,"PhoneHeartbeatSound","svm"
"feasts",37,0.615384615384615,4,"PhoneHeartbeatSound","svm"
"tsfeatures",59,0.60989010989011,4,"PhoneHeartbeatSound","svm"
"TSFEL",144,0.56043956043956,4,"PhoneHeartbeatSound","svm"
"Kats",36,0.60989010989011,4,"PhoneHeartbeatSound","svm"
"tsfresh",735,0.489010989010989,4,"PhoneHeartbeatSound","svm"
"quantiles",101,0.565934065934066,4,"PhoneHeartbeatSound","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.395604395604396,4,"PhoneHeartbeatSound","svm"
"FFT coefficients",399,0.450549450549451,4,"PhoneHeartbeatSound","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.489010989010989,4,"PhoneHeartbeatSound","svm"
"FFT (Re, Im) + quantiles",300,0.401098901098901,4,"PhoneHeartbeatSound","svm"
"FFT (Mag, Angle) + quantiles",301,0.417582417582418,4,"PhoneHeartbeatSound","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.39010989010989,4,"PhoneHeartbeatSound","svm"
"catch22",22,0.56043956043956,5,"PhoneHeartbeatSound","svm"
"feasts",38,0.582417582417582,5,"PhoneHeartbeatSound","svm"
"tsfeatures",59,0.587912087912088,5,"PhoneHeartbeatSound","svm"
"TSFEL",144,0.587912087912088,5,"PhoneHeartbeatSound","svm"
"Kats",36,0.565934065934066,5,"PhoneHeartbeatSound","svm"
"tsfresh",735,0.516483516483517,5,"PhoneHeartbeatSound","svm"
"quantiles",101,0.593406593406593,5,"PhoneHeartbeatSound","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.478021978021978,5,"PhoneHeartbeatSound","svm"
"FFT coefficients",399,0.450549450549451,5,"PhoneHeartbeatSound","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.489010989010989,5,"PhoneHeartbeatSound","svm"
"FFT (Re, Im) + quantiles",300,0.379120879120879,5,"PhoneHeartbeatSound","svm"
"FFT (Mag, Angle) + quantiles",301,0.467032967032967,5,"PhoneHeartbeatSound","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.483516483516484,5,"PhoneHeartbeatSound","svm"
"catch22",22,0.576923076923077,6,"PhoneHeartbeatSound","svm"
"feasts",38,0.576923076923077,6,"PhoneHeartbeatSound","svm"
"tsfeatures",59,0.626373626373626,6,"PhoneHeartbeatSound","svm"
"TSFEL",144,0.576923076923077,6,"PhoneHeartbeatSound","svm"
"Kats",36,0.593406593406593,6,"PhoneHeartbeatSound","svm"
"tsfresh",735,0.5,6,"PhoneHeartbeatSound","svm"
