"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.129807692307692,1,"PigAirwayPressure","svm"
"2","feasts",39,0.1875,1,"PigAirwayPressure","svm"
"3","tsfeatures",59,0.197115384615385,1,"PigAirwayPressure","svm"
"4","TSFEL",144,0.144230769230769,1,"PigAirwayPressure","svm"
"5","Kats",36,0.240384615384615,1,"PigAirwayPressure","svm"
"6","tsfresh",736,0.0913461538461538,1,"PigAirwayPressure","svm"
"7","quantiles",101,0.177884615384615,1,"PigAirwayPressure","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.129807692307692,1,"PigAirwayPressure","svm"
"9","catch22",22,0.139423076923077,2,"PigAirwayPressure","svm"
"10","feasts",39,0.182692307692308,2,"PigAirwayPressure","svm"
"11","tsfeatures",59,0.254807692307692,2,"PigAirwayPressure","svm"
"12","TSFEL",144,0.149038461538462,2,"PigAirwayPressure","svm"
"13","Kats",36,0.278846153846154,2,"PigAirwayPressure","svm"
"14","tsfresh",731,0.110576923076923,2,"PigAirwayPressure","svm"
"15","quantiles",101,0.173076923076923,2,"PigAirwayPressure","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.149038461538462,2,"PigAirwayPressure","svm"
"17","catch22",22,0.163461538461538,3,"PigAirwayPressure","svm"
"18","feasts",39,0.216346153846154,3,"PigAirwayPressure","svm"
"19","tsfeatures",59,0.25,3,"PigAirwayPressure","svm"
"20","TSFEL",144,0.129807692307692,3,"PigAirwayPressure","svm"
"21","Kats",36,0.278846153846154,3,"PigAirwayPressure","svm"
"22","tsfresh",732,0.129807692307692,3,"PigAirwayPressure","svm"
"23","quantiles",101,0.149038461538462,3,"PigAirwayPressure","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.129807692307692,3,"PigAirwayPressure","svm"
"25","catch22",22,0.144230769230769,4,"PigAirwayPressure","svm"
"26","feasts",39,0.192307692307692,4,"PigAirwayPressure","svm"
"27","tsfeatures",59,0.211538461538462,4,"PigAirwayPressure","svm"
"28","TSFEL",144,0.125,4,"PigAirwayPressure","svm"
"29","Kats",36,0.201923076923077,4,"PigAirwayPressure","svm"
"30","tsfresh",731,0.110576923076923,4,"PigAirwayPressure","svm"
"31","quantiles",101,0.125,4,"PigAirwayPressure","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.105769230769231,4,"PigAirwayPressure","svm"
"33","catch22",22,0.149038461538462,5,"PigAirwayPressure","svm"
"34","feasts",39,0.182692307692308,5,"PigAirwayPressure","svm"
"35","tsfeatures",59,0.235576923076923,5,"PigAirwayPressure","svm"
"36","TSFEL",144,0.177884615384615,5,"PigAirwayPressure","svm"
"37","Kats",36,0.293269230769231,5,"PigAirwayPressure","svm"
"38","tsfresh",735,0.105769230769231,5,"PigAirwayPressure","svm"
"39","quantiles",101,0.168269230769231,5,"PigAirwayPressure","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.120192307692308,5,"PigAirwayPressure","svm"
"41","catch22",22,0.153846153846154,6,"PigAirwayPressure","svm"
"42","feasts",39,0.230769230769231,6,"PigAirwayPressure","svm"
"43","tsfeatures",59,0.245192307692308,6,"PigAirwayPressure","svm"
"44","TSFEL",144,0.197115384615385,6,"PigAirwayPressure","svm"
"45","Kats",36,0.235576923076923,6,"PigAirwayPressure","svm"
"46","tsfresh",731,0.139423076923077,6,"PigAirwayPressure","svm"
"47","quantiles",101,0.163461538461538,6,"PigAirwayPressure","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.134615384615385,6,"PigAirwayPressure","svm"
"49","catch22",22,0.163461538461538,7,"PigAirwayPressure","svm"
"50","feasts",39,0.163461538461538,7,"PigAirwayPressure","svm"
"51","tsfeatures",59,0.211538461538462,7,"PigAirwayPressure","svm"
"52","TSFEL",144,0.129807692307692,7,"PigAirwayPressure","svm"
"53","Kats",36,0.235576923076923,7,"PigAirwayPressure","svm"
"54","tsfresh",736,0.115384615384615,7,"PigAirwayPressure","svm"
"55","quantiles",101,0.168269230769231,7,"PigAirwayPressure","svm"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.120192307692308,7,"PigAirwayPressure","svm"
"57","catch22",22,0.153846153846154,8,"PigAirwayPressure","svm"
"58","feasts",39,0.221153846153846,8,"PigAirwayPressure","svm"
"59","tsfeatures",59,0.240384615384615,8,"PigAirwayPressure","svm"
"60","TSFEL",144,0.163461538461538,8,"PigAirwayPressure","svm"
"61","Kats",36,0.274038461538462,8,"PigAirwayPressure","svm"
"62","tsfresh",737,0.125,8,"PigAirwayPressure","svm"
"63","quantiles",101,0.149038461538462,8,"PigAirwayPressure","svm"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.125,8,"PigAirwayPressure","svm"
"65","catch22",22,0.144230769230769,9,"PigAirwayPressure","svm"
"66","feasts",39,0.182692307692308,9,"PigAirwayPressure","svm"
"67","tsfeatures",59,0.225961538461538,9,"PigAirwayPressure","svm"
"68","TSFEL",144,0.149038461538462,9,"PigAirwayPressure","svm"
"69","Kats",36,0.278846153846154,9,"PigAirwayPressure","svm"
"70","tsfresh",731,0.115384615384615,9,"PigAirwayPressure","svm"
"71","quantiles",101,0.1875,9,"PigAirwayPressure","svm"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.110576923076923,9,"PigAirwayPressure","svm"
"73","catch22",22,0.149038461538462,10,"PigAirwayPressure","svm"
"74","feasts",39,0.201923076923077,10,"PigAirwayPressure","svm"
"75","tsfeatures",59,0.216346153846154,10,"PigAirwayPressure","svm"
"76","TSFEL",144,0.173076923076923,10,"PigAirwayPressure","svm"
"77","Kats",36,0.235576923076923,10,"PigAirwayPressure","svm"
"78","tsfresh",731,0.100961538461538,10,"PigAirwayPressure","svm"
"79","quantiles",101,0.168269230769231,10,"PigAirwayPressure","svm"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.125,10,"PigAirwayPressure","svm"
"81","catch22",22,0.173076923076923,11,"PigAirwayPressure","svm"
"82","feasts",39,0.197115384615385,11,"PigAirwayPressure","svm"
"83","tsfeatures",59,0.264423076923077,11,"PigAirwayPressure","svm"
"84","TSFEL",144,0.163461538461538,11,"PigAirwayPressure","svm"
"85","Kats",36,0.225961538461538,11,"PigAirwayPressure","svm"
"86","tsfresh",732,0.110576923076923,11,"PigAirwayPressure","svm"
"87","quantiles",101,0.1875,11,"PigAirwayPressure","svm"
"88","FFT (Mag^2 + Angle) + quantiles",301,0.125,11,"PigAirwayPressure","svm"
"89","catch22",22,0.129807692307692,12,"PigAirwayPressure","svm"
"90","feasts",39,0.211538461538462,12,"PigAirwayPressure","svm"
"91","tsfeatures",59,0.230769230769231,12,"PigAirwayPressure","svm"
"92","TSFEL",144,0.149038461538462,12,"PigAirwayPressure","svm"
"93","Kats",36,0.269230769230769,12,"PigAirwayPressure","svm"
"94","tsfresh",732,0.0961538461538462,12,"PigAirwayPressure","svm"
"95","quantiles",101,0.168269230769231,12,"PigAirwayPressure","svm"
"96","FFT (Mag^2 + Angle) + quantiles",301,0.115384615384615,12,"PigAirwayPressure","svm"
"97","catch22",22,0.163461538461538,13,"PigAirwayPressure","svm"
"98","feasts",39,0.211538461538462,13,"PigAirwayPressure","svm"
"99","tsfeatures",59,0.192307692307692,13,"PigAirwayPressure","svm"
"100","TSFEL",144,0.110576923076923,13,"PigAirwayPressure","svm"
"101","Kats",36,0.201923076923077,13,"PigAirwayPressure","svm"
"102","tsfresh",732,0.100961538461538,13,"PigAirwayPressure","svm"
"103","quantiles",101,0.182692307692308,13,"PigAirwayPressure","svm"
"104","FFT (Mag^2 + Angle) + quantiles",301,0.115384615384615,13,"PigAirwayPressure","svm"
"105","catch22",22,0.0865384615384615,14,"PigAirwayPressure","svm"
