"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.769230769230769,1,"PigArtPressure","svm"
"feasts",37,0.581730769230769,1,"PigArtPressure","svm"
"tsfeatures",59,0.745192307692308,1,"PigArtPressure","svm"
"TSFEL",144,0.596153846153846,1,"PigArtPressure","svm"
"Kats",36,0.466346153846154,1,"PigArtPressure","svm"
"tsfresh",735,0.379807692307692,1,"PigArtPressure","svm"
"timegp",6,0.745192307692308,1,"PigArtPressure","svm"
"catch22",22,0.634615384615385,2,"PigArtPressure","svm"
"feasts",37,0.543269230769231,2,"PigArtPressure","svm"
"tsfeatures",59,0.682692307692308,2,"PigArtPressure","svm"
"TSFEL",144,0.543269230769231,2,"PigArtPressure","svm"
"Kats",36,0.528846153846154,2,"PigArtPressure","svm"
"tsfresh",734,0.408653846153846,2,"PigArtPressure","svm"
"timegp",6,0.716346153846154,2,"PigArtPressure","svm"
"catch22",22,0.639423076923077,3,"PigArtPressure","svm"
"feasts",37,0.557692307692308,3,"PigArtPressure","svm"
"tsfeatures",59,0.725961538461538,3,"PigArtPressure","svm"
"TSFEL",144,0.610576923076923,3,"PigArtPressure","svm"
"Kats",36,0.5625,3,"PigArtPressure","svm"
"tsfresh",735,0.375,3,"PigArtPressure","svm"
"timegp",6,0.673076923076923,3,"PigArtPressure","svm"
"catch22",22,0.644230769230769,4,"PigArtPressure","svm"
"feasts",37,0.504807692307692,4,"PigArtPressure","svm"
"tsfeatures",59,0.663461538461538,4,"PigArtPressure","svm"
"TSFEL",144,0.548076923076923,4,"PigArtPressure","svm"
"Kats",36,0.461538461538462,4,"PigArtPressure","svm"
"tsfresh",735,0.394230769230769,4,"PigArtPressure","svm"
"timegp",6,0.6875,4,"PigArtPressure","svm"
"catch22",22,0.649038461538462,5,"PigArtPressure","svm"
"feasts",37,0.504807692307692,5,"PigArtPressure","svm"
"tsfeatures",59,0.653846153846154,5,"PigArtPressure","svm"
"TSFEL",144,0.543269230769231,5,"PigArtPressure","svm"
"Kats",36,0.5,5,"PigArtPressure","svm"
"tsfresh",735,0.326923076923077,5,"PigArtPressure","svm"
"timegp",6,0.663461538461538,5,"PigArtPressure","svm"
"catch22",22,0.634615384615385,6,"PigArtPressure","svm"
"feasts",37,0.557692307692308,6,"PigArtPressure","svm"
"tsfeatures",59,0.754807692307692,6,"PigArtPressure","svm"
"TSFEL",144,0.615384615384615,6,"PigArtPressure","svm"
"Kats",36,0.504807692307692,6,"PigArtPressure","svm"
"tsfresh",734,0.350961538461538,6,"PigArtPressure","svm"
"timegp",6,0.677884615384615,6,"PigArtPressure","svm"
"catch22",22,0.6875,7,"PigArtPressure","svm"
"feasts",37,0.495192307692308,7,"PigArtPressure","svm"
"tsfeatures",59,0.663461538461538,7,"PigArtPressure","svm"
"TSFEL",144,0.576923076923077,7,"PigArtPressure","svm"
"Kats",36,0.423076923076923,7,"PigArtPressure","svm"
"tsfresh",735,0.350961538461538,7,"PigArtPressure","svm"
"timegp",6,0.668269230769231,7,"PigArtPressure","svm"
"catch22",22,0.610576923076923,8,"PigArtPressure","svm"
"feasts",37,0.451923076923077,8,"PigArtPressure","svm"
"tsfeatures",59,0.701923076923077,8,"PigArtPressure","svm"
"TSFEL",144,0.572115384615385,8,"PigArtPressure","svm"
"Kats",36,0.533653846153846,8,"PigArtPressure","svm"
"tsfresh",734,0.399038461538462,8,"PigArtPressure","svm"
"timegp",6,0.639423076923077,8,"PigArtPressure","svm"
"catch22",22,0.644230769230769,9,"PigArtPressure","svm"
"feasts",37,0.528846153846154,9,"PigArtPressure","svm"
"tsfeatures",59,0.639423076923077,9,"PigArtPressure","svm"
"TSFEL",144,0.615384615384615,9,"PigArtPressure","svm"
"Kats",36,0.543269230769231,9,"PigArtPressure","svm"
"tsfresh",735,0.360576923076923,9,"PigArtPressure","svm"
