"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.790243902439024,1,"ProximalPhalanxOutlineAgeGroup","svm"
"feasts",34,0.839024390243902,1,"ProximalPhalanxOutlineAgeGroup","svm"
"tsfeatures",59,0.819512195121951,1,"ProximalPhalanxOutlineAgeGroup","svm"
"TSFEL",141,0.814634146341463,1,"ProximalPhalanxOutlineAgeGroup","svm"
"Kats",36,0.84390243902439,1,"ProximalPhalanxOutlineAgeGroup","svm"
"tsfresh",479,0.8,1,"ProximalPhalanxOutlineAgeGroup","svm"
"quantiles",101,0.765853658536585,1,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Mag^2 + Angle) + quantiles",183,0.731707317073171,1,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT coefficients",162,0.785365853658537,1,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",263,0.809756097560976,1,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Re, Im) + quantiles",181,0.804878048780488,1,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Mag, Angle) + quantiles",183,0.75609756097561,1,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (log(Mag), Angle) + quantiles",182,0.795121951219512,1,"ProximalPhalanxOutlineAgeGroup","svm"
"catch22",22,0.834146341463415,2,"ProximalPhalanxOutlineAgeGroup","svm"
"feasts",34,0.853658536585366,2,"ProximalPhalanxOutlineAgeGroup","svm"
"tsfeatures",59,0.839024390243902,2,"ProximalPhalanxOutlineAgeGroup","svm"
"TSFEL",141,0.8,2,"ProximalPhalanxOutlineAgeGroup","svm"
"Kats",36,0.863414634146341,2,"ProximalPhalanxOutlineAgeGroup","svm"
"tsfresh",478,0.795121951219512,2,"ProximalPhalanxOutlineAgeGroup","svm"
"quantiles",101,0.804878048780488,2,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Mag^2 + Angle) + quantiles",183,0.75609756097561,2,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT coefficients",162,0.814634146341463,2,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",263,0.795121951219512,2,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Re, Im) + quantiles",181,0.804878048780488,2,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Mag, Angle) + quantiles",183,0.751219512195122,2,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (log(Mag), Angle) + quantiles",182,0.765853658536585,2,"ProximalPhalanxOutlineAgeGroup","svm"
"catch22",22,0.824390243902439,3,"ProximalPhalanxOutlineAgeGroup","svm"
"feasts",34,0.829268292682927,3,"ProximalPhalanxOutlineAgeGroup","svm"
"tsfeatures",59,0.834146341463415,3,"ProximalPhalanxOutlineAgeGroup","svm"
"TSFEL",141,0.790243902439024,3,"ProximalPhalanxOutlineAgeGroup","svm"
"Kats",36,0.868292682926829,3,"ProximalPhalanxOutlineAgeGroup","svm"
"tsfresh",478,0.780487804878049,3,"ProximalPhalanxOutlineAgeGroup","svm"
"quantiles",101,0.8,3,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Mag^2 + Angle) + quantiles",183,0.721951219512195,3,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT coefficients",162,0.790243902439024,3,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",263,0.775609756097561,3,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Re, Im) + quantiles",181,0.731707317073171,3,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (Mag, Angle) + quantiles",183,0.726829268292683,3,"ProximalPhalanxOutlineAgeGroup","svm"
"FFT (log(Mag), Angle) + quantiles",182,0.746341463414634,3,"ProximalPhalanxOutlineAgeGroup","svm"
"catch22",22,0.795121951219512,4,"ProximalPhalanxOutlineAgeGroup","svm"
"feasts",34,0.790243902439024,4,"ProximalPhalanxOutlineAgeGroup","svm"
