"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.770731707317073,1,"ProximalPhalanxTW","svm"
"feasts",34,0.765853658536585,1,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.726829268292683,1,"ProximalPhalanxTW","svm"
"TSFEL",141,0.741463414634146,1,"ProximalPhalanxTW","svm"
"Kats",36,0.746341463414634,1,"ProximalPhalanxTW","svm"
"tsfresh",478,0.75609756097561,1,"ProximalPhalanxTW","svm"
"timegp",6,0.765853658536585,1,"ProximalPhalanxTW","svm"
"catch22",22,0.765853658536585,2,"ProximalPhalanxTW","svm"
"feasts",34,0.785365853658537,2,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.746341463414634,2,"ProximalPhalanxTW","svm"
"TSFEL",141,0.697560975609756,2,"ProximalPhalanxTW","svm"
"Kats",36,0.741463414634146,2,"ProximalPhalanxTW","svm"
"tsfresh",478,0.765853658536585,2,"ProximalPhalanxTW","svm"
"timegp",6,0.809756097560976,2,"ProximalPhalanxTW","svm"
"catch22",22,0.765853658536585,3,"ProximalPhalanxTW","svm"
"feasts",34,0.765853658536585,3,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.780487804878049,3,"ProximalPhalanxTW","svm"
"TSFEL",141,0.746341463414634,3,"ProximalPhalanxTW","svm"
"Kats",36,0.770731707317073,3,"ProximalPhalanxTW","svm"
"tsfresh",477,0.751219512195122,3,"ProximalPhalanxTW","svm"
"timegp",6,0.809756097560976,3,"ProximalPhalanxTW","svm"
"catch22",22,0.760975609756098,4,"ProximalPhalanxTW","svm"
"feasts",34,0.765853658536585,4,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.746341463414634,4,"ProximalPhalanxTW","svm"
"TSFEL",141,0.721951219512195,4,"ProximalPhalanxTW","svm"
"Kats",36,0.75609756097561,4,"ProximalPhalanxTW","svm"
"tsfresh",477,0.765853658536585,4,"ProximalPhalanxTW","svm"
"timegp",6,0.795121951219512,4,"ProximalPhalanxTW","svm"
"catch22",22,0.785365853658537,5,"ProximalPhalanxTW","svm"
"feasts",34,0.809756097560976,5,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.751219512195122,5,"ProximalPhalanxTW","svm"
"TSFEL",141,0.780487804878049,5,"ProximalPhalanxTW","svm"
"Kats",36,0.785365853658537,5,"ProximalPhalanxTW","svm"
"tsfresh",478,0.790243902439024,5,"ProximalPhalanxTW","svm"
"timegp",6,0.785365853658537,5,"ProximalPhalanxTW","svm"
"catch22",22,0.809756097560976,6,"ProximalPhalanxTW","svm"
"feasts",34,0.814634146341463,6,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.765853658536585,6,"ProximalPhalanxTW","svm"
"TSFEL",141,0.770731707317073,6,"ProximalPhalanxTW","svm"
"Kats",36,0.780487804878049,6,"ProximalPhalanxTW","svm"
"tsfresh",478,0.75609756097561,6,"ProximalPhalanxTW","svm"
"timegp",6,0.824390243902439,6,"ProximalPhalanxTW","svm"
"catch22",22,0.804878048780488,7,"ProximalPhalanxTW","svm"
"feasts",34,0.785365853658537,7,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.746341463414634,7,"ProximalPhalanxTW","svm"
"TSFEL",141,0.75609756097561,7,"ProximalPhalanxTW","svm"
"Kats",36,0.780487804878049,7,"ProximalPhalanxTW","svm"
"tsfresh",478,0.760975609756098,7,"ProximalPhalanxTW","svm"
"timegp",6,0.8,7,"ProximalPhalanxTW","svm"
"catch22",21,0.775609756097561,8,"ProximalPhalanxTW","svm"
"feasts",34,0.770731707317073,8,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.702439024390244,8,"ProximalPhalanxTW","svm"
"TSFEL",141,0.726829268292683,8,"ProximalPhalanxTW","svm"
"Kats",36,0.765853658536585,8,"ProximalPhalanxTW","svm"
"tsfresh",478,0.770731707317073,8,"ProximalPhalanxTW","svm"
"timegp",6,0.804878048780488,8,"ProximalPhalanxTW","svm"
"catch22",22,0.760975609756098,9,"ProximalPhalanxTW","svm"
"feasts",34,0.790243902439024,9,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.71219512195122,9,"ProximalPhalanxTW","svm"
"TSFEL",141,0.760975609756098,9,"ProximalPhalanxTW","svm"
"Kats",36,0.795121951219512,9,"ProximalPhalanxTW","svm"
"tsfresh",478,0.770731707317073,9,"ProximalPhalanxTW","svm"
"timegp",6,0.834146341463415,9,"ProximalPhalanxTW","svm"
"catch22",22,0.795121951219512,10,"ProximalPhalanxTW","svm"
"feasts",34,0.809756097560976,10,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.760975609756098,10,"ProximalPhalanxTW","svm"
"TSFEL",141,0.770731707317073,10,"ProximalPhalanxTW","svm"
"Kats",36,0.751219512195122,10,"ProximalPhalanxTW","svm"
"tsfresh",478,0.765853658536585,10,"ProximalPhalanxTW","svm"
"timegp",6,0.795121951219512,10,"ProximalPhalanxTW","svm"
"catch22",22,0.780487804878049,11,"ProximalPhalanxTW","svm"
"feasts",34,0.814634146341463,11,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.775609756097561,11,"ProximalPhalanxTW","svm"
"TSFEL",141,0.780487804878049,11,"ProximalPhalanxTW","svm"
"Kats",36,0.775609756097561,11,"ProximalPhalanxTW","svm"
"tsfresh",478,0.780487804878049,11,"ProximalPhalanxTW","svm"
"timegp",6,0.795121951219512,11,"ProximalPhalanxTW","svm"
"catch22",22,0.790243902439024,12,"ProximalPhalanxTW","svm"
"feasts",34,0.809756097560976,12,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.726829268292683,12,"ProximalPhalanxTW","svm"
"TSFEL",141,0.746341463414634,12,"ProximalPhalanxTW","svm"
"Kats",36,0.814634146341463,12,"ProximalPhalanxTW","svm"
"tsfresh",478,0.809756097560976,12,"ProximalPhalanxTW","svm"
"timegp",6,0.795121951219512,12,"ProximalPhalanxTW","svm"
"catch22",22,0.785365853658537,13,"ProximalPhalanxTW","svm"
"feasts",34,0.804878048780488,13,"ProximalPhalanxTW","svm"
"tsfeatures",59,0.75609756097561,13,"ProximalPhalanxTW","svm"
"TSFEL",141,0.795121951219512,13,"ProximalPhalanxTW","svm"
"Kats",36,0.780487804878049,13,"ProximalPhalanxTW","svm"
"tsfresh",478,0.75609756097561,13,"ProximalPhalanxTW","svm"
