"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.972222222222222,1,"ShapeletSim","svm"
"feasts",37,0.95,1,"ShapeletSim","svm"
"tsfeatures",56,0.977777777777778,1,"ShapeletSim","svm"
"TSFEL",143,0.966666666666667,1,"ShapeletSim","svm"
"Kats",36,0.944444444444444,1,"ShapeletSim","svm"
"tsfresh",726,1,1,"ShapeletSim","svm"
"quantiles",101,0.483333333333333,1,"ShapeletSim","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.722222222222222,1,"ShapeletSim","svm"
"FFT coefficients",399,0.694444444444444,1,"ShapeletSim","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.688888888888889,1,"ShapeletSim","svm"
"FFT (Re, Im) + quantiles",300,0.472222222222222,1,"ShapeletSim","svm"
"FFT (Mag, Angle) + quantiles",301,0.7,1,"ShapeletSim","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.638888888888889,1,"ShapeletSim","svm"
"catch22",22,1,2,"ShapeletSim","svm"
"feasts",38,0.933333333333333,2,"ShapeletSim","svm"
"tsfeatures",57,0.983333333333333,2,"ShapeletSim","svm"
"TSFEL",143,0.95,2,"ShapeletSim","svm"
"Kats",35,0.905555555555556,2,"ShapeletSim","svm"
"tsfresh",728,0.983333333333333,2,"ShapeletSim","svm"
"quantiles",101,0.488888888888889,2,"ShapeletSim","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.555555555555556,2,"ShapeletSim","svm"
"FFT coefficients",399,0.622222222222222,2,"ShapeletSim","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.572222222222222,2,"ShapeletSim","svm"
"FFT (Re, Im) + quantiles",300,0.461111111111111,2,"ShapeletSim","svm"
"FFT (Mag, Angle) + quantiles",301,0.594444444444444,2,"ShapeletSim","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.566666666666667,2,"ShapeletSim","svm"
"catch22",22,0.972222222222222,3,"ShapeletSim","svm"
"feasts",37,0.911111111111111,3,"ShapeletSim","svm"
"tsfeatures",57,0.961111111111111,3,"ShapeletSim","svm"
"TSFEL",143,0.977777777777778,3,"ShapeletSim","svm"
"Kats",35,0.905555555555556,3,"ShapeletSim","svm"
"tsfresh",726,0.994444444444444,3,"ShapeletSim","svm"
"quantiles",101,0.511111111111111,3,"ShapeletSim","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.605555555555556,3,"ShapeletSim","svm"
"FFT coefficients",399,0.644444444444444,3,"ShapeletSim","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.577777777777778,3,"ShapeletSim","svm"
"FFT (Re, Im) + quantiles",300,0.444444444444444,3,"ShapeletSim","svm"
"FFT (Mag, Angle) + quantiles",301,0.627777777777778,3,"ShapeletSim","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.572222222222222,3,"ShapeletSim","svm"
"catch22",22,0.994444444444444,4,"ShapeletSim","svm"
"feasts",38,0.944444444444444,4,"ShapeletSim","svm"
"tsfeatures",57,0.972222222222222,4,"ShapeletSim","svm"
"TSFEL",143,0.955555555555556,4,"ShapeletSim","svm"
"Kats",35,0.938888888888889,4,"ShapeletSim","svm"
"tsfresh",727,0.988888888888889,4,"ShapeletSim","svm"
"quantiles",101,0.494444444444444,4,"ShapeletSim","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.655555555555556,4,"ShapeletSim","svm"
"FFT coefficients",399,0.644444444444444,4,"ShapeletSim","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.633333333333333,4,"ShapeletSim","svm"
"FFT (Re, Im) + quantiles",300,0.494444444444444,4,"ShapeletSim","svm"
"FFT (Mag, Angle) + quantiles",301,0.688888888888889,4,"ShapeletSim","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.683333333333333,4,"ShapeletSim","svm"
"catch22",22,0.994444444444444,5,"ShapeletSim","svm"
"feasts",38,0.955555555555556,5,"ShapeletSim","svm"
"tsfeatures",57,0.961111111111111,5,"ShapeletSim","svm"
"TSFEL",143,0.944444444444444,5,"ShapeletSim","svm"
"Kats",35,0.927777777777778,5,"ShapeletSim","svm"
"tsfresh",728,0.988888888888889,5,"ShapeletSim","svm"
"quantiles",101,0.55,5,"ShapeletSim","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.616666666666667,5,"ShapeletSim","svm"
"FFT coefficients",399,0.633333333333333,5,"ShapeletSim","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.611111111111111,5,"ShapeletSim","svm"
"FFT (Re, Im) + quantiles",300,0.45,5,"ShapeletSim","svm"
"FFT (Mag, Angle) + quantiles",301,0.627777777777778,5,"ShapeletSim","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.627777777777778,5,"ShapeletSim","svm"
"catch22",22,1,6,"ShapeletSim","svm"
"feasts",38,0.95,6,"ShapeletSim","svm"
"tsfeatures",57,0.905555555555556,6,"ShapeletSim","svm"
"TSFEL",143,0.95,6,"ShapeletSim","svm"
"Kats",35,0.905555555555556,6,"ShapeletSim","svm"
"tsfresh",727,0.994444444444444,6,"ShapeletSim","svm"
"quantiles",101,0.472222222222222,6,"ShapeletSim","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.622222222222222,6,"ShapeletSim","svm"
"FFT coefficients",399,0.622222222222222,6,"ShapeletSim","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.572222222222222,6,"ShapeletSim","svm"
"FFT (Re, Im) + quantiles",300,0.461111111111111,6,"ShapeletSim","svm"
"FFT (Mag, Angle) + quantiles",301,0.605555555555556,6,"ShapeletSim","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.588888888888889,6,"ShapeletSim","svm"
"catch22",22,1,7,"ShapeletSim","svm"
"feasts",38,0.955555555555556,7,"ShapeletSim","svm"
"tsfeatures",56,0.922222222222222,7,"ShapeletSim","svm"
"TSFEL",143,0.955555555555556,7,"ShapeletSim","svm"
"Kats",35,0.922222222222222,7,"ShapeletSim","svm"
"tsfresh",727,0.994444444444444,7,"ShapeletSim","svm"
"quantiles",101,0.455555555555556,7,"ShapeletSim","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.683333333333333,7,"ShapeletSim","svm"
"FFT coefficients",399,0.611111111111111,7,"ShapeletSim","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.638888888888889,7,"ShapeletSim","svm"
"FFT (Re, Im) + quantiles",300,0.444444444444444,7,"ShapeletSim","svm"
"FFT (Mag, Angle) + quantiles",301,0.683333333333333,7,"ShapeletSim","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.677777777777778,7,"ShapeletSim","svm"
"catch22",22,1,8,"ShapeletSim","svm"
"feasts",38,0.955555555555556,8,"ShapeletSim","svm"
"tsfeatures",56,0.977777777777778,8,"ShapeletSim","svm"
"TSFEL",143,0.966666666666667,8,"ShapeletSim","svm"
"Kats",35,0.944444444444444,8,"ShapeletSim","svm"
"tsfresh",727,0.983333333333333,8,"ShapeletSim","svm"
"quantiles",101,0.522222222222222,8,"ShapeletSim","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.666666666666667,8,"ShapeletSim","svm"
"FFT coefficients",399,0.655555555555556,8,"ShapeletSim","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.638888888888889,8,"ShapeletSim","svm"
"FFT (Re, Im) + quantiles",300,0.5,8,"ShapeletSim","svm"
"FFT (Mag, Angle) + quantiles",301,0.711111111111111,8,"ShapeletSim","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.688888888888889,8,"ShapeletSim","svm"
"catch22",22,0.994444444444444,9,"ShapeletSim","svm"
"feasts",38,0.922222222222222,9,"ShapeletSim","svm"
"tsfeatures",57,0.955555555555556,9,"ShapeletSim","svm"
"TSFEL",143,0.944444444444444,9,"ShapeletSim","svm"
"Kats",34,0.938888888888889,9,"ShapeletSim","svm"
"tsfresh",727,0.988888888888889,9,"ShapeletSim","svm"
"quantiles",101,0.522222222222222,9,"ShapeletSim","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.7,9,"ShapeletSim","svm"
"FFT coefficients",399,0.716666666666667,9,"ShapeletSim","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.655555555555556,9,"ShapeletSim","svm"
"FFT (Re, Im) + quantiles",300,0.527777777777778,9,"ShapeletSim","svm"
"FFT (Mag, Angle) + quantiles",301,0.716666666666667,9,"ShapeletSim","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.677777777777778,9,"ShapeletSim","svm"
"catch22",22,0.994444444444444,10,"ShapeletSim","svm"
"feasts",37,0.944444444444444,10,"ShapeletSim","svm"
"tsfeatures",57,0.938888888888889,10,"ShapeletSim","svm"
"TSFEL",143,0.927777777777778,10,"ShapeletSim","svm"
"Kats",35,0.922222222222222,10,"ShapeletSim","svm"
"tsfresh",727,1,10,"ShapeletSim","svm"
"quantiles",101,0.494444444444444,10,"ShapeletSim","svm"
