"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.686335403726708,1,"SharePriceIncrease","svm"
"feasts",38,0.687370600414079,1,"SharePriceIncrease","svm"
"tsfeatures",57,0.686335403726708,1,"SharePriceIncrease","svm"
"TSFEL",143,0.665631469979296,1,"SharePriceIncrease","svm"
"Kats",36,0.686335403726708,1,"SharePriceIncrease","svm"
"tsfresh",447,0.597308488612836,1,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,1,"SharePriceIncrease","svm"
"FFT (Mag^2 + Angle) + quantiles",163,0.63768115942029,1,"SharePriceIncrease","svm"
"FFT coefficients",122,0.667701863354037,1,"SharePriceIncrease","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",223,0.650103519668737,1,"SharePriceIncrease","svm"
"FFT (Re, Im) + quantiles",161,0.659420289855073,1,"SharePriceIncrease","svm"
"FFT (Mag, Angle) + quantiles",163,0.651138716356108,1,"SharePriceIncrease","svm"
"FFT (log(Mag), Angle) + quantiles",162,0.658385093167702,1,"SharePriceIncrease","svm"
"catch22",22,0.686335403726708,2,"SharePriceIncrease","svm"
"feasts",38,0.686335403726708,2,"SharePriceIncrease","svm"
"tsfeatures",57,0.686335403726708,2,"SharePriceIncrease","svm"
"TSFEL",142,0.670807453416149,2,"SharePriceIncrease","svm"
"Kats",36,0.686335403726708,2,"SharePriceIncrease","svm"
"tsfresh",447,0.608695652173913,2,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,2,"SharePriceIncrease","svm"
"FFT (Mag^2 + Angle) + quantiles",163,0.669772256728778,2,"SharePriceIncrease","svm"
"FFT coefficients",122,0.640786749482402,2,"SharePriceIncrease","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",223,0.646997929606625,2,"SharePriceIncrease","svm"
"FFT (Re, Im) + quantiles",161,0.658385093167702,2,"SharePriceIncrease","svm"
"FFT (Mag, Angle) + quantiles",163,0.678053830227743,2,"SharePriceIncrease","svm"
"FFT (log(Mag), Angle) + quantiles",162,0.681159420289855,2,"SharePriceIncrease","svm"
"catch22",22,0.686335403726708,3,"SharePriceIncrease","svm"
"feasts",38,0.687370600414079,3,"SharePriceIncrease","svm"
"tsfeatures",57,0.686335403726708,3,"SharePriceIncrease","svm"
"TSFEL",143,0.660455486542443,3,"SharePriceIncrease","svm"
"Kats",36,0.675983436853002,3,"SharePriceIncrease","svm"
"tsfresh",447,0.593167701863354,3,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,3,"SharePriceIncrease","svm"
"FFT (Mag^2 + Angle) + quantiles",163,0.660455486542443,3,"SharePriceIncrease","svm"
"FFT coefficients",122,0.648033126293996,3,"SharePriceIncrease","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",223,0.634575569358178,3,"SharePriceIncrease","svm"
"FFT (Re, Im) + quantiles",161,0.67287784679089,3,"SharePriceIncrease","svm"
"FFT (Mag, Angle) + quantiles",163,0.657349896480331,3,"SharePriceIncrease","svm"
"FFT (log(Mag), Angle) + quantiles",162,0.665631469979296,3,"SharePriceIncrease","svm"
"catch22",22,0.686335403726708,4,"SharePriceIncrease","svm"
"feasts",38,0.687370600414079,4,"SharePriceIncrease","svm"
"tsfeatures",57,0.686335403726708,4,"SharePriceIncrease","svm"
"TSFEL",143,0.641821946169772,4,"SharePriceIncrease","svm"
"Kats",36,0.684265010351967,4,"SharePriceIncrease","svm"
"tsfresh",447,0.594202898550725,4,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,4,"SharePriceIncrease","svm"
"FFT (Mag^2 + Angle) + quantiles",163,0.649068322981366,4,"SharePriceIncrease","svm"
"FFT coefficients",122,0.643892339544513,4,"SharePriceIncrease","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",223,0.633540372670807,4,"SharePriceIncrease","svm"
"FFT (Re, Im) + quantiles",161,0.663561076604555,4,"SharePriceIncrease","svm"
"FFT (Mag, Angle) + quantiles",163,0.653209109730849,4,"SharePriceIncrease","svm"
"FFT (log(Mag), Angle) + quantiles",162,0.648033126293996,4,"SharePriceIncrease","svm"
"catch22",22,0.686335403726708,5,"SharePriceIncrease","svm"
"feasts",38,0.686335403726708,5,"SharePriceIncrease","svm"
"tsfeatures",57,0.686335403726708,5,"SharePriceIncrease","svm"
"TSFEL",143,0.627329192546584,5,"SharePriceIncrease","svm"
"Kats",36,0.685300207039337,5,"SharePriceIncrease","svm"
"tsfresh",447,0.601449275362319,5,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,5,"SharePriceIncrease","svm"
"FFT (Mag^2 + Angle) + quantiles",163,0.680124223602484,5,"SharePriceIncrease","svm"
"FFT coefficients",122,0.657349896480331,5,"SharePriceIncrease","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",223,0.642857142857143,5,"SharePriceIncrease","svm"
"FFT (Re, Im) + quantiles",161,0.664596273291925,5,"SharePriceIncrease","svm"
"FFT (Mag, Angle) + quantiles",163,0.665631469979296,5,"SharePriceIncrease","svm"
"FFT (log(Mag), Angle) + quantiles",162,0.646997929606625,5,"SharePriceIncrease","svm"
"catch22",22,0.686335403726708,6,"SharePriceIncrease","svm"
"feasts",38,0.686335403726708,6,"SharePriceIncrease","svm"
"tsfeatures",57,0.686335403726708,6,"SharePriceIncrease","svm"
"TSFEL",142,0.660455486542443,6,"SharePriceIncrease","svm"
"Kats",36,0.686335403726708,6,"SharePriceIncrease","svm"
"tsfresh",447,0.60248447204969,6,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,6,"SharePriceIncrease","svm"
"FFT (Mag^2 + Angle) + quantiles",163,0.666666666666667,6,"SharePriceIncrease","svm"
"FFT coefficients",122,0.662525879917184,6,"SharePriceIncrease","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",223,0.640786749482402,6,"SharePriceIncrease","svm"
"FFT (Re, Im) + quantiles",161,0.65527950310559,6,"SharePriceIncrease","svm"
"FFT (Mag, Angle) + quantiles",163,0.669772256728778,6,"SharePriceIncrease","svm"
"FFT (log(Mag), Angle) + quantiles",162,0.687370600414079,6,"SharePriceIncrease","svm"
"catch22",22,0.686335403726708,7,"SharePriceIncrease","svm"
"feasts",38,0.687370600414079,7,"SharePriceIncrease","svm"
"tsfeatures",57,0.686335403726708,7,"SharePriceIncrease","svm"
