"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.8464,1,"SwedishLeaf","svm"
"feasts",36,0.9264,1,"SwedishLeaf","svm"
"tsfeatures",59,0.9216,1,"SwedishLeaf","svm"
"TSFEL",144,0.9296,1,"SwedishLeaf","svm"
"Kats",36,0.896,1,"SwedishLeaf","svm"
"tsfresh",594,0.9232,1,"SwedishLeaf","svm"
"quantiles",101,0.7184,1,"SwedishLeaf","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.8208,1,"SwedishLeaf","svm"
"FFT coefficients",258,0.8032,1,"SwedishLeaf","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.8704,1,"SwedishLeaf","svm"
"FFT (Re, Im) + quantiles",229,0.7744,1,"SwedishLeaf","svm"
"FFT (Mag, Angle) + quantiles",231,0.8624,1,"SwedishLeaf","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.8784,1,"SwedishLeaf","svm"
"catch22",22,0.8384,2,"SwedishLeaf","svm"
"feasts",36,0.9296,2,"SwedishLeaf","svm"
"tsfeatures",59,0.9408,2,"SwedishLeaf","svm"
"TSFEL",144,0.9312,2,"SwedishLeaf","svm"
"Kats",36,0.9088,2,"SwedishLeaf","svm"
"tsfresh",593,0.9248,2,"SwedishLeaf","svm"
"quantiles",101,0.7632,2,"SwedishLeaf","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.8048,2,"SwedishLeaf","svm"
"FFT coefficients",258,0.7552,2,"SwedishLeaf","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.856,2,"SwedishLeaf","svm"
"FFT (Re, Im) + quantiles",229,0.7648,2,"SwedishLeaf","svm"
"FFT (Mag, Angle) + quantiles",231,0.856,2,"SwedishLeaf","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.8608,2,"SwedishLeaf","svm"
"catch22",22,0.8688,3,"SwedishLeaf","svm"
"feasts",36,0.9152,3,"SwedishLeaf","svm"
"tsfeatures",59,0.9216,3,"SwedishLeaf","svm"
"TSFEL",144,0.9504,3,"SwedishLeaf","svm"
"Kats",36,0.9024,3,"SwedishLeaf","svm"
"tsfresh",594,0.9376,3,"SwedishLeaf","svm"
"quantiles",101,0.7504,3,"SwedishLeaf","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.8224,3,"SwedishLeaf","svm"
"FFT coefficients",258,0.7744,3,"SwedishLeaf","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.856,3,"SwedishLeaf","svm"
"FFT (Re, Im) + quantiles",229,0.7712,3,"SwedishLeaf","svm"
"FFT (Mag, Angle) + quantiles",231,0.8736,3,"SwedishLeaf","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.8784,3,"SwedishLeaf","svm"
"catch22",22,0.8288,4,"SwedishLeaf","svm"
"feasts",36,0.912,4,"SwedishLeaf","svm"
"tsfeatures",59,0.9072,4,"SwedishLeaf","svm"
"TSFEL",144,0.9264,4,"SwedishLeaf","svm"
"Kats",36,0.8896,4,"SwedishLeaf","svm"
"tsfresh",594,0.9152,4,"SwedishLeaf","svm"
"quantiles",101,0.7376,4,"SwedishLeaf","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.8,4,"SwedishLeaf","svm"
"FFT coefficients",258,0.7904,4,"SwedishLeaf","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.8512,4,"SwedishLeaf","svm"
"FFT (Re, Im) + quantiles",229,0.7376,4,"SwedishLeaf","svm"
"FFT (Mag, Angle) + quantiles",231,0.8512,4,"SwedishLeaf","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.8528,4,"SwedishLeaf","svm"
"catch22",22,0.8448,5,"SwedishLeaf","svm"
"feasts",36,0.9024,5,"SwedishLeaf","svm"
"tsfeatures",59,0.9184,5,"SwedishLeaf","svm"
"TSFEL",144,0.9344,5,"SwedishLeaf","svm"
"Kats",36,0.8992,5,"SwedishLeaf","svm"
"tsfresh",593,0.912,5,"SwedishLeaf","svm"
"quantiles",101,0.7552,5,"SwedishLeaf","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.7856,5,"SwedishLeaf","svm"
"FFT coefficients",258,0.7536,5,"SwedishLeaf","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.8448,5,"SwedishLeaf","svm"
"FFT (Re, Im) + quantiles",229,0.76,5,"SwedishLeaf","svm"
"FFT (Mag, Angle) + quantiles",231,0.8368,5,"SwedishLeaf","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.8672,5,"SwedishLeaf","svm"
"catch22",22,0.8224,6,"SwedishLeaf","svm"
"feasts",36,0.9328,6,"SwedishLeaf","svm"
"tsfeatures",59,0.9392,6,"SwedishLeaf","svm"
"TSFEL",144,0.9472,6,"SwedishLeaf","svm"
"Kats",36,0.8992,6,"SwedishLeaf","svm"
"tsfresh",593,0.9216,6,"SwedishLeaf","svm"
"quantiles",101,0.7232,6,"SwedishLeaf","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.7904,6,"SwedishLeaf","svm"
"FFT coefficients",258,0.7664,6,"SwedishLeaf","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.856,6,"SwedishLeaf","svm"
"FFT (Re, Im) + quantiles",229,0.752,6,"SwedishLeaf","svm"
"FFT (Mag, Angle) + quantiles",231,0.848,6,"SwedishLeaf","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.856,6,"SwedishLeaf","svm"
"catch22",22,0.856,7,"SwedishLeaf","svm"
"feasts",36,0.9136,7,"SwedishLeaf","svm"
"tsfeatures",59,0.92,7,"SwedishLeaf","svm"
"TSFEL",144,0.9312,7,"SwedishLeaf","svm"
"Kats",36,0.9168,7,"SwedishLeaf","svm"
"tsfresh",594,0.928,7,"SwedishLeaf","svm"
"quantiles",101,0.744,7,"SwedishLeaf","svm"
"FFT (Mag^2 + Angle) + quantiles",231,0.8128,7,"SwedishLeaf","svm"
"FFT coefficients",258,0.7632,7,"SwedishLeaf","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.8448,7,"SwedishLeaf","svm"
"FFT (Re, Im) + quantiles",229,0.7632,7,"SwedishLeaf","svm"
"FFT (Mag, Angle) + quantiles",231,0.8512,7,"SwedishLeaf","svm"
"FFT (log(Mag), Angle) + quantiles",230,0.8624,7,"SwedishLeaf","svm"
"catch22",22,0.8464,8,"SwedishLeaf","svm"
