"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.98,1,"SyntheticControl","svm"
"2","feasts",38,0.966666666666667,1,"SyntheticControl","svm"
"3","tsfeatures",59,0.98,1,"SyntheticControl","svm"
"4","TSFEL",143,0.986666666666667,1,"SyntheticControl","svm"
"5","Kats",35,0.676666666666667,1,"SyntheticControl","svm"
"6","tsfresh",448,1,1,"SyntheticControl","svm"
"7","quantiles",101,0.443333333333333,1,"SyntheticControl","svm"
"8","FFT (Mag^2 + Angle) + quantiles",163,0.93,1,"SyntheticControl","svm"
"9","catch22",22,0.966666666666667,2,"SyntheticControl","svm"
"10","feasts",38,0.976666666666667,2,"SyntheticControl","svm"
"11","tsfeatures",59,0.996666666666667,2,"SyntheticControl","svm"
"12","TSFEL",143,0.983333333333333,2,"SyntheticControl","svm"
"13","Kats",35,0.633333333333333,2,"SyntheticControl","svm"
"14","tsfresh",451,0.99,2,"SyntheticControl","svm"
"15","quantiles",101,0.416666666666667,2,"SyntheticControl","svm"
"16","FFT (Mag^2 + Angle) + quantiles",163,0.946666666666667,2,"SyntheticControl","svm"
"17","catch22",22,0.95,3,"SyntheticControl","svm"
"18","feasts",38,0.983333333333333,3,"SyntheticControl","svm"
"19","tsfeatures",59,0.986666666666667,3,"SyntheticControl","svm"
"20","TSFEL",143,0.99,3,"SyntheticControl","svm"
"21","Kats",35,0.653333333333333,3,"SyntheticControl","svm"
"22","tsfresh",448,0.996666666666667,3,"SyntheticControl","svm"
"23","quantiles",101,0.423333333333333,3,"SyntheticControl","svm"
"24","FFT (Mag^2 + Angle) + quantiles",163,0.923333333333333,3,"SyntheticControl","svm"
"25","catch22",22,0.963333333333333,4,"SyntheticControl","svm"
"26","feasts",38,0.986666666666667,4,"SyntheticControl","svm"
"27","tsfeatures",59,1,4,"SyntheticControl","svm"
"28","TSFEL",143,0.97,4,"SyntheticControl","svm"
"29","Kats",35,0.66,4,"SyntheticControl","svm"
"30","tsfresh",450,0.996666666666667,4,"SyntheticControl","svm"
"31","quantiles",101,0.426666666666667,4,"SyntheticControl","svm"
"32","FFT (Mag^2 + Angle) + quantiles",163,0.923333333333333,4,"SyntheticControl","svm"
"33","catch22",22,0.963333333333333,5,"SyntheticControl","svm"
"34","feasts",38,0.973333333333333,5,"SyntheticControl","svm"
"35","tsfeatures",59,0.99,5,"SyntheticControl","svm"
"36","TSFEL",143,0.976666666666667,5,"SyntheticControl","svm"
"37","Kats",35,0.656666666666667,5,"SyntheticControl","svm"
"38","tsfresh",451,0.986666666666667,5,"SyntheticControl","svm"
"39","quantiles",101,0.41,5,"SyntheticControl","svm"
"40","FFT (Mag^2 + Angle) + quantiles",163,0.93,5,"SyntheticControl","svm"
"41","catch22",22,0.97,6,"SyntheticControl","svm"
"42","feasts",38,0.986666666666667,6,"SyntheticControl","svm"
"43","tsfeatures",59,0.993333333333333,6,"SyntheticControl","svm"
"44","TSFEL",143,0.986666666666667,6,"SyntheticControl","svm"
"45","Kats",35,0.68,6,"SyntheticControl","svm"
"46","tsfresh",451,0.996666666666667,6,"SyntheticControl","svm"
"47","quantiles",101,0.366666666666667,6,"SyntheticControl","svm"
"48","FFT (Mag^2 + Angle) + quantiles",163,0.91,6,"SyntheticControl","svm"
"49","catch22",22,0.976666666666667,7,"SyntheticControl","svm"
"50","feasts",38,0.966666666666667,7,"SyntheticControl","svm"
"51","tsfeatures",59,0.986666666666667,7,"SyntheticControl","svm"
"52","TSFEL",143,0.983333333333333,7,"SyntheticControl","svm"
"53","Kats",35,0.64,7,"SyntheticControl","svm"
"54","tsfresh",451,1,7,"SyntheticControl","svm"
"55","quantiles",101,0.44,7,"SyntheticControl","svm"
"56","FFT (Mag^2 + Angle) + quantiles",163,0.913333333333333,7,"SyntheticControl","svm"
"57","catch22",22,0.97,8,"SyntheticControl","svm"
"58","feasts",38,0.983333333333333,8,"SyntheticControl","svm"
"59","tsfeatures",59,0.98,8,"SyntheticControl","svm"
"60","TSFEL",143,0.983333333333333,8,"SyntheticControl","svm"
"61","Kats",35,0.63,8,"SyntheticControl","svm"
"62","tsfresh",450,0.99,8,"SyntheticControl","svm"
"63","quantiles",101,0.373333333333333,8,"SyntheticControl","svm"
"64","FFT (Mag^2 + Angle) + quantiles",163,0.92,8,"SyntheticControl","svm"
"65","catch22",22,0.983333333333333,9,"SyntheticControl","svm"
"66","feasts",38,0.973333333333333,9,"SyntheticControl","svm"
"67","tsfeatures",59,0.976666666666667,9,"SyntheticControl","svm"
"68","TSFEL",143,0.973333333333333,9,"SyntheticControl","svm"
"69","Kats",35,0.636666666666667,9,"SyntheticControl","svm"
"70","tsfresh",451,0.996666666666667,9,"SyntheticControl","svm"
