"","feature_set","num_features","accuracy","resample","problem","classifier"
"1","catch22",22,0.8,1,"ToeSegmentation2","svm"
"2","feasts",37,0.661538461538462,1,"ToeSegmentation2","svm"
"3","tsfeatures",59,0.807692307692308,1,"ToeSegmentation2","svm"
"4","TSFEL",144,0.838461538461538,1,"ToeSegmentation2","svm"
"5","Kats",36,0.815384615384615,1,"ToeSegmentation2","svm"
"6","tsfresh",730,0.869230769230769,1,"ToeSegmentation2","svm"
"7","quantiles",101,0.615384615384615,1,"ToeSegmentation2","svm"
"8","FFT (Mag^2 + Angle) + quantiles",301,0.715384615384615,1,"ToeSegmentation2","svm"
"9","catch22",22,0.892307692307692,2,"ToeSegmentation2","svm"
"10","feasts",37,0.807692307692308,2,"ToeSegmentation2","svm"
"11","tsfeatures",59,0.884615384615385,2,"ToeSegmentation2","svm"
"12","TSFEL",144,0.861538461538462,2,"ToeSegmentation2","svm"
"13","Kats",36,0.8,2,"ToeSegmentation2","svm"
"14","tsfresh",733,0.923076923076923,2,"ToeSegmentation2","svm"
"15","quantiles",101,0.769230769230769,2,"ToeSegmentation2","svm"
"16","FFT (Mag^2 + Angle) + quantiles",301,0.807692307692308,2,"ToeSegmentation2","svm"
"17","catch22",22,0.823076923076923,3,"ToeSegmentation2","svm"
"18","feasts",37,0.823076923076923,3,"ToeSegmentation2","svm"
"19","tsfeatures",59,0.853846153846154,3,"ToeSegmentation2","svm"
"20","TSFEL",144,0.869230769230769,3,"ToeSegmentation2","svm"
"21","Kats",36,0.8,3,"ToeSegmentation2","svm"
"22","tsfresh",730,0.846153846153846,3,"ToeSegmentation2","svm"
"23","quantiles",101,0.746153846153846,3,"ToeSegmentation2","svm"
"24","FFT (Mag^2 + Angle) + quantiles",301,0.707692307692308,3,"ToeSegmentation2","svm"
"25","catch22",22,0.830769230769231,4,"ToeSegmentation2","svm"
"26","feasts",37,0.669230769230769,4,"ToeSegmentation2","svm"
"27","tsfeatures",59,0.884615384615385,4,"ToeSegmentation2","svm"
"28","TSFEL",144,0.915384615384615,4,"ToeSegmentation2","svm"
"29","Kats",36,0.723076923076923,4,"ToeSegmentation2","svm"
"30","tsfresh",733,0.876923076923077,4,"ToeSegmentation2","svm"
"31","quantiles",101,0.638461538461538,4,"ToeSegmentation2","svm"
"32","FFT (Mag^2 + Angle) + quantiles",301,0.823076923076923,4,"ToeSegmentation2","svm"
"33","catch22",22,0.761538461538461,5,"ToeSegmentation2","svm"
"34","feasts",37,0.807692307692308,5,"ToeSegmentation2","svm"
"35","tsfeatures",59,0.9,5,"ToeSegmentation2","svm"
"36","TSFEL",144,0.853846153846154,5,"ToeSegmentation2","svm"
"37","Kats",36,0.723076923076923,5,"ToeSegmentation2","svm"
"38","tsfresh",731,0.907692307692308,5,"ToeSegmentation2","svm"
"39","quantiles",101,0.730769230769231,5,"ToeSegmentation2","svm"
"40","FFT (Mag^2 + Angle) + quantiles",301,0.830769230769231,5,"ToeSegmentation2","svm"
"41","catch22",22,0.807692307692308,6,"ToeSegmentation2","svm"
"42","feasts",37,0.815384615384615,6,"ToeSegmentation2","svm"
"43","tsfeatures",59,0.861538461538462,6,"ToeSegmentation2","svm"
"44","TSFEL",144,0.884615384615385,6,"ToeSegmentation2","svm"
"45","Kats",36,0.815384615384615,6,"ToeSegmentation2","svm"
"46","tsfresh",737,0.915384615384615,6,"ToeSegmentation2","svm"
"47","quantiles",101,0.707692307692308,6,"ToeSegmentation2","svm"
"48","FFT (Mag^2 + Angle) + quantiles",301,0.838461538461538,6,"ToeSegmentation2","svm"
"49","catch22",22,0.853846153846154,7,"ToeSegmentation2","svm"
"50","feasts",37,0.823076923076923,7,"ToeSegmentation2","svm"
"51","tsfeatures",59,0.784615384615385,7,"ToeSegmentation2","svm"
"52","TSFEL",144,0.838461538461538,7,"ToeSegmentation2","svm"
"53","Kats",36,0.776923076923077,7,"ToeSegmentation2","svm"
"54","tsfresh",733,0.915384615384615,7,"ToeSegmentation2","svm"
"55","quantiles",101,0.646153846153846,7,"ToeSegmentation2","svm"
"56","FFT (Mag^2 + Angle) + quantiles",301,0.823076923076923,7,"ToeSegmentation2","svm"
"57","catch22",22,0.9,8,"ToeSegmentation2","svm"
"58","feasts",37,0.7,8,"ToeSegmentation2","svm"
"59","tsfeatures",59,0.815384615384615,8,"ToeSegmentation2","svm"
"60","TSFEL",144,0.915384615384615,8,"ToeSegmentation2","svm"
"61","Kats",36,0.676923076923077,8,"ToeSegmentation2","svm"
"62","tsfresh",732,0.861538461538462,8,"ToeSegmentation2","svm"
"63","quantiles",101,0.8,8,"ToeSegmentation2","svm"
"64","FFT (Mag^2 + Angle) + quantiles",301,0.846153846153846,8,"ToeSegmentation2","svm"
"65","catch22",22,0.715384615384615,9,"ToeSegmentation2","svm"
"66","feasts",37,0.707692307692308,9,"ToeSegmentation2","svm"
"67","tsfeatures",59,0.784615384615385,9,"ToeSegmentation2","svm"
"68","TSFEL",144,0.876923076923077,9,"ToeSegmentation2","svm"
"69","Kats",36,0.676923076923077,9,"ToeSegmentation2","svm"
"70","tsfresh",731,0.892307692307692,9,"ToeSegmentation2","svm"
"71","quantiles",101,0.738461538461539,9,"ToeSegmentation2","svm"
"72","FFT (Mag^2 + Angle) + quantiles",301,0.846153846153846,9,"ToeSegmentation2","svm"
"73","catch22",22,0.876923076923077,10,"ToeSegmentation2","svm"
"74","feasts",37,0.776923076923077,10,"ToeSegmentation2","svm"
"75","tsfeatures",59,0.9,10,"ToeSegmentation2","svm"
"76","TSFEL",146,0.884615384615385,10,"ToeSegmentation2","svm"
"77","Kats",36,0.723076923076923,10,"ToeSegmentation2","svm"
"78","tsfresh",729,0.907692307692308,10,"ToeSegmentation2","svm"
"79","quantiles",101,0.776923076923077,10,"ToeSegmentation2","svm"
"80","FFT (Mag^2 + Angle) + quantiles",301,0.823076923076923,10,"ToeSegmentation2","svm"
"81","catch22",22,0.853846153846154,11,"ToeSegmentation2","svm"
"82","feasts",37,0.884615384615385,11,"ToeSegmentation2","svm"
"83","tsfeatures",59,0.823076923076923,11,"ToeSegmentation2","svm"
"84","TSFEL",144,0.9,11,"ToeSegmentation2","svm"
"85","Kats",36,0.784615384615385,11,"ToeSegmentation2","svm"
"86","tsfresh",733,0.892307692307692,11,"ToeSegmentation2","svm"
"87","quantiles",101,0.746153846153846,11,"ToeSegmentation2","svm"
"88","FFT (Mag^2 + Angle) + quantiles",301,0.838461538461538,11,"ToeSegmentation2","svm"
"89","catch22",22,0.9,12,"ToeSegmentation2","svm"
"90","feasts",37,0.692307692307692,12,"ToeSegmentation2","svm"
"91","tsfeatures",59,0.823076923076923,12,"ToeSegmentation2","svm"
"92","TSFEL",144,0.869230769230769,12,"ToeSegmentation2","svm"
"93","Kats",36,0.746153846153846,12,"ToeSegmentation2","svm"
"94","tsfresh",731,0.869230769230769,12,"ToeSegmentation2","svm"
"95","quantiles",101,0.692307692307692,12,"ToeSegmentation2","svm"
"96","FFT (Mag^2 + Angle) + quantiles",301,0.776923076923077,12,"ToeSegmentation2","svm"
"97","catch22",22,0.807692307692308,13,"ToeSegmentation2","svm"
"98","feasts",37,0.715384615384615,13,"ToeSegmentation2","svm"
"99","tsfeatures",59,0.792307692307692,13,"ToeSegmentation2","svm"
"100","TSFEL",144,0.869230769230769,13,"ToeSegmentation2","svm"
"101","Kats",36,0.707692307692308,13,"ToeSegmentation2","svm"
"102","tsfresh",729,0.853846153846154,13,"ToeSegmentation2","svm"
"103","quantiles",101,0.730769230769231,13,"ToeSegmentation2","svm"
"104","FFT (Mag^2 + Angle) + quantiles",301,0.807692307692308,13,"ToeSegmentation2","svm"
"105","catch22",22,0.738461538461539,14,"ToeSegmentation2","svm"
"106","feasts",37,0.846153846153846,14,"ToeSegmentation2","svm"
"107","tsfeatures",59,0.8,14,"ToeSegmentation2","svm"
"108","TSFEL",144,0.869230769230769,14,"ToeSegmentation2","svm"
"109","Kats",36,0.753846153846154,14,"ToeSegmentation2","svm"
"110","tsfresh",733,0.815384615384615,14,"ToeSegmentation2","svm"
"111","quantiles",101,0.692307692307692,14,"ToeSegmentation2","svm"
"112","FFT (Mag^2 + Angle) + quantiles",301,0.7,14,"ToeSegmentation2","svm"
"113","catch22",22,0.807692307692308,15,"ToeSegmentation2","svm"
"114","feasts",37,0.815384615384615,15,"ToeSegmentation2","svm"
"115","tsfeatures",59,0.753846153846154,15,"ToeSegmentation2","svm"
"116","TSFEL",144,0.869230769230769,15,"ToeSegmentation2","svm"
"117","Kats",36,0.661538461538462,15,"ToeSegmentation2","svm"
"118","tsfresh",733,0.892307692307692,15,"ToeSegmentation2","svm"
"119","quantiles",101,0.607692307692308,15,"ToeSegmentation2","svm"
"120","FFT (Mag^2 + Angle) + quantiles",301,0.861538461538462,15,"ToeSegmentation2","svm"
"121","catch22",22,0.715384615384615,16,"ToeSegmentation2","svm"
"122","feasts",37,0.861538461538462,16,"ToeSegmentation2","svm"
"123","tsfeatures",59,0.884615384615385,16,"ToeSegmentation2","svm"
"124","TSFEL",144,0.892307692307692,16,"ToeSegmentation2","svm"
"125","Kats",36,0.738461538461539,16,"ToeSegmentation2","svm"
"126","tsfresh",731,0.884615384615385,16,"ToeSegmentation2","svm"
"127","quantiles",101,0.792307692307692,16,"ToeSegmentation2","svm"
"128","FFT (Mag^2 + Angle) + quantiles",301,0.776923076923077,16,"ToeSegmentation2","svm"
"129","catch22",22,0.784615384615385,17,"ToeSegmentation2","svm"
"130","feasts",37,0.846153846153846,17,"ToeSegmentation2","svm"
"131","tsfeatures",59,0.830769230769231,17,"ToeSegmentation2","svm"
"132","TSFEL",144,0.830769230769231,17,"ToeSegmentation2","svm"
"133","Kats",36,0.830769230769231,17,"ToeSegmentation2","svm"
"134","tsfresh",731,0.9,17,"ToeSegmentation2","svm"
"135","quantiles",101,0.730769230769231,17,"ToeSegmentation2","svm"
"136","FFT (Mag^2 + Angle) + quantiles",301,0.792307692307692,17,"ToeSegmentation2","svm"
"137","catch22",22,0.869230769230769,18,"ToeSegmentation2","svm"
"138","feasts",37,0.807692307692308,18,"ToeSegmentation2","svm"
"139","tsfeatures",59,0.869230769230769,18,"ToeSegmentation2","svm"
"140","TSFEL",144,0.876923076923077,18,"ToeSegmentation2","svm"
"141","Kats",36,0.761538461538461,18,"ToeSegmentation2","svm"
"142","tsfresh",732,0.815384615384615,18,"ToeSegmentation2","svm"
"143","quantiles",101,0.723076923076923,18,"ToeSegmentation2","svm"
"144","FFT (Mag^2 + Angle) + quantiles",301,0.807692307692308,18,"ToeSegmentation2","svm"
"145","catch22",22,0.869230769230769,19,"ToeSegmentation2","svm"
"146","feasts",37,0.846153846153846,19,"ToeSegmentation2","svm"
"147","tsfeatures",59,0.892307692307692,19,"ToeSegmentation2","svm"
"148","TSFEL",144,0.915384615384615,19,"ToeSegmentation2","svm"
