"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,1,1,"Trace","svm"
"feasts",37,1,1,"Trace","svm"
"tsfeatures",59,1,1,"Trace","svm"
"TSFEL",141,1,1,"Trace","svm"
"Kats",35,1,1,"Trace","svm"
"tsfresh",733,1,1,"Trace","svm"
"quantiles",101,0.97,1,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.84,1,"Trace","svm"
"FFT coefficients",399,0.76,1,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.85,1,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.97,1,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.86,1,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.91,1,"Trace","svm"
"catch22",21,1,2,"Trace","svm"
"feasts",37,1,2,"Trace","svm"
"tsfeatures",59,1,2,"Trace","svm"
"TSFEL",141,1,2,"Trace","svm"
"Kats",35,1,2,"Trace","svm"
"tsfresh",733,1,2,"Trace","svm"
"quantiles",101,1,2,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.97,2,"Trace","svm"
"FFT coefficients",399,0.82,2,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.94,2,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.99,2,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.98,2,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.93,2,"Trace","svm"
"catch22",21,1,3,"Trace","svm"
"feasts",37,1,3,"Trace","svm"
"tsfeatures",59,1,3,"Trace","svm"
"TSFEL",142,1,3,"Trace","svm"
"Kats",35,1,3,"Trace","svm"
"tsfresh",739,0.99,3,"Trace","svm"
"quantiles",101,1,3,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.98,3,"Trace","svm"
"FFT coefficients",399,0.78,3,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.94,3,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.98,3,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.98,3,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.97,3,"Trace","svm"
"catch22",21,1,4,"Trace","svm"
"feasts",37,1,4,"Trace","svm"
"tsfeatures",59,0.97,4,"Trace","svm"
"TSFEL",141,1,4,"Trace","svm"
"Kats",35,1,4,"Trace","svm"
"tsfresh",733,1,4,"Trace","svm"
"quantiles",101,1,4,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.93,4,"Trace","svm"
"FFT coefficients",399,0.77,4,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.9,4,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.97,4,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.93,4,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.96,4,"Trace","svm"
"catch22",21,1,5,"Trace","svm"
"feasts",37,1,5,"Trace","svm"
"tsfeatures",59,1,5,"Trace","svm"
"TSFEL",142,1,5,"Trace","svm"
"Kats",35,1,5,"Trace","svm"
"tsfresh",739,1,5,"Trace","svm"
"quantiles",101,1,5,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.85,5,"Trace","svm"
"FFT coefficients",399,0.75,5,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.86,5,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.99,5,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.87,5,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.9,5,"Trace","svm"
"catch22",21,1,6,"Trace","svm"
"feasts",37,1,6,"Trace","svm"
"tsfeatures",59,1,6,"Trace","svm"
"TSFEL",141,1,6,"Trace","svm"
"Kats",35,1,6,"Trace","svm"
"tsfresh",733,1,6,"Trace","svm"
"quantiles",101,1,6,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.91,6,"Trace","svm"
"FFT coefficients",399,0.77,6,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.86,6,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.98,6,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.9,6,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.89,6,"Trace","svm"
"catch22",21,1,7,"Trace","svm"
"feasts",37,1,7,"Trace","svm"
"tsfeatures",59,1,7,"Trace","svm"
"TSFEL",142,1,7,"Trace","svm"
"Kats",35,1,7,"Trace","svm"
"tsfresh",739,1,7,"Trace","svm"
"quantiles",101,0.99,7,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.92,7,"Trace","svm"
"FFT coefficients",399,0.78,7,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.9,7,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.98,7,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.95,7,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.92,7,"Trace","svm"
"catch22",21,1,8,"Trace","svm"
"feasts",37,1,8,"Trace","svm"
"tsfeatures",59,1,8,"Trace","svm"
"TSFEL",141,1,8,"Trace","svm"
"Kats",35,1,8,"Trace","svm"
"tsfresh",733,1,8,"Trace","svm"
"quantiles",101,1,8,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.97,8,"Trace","svm"
"FFT coefficients",399,0.74,8,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.9,8,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.99,8,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.99,8,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",300,0.97,8,"Trace","svm"
"catch22",21,1,9,"Trace","svm"
"feasts",37,1,9,"Trace","svm"
"tsfeatures",59,1,9,"Trace","svm"
"TSFEL",141,1,9,"Trace","svm"
"Kats",35,1,9,"Trace","svm"
"tsfresh",733,1,9,"Trace","svm"
"quantiles",101,0.99,9,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.89,9,"Trace","svm"
"FFT coefficients",399,0.78,9,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.88,9,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.96,9,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.92,9,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.9,9,"Trace","svm"
"catch22",21,1,10,"Trace","svm"
"feasts",37,1,10,"Trace","svm"
"tsfeatures",59,1,10,"Trace","svm"
"TSFEL",142,1,10,"Trace","svm"
"Kats",35,1,10,"Trace","svm"
"tsfresh",739,1,10,"Trace","svm"
"quantiles",101,1,10,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.87,10,"Trace","svm"
"FFT coefficients",399,0.78,10,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.89,10,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.99,10,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.92,10,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.93,10,"Trace","svm"
"catch22",21,1,11,"Trace","svm"
"feasts",37,1,11,"Trace","svm"
"tsfeatures",59,1,11,"Trace","svm"
"TSFEL",142,1,11,"Trace","svm"
"Kats",35,1,11,"Trace","svm"
"tsfresh",739,1,11,"Trace","svm"
"quantiles",101,1,11,"Trace","svm"
"FFT (Mag^2 + Angle) + quantiles",301,0.95,11,"Trace","svm"
"FFT coefficients",399,0.77,11,"Trace","svm"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.92,11,"Trace","svm"
"FFT (Re, Im) + quantiles",300,0.98,11,"Trace","svm"
"FFT (Mag, Angle) + quantiles",301,0.95,11,"Trace","svm"
"FFT (log(Mag), Angle) + quantiles",301,0.93,11,"Trace","svm"
